UNIDAD DE NEGOCIO,CUENTA MAYOR,Obj,,Descripción de cuenta,N  D,V  c,Largo,,,,,,
1,1,1,,ACTIVOS,3,N,7,,,,,,
1,10,10,,ACTIVO CIRCULANTE,4,N,17,,,,,,
1,100,100,,EFECTIVO EN CAJA,5,N,16,,,,,,
,,100,01,EFECTIVO EN CAJA MN,6,N,19,,,,,,
,,100,0101,Caja Chica Tesoreria,7,X,20,,,,,,
,,100,0102,Caja Chica Ventas,7,X,17,,,,,,
,,100,0103,Caja Chica HSJ,7,X,14,,,,,,
,,100,0104,Caja Chica Puebla,7,X,17,,,,,,
,,100,0105,Caja Chica Leon,7,X,15,,,,,,
,,100,0106,Caja Chica Monterrey,7,X,20,,,,,,
,,100,0107,Caja Chica Yucatan,7,X,18,,,,,,
,,100,0108,Caja Chica Tecate,7,X,17,,,,,,
,,100,0109,Caja Chica Cd. Juarez,7,X,21,,,,,,
,,100,0110,Caja Chica Fabric Telas,7,X,23,,,,,,
,,100,0111,Caja Chica Ocotlan,7,X,18,,,,,,
,,100,0112,Tarjetas Corporativas,7,X,21,,,,,,
,,100,0113,Caja Chica Gdl Embarque,7,X,23,,,,,,
,,100,0114,Caja Chica Gdl Administ,7,X,23,,,,,,
,,100,0115,Tarjetas Corporativas,7,X,21,,,,,,
1,105,105,,BANCOS,5,N,6,,,,,,
,,105,01,BANCO MN,6,N,8,,,,,,
,,105,0101,HSBC MN,7,N,7,,,,,,
,,105,010101,HSBC Cta 0320008686,8,X,19,,,,,,
,,105,010102,HSBC Cta 4020690418,8,X,19,,,,,,
,,105,010103,HSBC Cta 4017812231 (cancelada),8,X,31,,,,,,
,,105,010104,HSBC Cta 4014126999,8,X,19,,,,,,
,,105,010105,HSBC Cta 4057101974,8,X,19,,,,,,
,,105,010106,HSBC Inv 7355800095,8,X,19,,,,,,
,,105,010107,HSBC Inv 7012900076,8,X,19,,,,,,
,,105,010108,HSBC Inv 7699401582,8,X,19,,,,,,
,,105,010109,HSBC Cta 4064410038,8,X,19,,,,,,
,,105,010110,HSBC Cta 4065801557,8,X,19,,,,,,
,,105,010111,HSBC Inv 40199095351,8,X,20,,,,,,
,,105,010112,HSBC Inv 7355800094200,8,X,22,,,,,,
,,105,010113,HSBC Inv 6699401451,8,X,19,,,,,,
,,105,010114,HSBC Inv 6411632841,8,X,19,,,,,,
,,105,010115,HSBC Inv 6411632866,8,X,19,,,,,,
,,105,010116,HSBC Inv 6411632874,8,X,19,,,,,,
,,105,010117,HSBC Inv 6411632890,8,X,19,,,,,,
,,105,010118,HSBC Inv 6411632908,8,X,19,,,,,,
,,105,010119,HSBC Inv 6411632916,8,X,19,,,,,,
,,105,0102,BANCOMER MN,7,N,11,,,,,,
,,105,010201,Bancomer Cta  0446407072,8,X,24,,,,,,
,,105,010202,Bancomer Cta  0447766246,8,X,24,,,,,,
,,105,010203,Bancomer Cta  0160263192,8,X,24,,,,,,
,,105,0103,BANAMEX MN,7,N,10,,,,,,
,,105,010301,Banamex Cta 03512013510,8,X,23,,,,,,
,,105,010302,Banamex Cta 0687004,8,X,19,,,,,,
,,105,0104,ACTINVER MN,7,N,11,,,,,,
,,105,010401,Actinver Cta 9002848-1,8,X,22,,,,,,
,,105,0105,BANCO BASE MN,7,N,13,,,,,,
,,105,010501,Base Cta 145320002051501010,8,X,27,,,,,,
,,105,0106,GRUPO BURSATIL MEXICANO MN,7,N,26,,,,,,
,,105,010601,GBM (Fondo de Ahorro) Cta 226965,8,X,32,,,,,,
,,105,010602,GBM (Fondo de Ahorro) Cta 227422,8,X,32,,,,,,
,,105,010603,GBM (Fondo de Ahorro) Cta 227516,8,X,32,,,,,,
,,105,010604,GBM (Fondo de Ahorro) Cta 227765,8,X,32,,,,,,
,,105,0107,BANCO MONEX MXP,7,N,15,,,,,,
,,105,010701,MONEX MXP Cta 1845882,8,X,21,,,,,,
,,105,0108,BANCO BASE MXP,7,N,14,,,,,,
,,105,010801,BASE MXP Cta 145320104590000006,8,X,31,,,,,,
,,105,010802,BASE MXP Cta 145320457969101018,8,X,31,,,,,,
,,105,0109,BANREGIO MN,7,N,11,,,,,,
,,105,010901,BANREGIO MXP Cta 145804290018,8,X,29,,,,,,
,,105,02,BANCO USD,6,N,9,,,,,,
,,105,0201,HSBC USD,7,N,8,,,,,,
,,105,020101,HSBC USD Cta 7000046326,8,X,23,,,,,,
,,105,020102,HSBC USD Cta 724008713,8,X,22,,,,,,
,,105,020103,HSBC USD 70-0377579-8,8,X,21,,,,,,
,,105,020104,HSBC USD 7003822988,8,X,19,,,,,,
,,105,020105,HSBC USD 7003821378,8,X,19,,,,,,
,,105,020106,HSBC USD 7003846524,8,X,19,,,,,,
,,105,020107,HSBC USD 7003846631,8,X,19,,,,,,
,,105,020108,HSBC USD Cta 104056193 American,8,X,31,,,,,,
,,105,0202,BANCOMER USD,7,N,12,,,,,,
,,105,020201,Bancomer USD Cta 0446407064,8,X,27,,,,,,
,,105,020202,Bancomer USD Cta 0199216502,8,X,27,,,,,,
,,105,0203,BANAMEX USD,7,N,11,,,,,,
,,105,020301,Banamex USD Cta 3519420537,8,X,26,,,,,,
,,105,0204,CITYBANK USD,7,N,12,,,,,,
,,105,020401,Citybank USD Cta 36841354,8,X,25,,,,,,
,,105,0205,GRUPO BURSATIL MEXICANO USD,7,N,27,,,,,,
,,105,020501,GBM USD Cta 217621,8,X,18,,,,,,
,,105,0206,BANCO MONEX USD,7,N,15,,,,,,
,,105,020601,MONEX USD Cta 1845882,8,X,21,,,,,,
,,105,0207,PNC BANK USD,7,N,12,,,,,,
,,105,020701,PNC USD Cta 4749943594 Elements,8,X,31,,,,,,
,,105,0208,BANCO BASE USD,7,N,14,,,,,,
,,105,020801,BASE USD Cta 145320457969102017,8,X,31,,,,,,
,,105,020802,BASE USD Cta 145320104590002017,8,X,31,,,,,,
,,105,0209,BANREGIO USD,7,N,12,,,,,,
,,105,020901,BANREGIO USD Cta 145804290026,8,X,29,,,,,,
,,105,03,BANCO EURO,6,N,10,,,,,,
,,105,0301,BANCO BASE EURO,7,N,15,,,,,,
,,105,030101,BASE EURO Cta 145320104590013019,8,X,32,,,,,,
,,105,030102,BASE EURO Cta (pendiente),8,X,25,,,,,,
,,105,0302,BANCO MONEX EURO,7,N,16,,,,,,
,,105,030201,MONEX EURO Cta 1845882,8,X,22,,,,,,
1,115,115,,CLIENTES,5,N,8,,Solo modificar la descripción,,,,
,,115,01,Clientes Nal,6,M,12,,Solo modificar la descripción,,,,
,,115,02,Clientes Ext,6,M,12,,,,,,
,,115,03,Clientes Partes Rel,6,M,19,,,,,,
,,115,98,Cliente Direct Supply,6,M,21,,,,,,
,,115,99,EFECTO CAMBIARIO,6,N,16,,,,,,
,,115,9901,Efecto Cambiario Nal,7,X,20,,,,,,
,,115,9902,Efecto Cambiario Ext,7,X,20,,,,,,
,,115,9903,Efecto Cambiario Parte Rel,7,X,26,,,,,,
1,120,120,,RESERVA P/CTAS INCOBRABLES,5,N,26,,Solo modificar la descripción,,,,
,,120,01,Reserv P/Ctas Incob NAL,6,X,23,,Solo modificar la descripción,,,,
,,120,02,Reserv P/Ctas Incob EXT,6,X,23,,,,,,
,,120,99,Efecto Cambiario,6,X,16,,,,,,
1,125,125,,DEUDORES DIVERSOS,5,N,17,,,,,,
,,125,01,DEUDORES DIV CON ACT EMP,6,N,24,,,,,,
,,125,0101,Deudores Con Act Emp MN,7,M,23,,,,,,
,,125,0102,Prestamo a Filiales,7,X,19,,,,,,
,,125,02,Funcionarios y Empleados,6,N,24,,,,,,
,,125,0201,CXC a Empleados Multas,7,X,22,,,,,,
,,125,0202,Prestamo a Empleados,7,X,20,,,,,,
,,125,03,Cuenta Puente CxC y CxP,6,X,23,,,,,,
,,125,04,Prestamo a Trab x Multas,6,X,24,,,,,,
,,125,05,Provision de Intereses,6,X,22,,,,,,
,,125,06,DEUDORES DIV CON ACT EMP EXT,6,N,28,,,,,,
,,125,0601,Deudores Con Act Emp EXT,7,M,24,,,,,,
,,125,99,EFECTO CAMBIARIO,6,N,16,,,,,,
,,125,9901,Efecto Cambiario Nal,7,X,20,,,,,,
,,125,9902,Efecto Cambiario Ext,7,X,20,,,,,,
1,130,130,,ANTICIPO A PROVEEDORES ,5,N,23,,Solo modificar la descripción,,,,
,,130,01,Ant Proveed Nacional,6,M,20,,Solo modificar la descripción,,,,
,,130,02,Ant Proveed Extranjero,6,M,22,,,,,,
,,130,03,Ant Proveed Nal Parte Rel,6,M,25,,,,,,
,,130,99,EFECTO CAMBIARIO,6,N,16,,,,,,
,,130,9901,Efecto Cambiario Nal,7,X,20,,,,,,
,,130,9902,Efecto Cambiario Ext,7,X,20,,,,,,
,,130,9903,Efecto Cambiario Parte Rel,7,X,26,,,,,,
1,131,131,, ANTICIPOS A EMPLEADOS,5,N,22,,,,,,
,,131,01,Pago x Anticipo a Empleados,6,X,27,,,,,,
1,135,135,,INVENTARIOS,5,N,11,,,,,,
,,135,01,Materia Prima,6,X,13,,,,,,
,,135,02,Producción en Proceso,6,X,21,,,,,,
,,135,03,PRODUCTO TERMINADO,6,N,18,,,,,,
,,135,0301,Espuma,7,X,6,,,,,,
,,135,0302,Polietileno Espumado,7,X,20,,,,,,
,,135,0303,EPS,7,X,3,,,,,,
,,135,0304,Bolsas de Plastico,7,X,18,,,,,,
,,135,0305,Carton,7,X,6,,,,,,
,,135,0306,Empaque,7,X,7,,,,,,
,,135,0307,Colchones,7,X,9,,,,,,
,,135,0308,Almohadas,7,X,9,,,,,,
,,135,0309,Cojines,7,X,7,,,,,,
,,135,0310,Edredones,7,X,9,,,,,,
,,135,0311,Resortes,7,X,8,,,,,,
,,135,0312,Telas,7,X,5,,,,,,
,,135,0313,Varios,7,X,6,,,,,,
,,135,0314,Madera,7,X,6,,,,,,
,,135,0315,Fundas,7,X,6,,,,,,
,,135,0316,Scrap,7,X,5,,,,,,
,,135,04,      PRODUCTO EN TRANSITO,6,N,26,,,,,,
,,135,0401,       Inventario en Transito,7,X,29,,,,,,
,,135,0402,       Actividad Complementari,7,X,30,,,,,,
,,135,05,      PRODUCTO EN CONSIGNACION,6,N,30,,,,,,
,,135,99,Efecto de Actualización,6,X,23,,,,,,
1,140,140,,IMPUESTO AL VALOR AGREGADO,5,N,26,,,,,,
,,140,01,IVA POR ACREDITAR,6,N,17,,,,,,
,,140,0101,IVA X Acreditar 16%,7,X,19,,,,,,
,,140,0102,IVA X Acreditar 11%,7,X,19,,,,,,
,,140,0103,IVA IMPORTACIONES 16%,7,X,21,,,,,,
,,140,0104,IVA X Acreditar 8%,7,X,18,,,,,,
,,140,02,IVA PAGADO,6,N,10,,,,,,
,,140,0201,IVA Pagado 16%,7,X,14,,,,,,
,,140,0202,IVA Pagado 11%,7,X,14,,,,,,
,,140,0203,IVA Pagado 8%,7,X,13,,,,,,
,,140,03,IVA RETENIDO CE,6,N,15,,,,,,
,,140,0301,IVA Ret CE 16%,7,X,14,,,,,,
,,140,0302,IVA Ret CE 11%,7,X,14,,,,,,
,,140,04,IVA RETENIDO TRANSPORTISTAS,6,N,27,,,,,,
,,140,0401,IVA Ret 4%,7,X,10,,,,,,
,,140,05,IVA RETENIDO DESPERDICIO,6,N,24,,,,,,
,,140,0501,IVA Ret Desperdicio 16%,7,X,23,,,,,,
,,140,0502,IVA Ret Desperdicio 8%,7,X,22,,,,,,
,,140,06,IVA RETENIDO 6% NOMINA,6,N,22,,,,,,
,,140,0601,IVA Ret Nomina 6%,7,X,17,,,,,,
1,145,145,,IMPUESTOS PAGADOS X ANT,5,N,23,,,,,,
,,145,01,Anticipos de ISR,6,X,16,,,,,,
,,145,02,Anticipos de IETU,6,X,17,,,,,,
,,145,03,SALDOS A FAVOR,6,N,14,,,,,,
,,145,0301,Saldo a Favor de IVA,7,X,20,,,,,,
,,145,0302,Pagos Indebidos,7,X,15,,,,,,
,,145,0303,Saldo a Favor de ISR,7,X,20,,,,,,
,,145,04,Subsidio al Empleo,6,X,18,,,,,,
,,145,05,ISR Retenido por Bancos,6,X,23,,,,,,
1,16,16,,ACTIVO FIJO,4,N,11,,,,,,
1,160,160,,INVERSIONES EN ACCIONES,5,N,23,,,,,,
,,160,01,Vantex SA de CV,6,X,15,,,,,,
,,160,02,Servicios Administrativos SL,6,X,28,,,,,,
,,160,03,TIMLE,6,X,5,,,,,,
,,160,04,TQ1 de Mexico,6,X,13,,,,,,
,,160,05,Emypla,6,X,6,,,,,,
,,160,06,Papelcor,6,X,8,,,,,,
,,160,07,American Confort Products,6,X,25,,,,,,
,,160,08,Elements Sleep,6,X,14,,,,,,
,,160,09,Operadora Ureblock,6,X,18,,,,,,
,,160,99,Efecto de Actualización,6,X,23,,,,,,
1,165,165,,INVERSIONES EN ACTIVO FIJO,5,N,26,,,,,,
,,165,01,Terrenos,6,X,8,,,,,,
,,165,02,EDIFICIOS,6,N,9,,,,,,
,,165,0201,Construcciones,7,X,14,,,,,,
,,165,0202,Obras En Proceso,7,X,16,,,,,,
,,165,03,Maquinaria Y Equipo,6,X,19,,,,,,
,,165,04,Equipo de Transporte,6,X,20,,,,,,
,,165,05,Equipo de Oficina,6,X,17,,,,,,
,,165,06,Equipo de Computo,6,X,17,,,,,,
,,165,07,Equipo de Laboratorio,6,X,21,,,,,,
,,165,08,Moldes y Troqueles,6,X,18,,,,,,
,,165,89,Activos Pendientes de Capitalizar,6,X,33,,,,,,
,,165,99,EFECTOS DE ACTUALIZACIÓN,6,N,24,,,,,,
,,165,9901,Terrenos,7,X,8,,,,,,
,,165,9902,Edificios,7,X,9,,,,,,
,,165,9903,Maquinaria Y Equipo,7,X,19,,,,,,
,,165,9904,Equipo de Transporte,7,X,20,,,,,,
,,165,9905,Equipo de Oficina,7,X,17,,,,,,
,,165,9906,Equipo de Computo,7,X,17,,,,,,
,,165,9907,Equipo de Laboratorio,7,X,21,,,,,,
,,165,9908,Moldes y Troqueles,7,X,18,,,,,,
1,170,170,,DEPN ACUMULADA DE ACTIVO,5,N,24,,,,,,
,,170,01,Edificios,6,X,9,,,,,,
,,170,02,Maquinaria Y Equipo,6,X,19,,,,,,
,,170,03,Equipo de Transporte,6,X,20,,,,,,
,,170,04,Equipo de Oficina,6,X,17,,,,,,
,,170,05,Equipo de Computo,6,X,17,,,,,,
,,170,06,Equipo de Laboratorio,6,X,21,,,,,,
,,170,07,Moldes y Troqueles,6,X,18,,,,,,
,,170,99,EFECTOS DE ACTUALIZACIÓN,6,N,24,,,,,,
,,170,9901,Terrenos,7,X,8,,,,,,
,,170,9902,Edificios,7,X,9,,,,,,
,,170,9903,Maquinaria Y Equipo,7,X,19,,,,,,
,,170,9904,Equipo de Transporte,7,X,20,,,,,,
,,170,9905,Equipo de Oficina,7,X,17,,,,,,
,,170,9906,Equipo de Computo,7,X,17,,,,,,
,,170,9907,Equipo de Laboratorio,7,X,21,,,,,,
,,170,9908,Moldes y Troqueles,7,X,18,,,,,,
1,18,18,,ACTIVO DIFERIDO,4,N,15,,,,,,
1,180,180,,CARGOS DIFERIDOS,5,N,16,,,,,,
,,180,01,Gastos de Instalacion,6,X,21,,,,,,
,,180,02,Mejoras en Locales Arrendados,6,X,29,,,,,,
,,180,03,DEPÓSITOS EN GARANTÍA,6,N,21,,,,,,
,,180,0301,Depósitos En Garantía MN,7,X,24,,,,,,
,,180,0302,Depósitos En Garantía USD,7,X,25,,,,,,
,,180,99,EFECTOS DE ACTUALIZACIÓN,6,N,24,,,,,,
,,180,9901,Gastos de Instalación,7,X,21,,,,,,
,,180,9902,Mejoras Local Arrendado,7,X,23,,,,,,
1,185,185,,AMORT ACUM DE CARGOS DIFE,5,N,25,,,,,,
,,185,01,Amort Gastos de Instalac,6,X,24,,,,,,
,,185,02,Amort Mejoras Local Arre,6,X,24,,,,,,
,,185,99,EFECTOS DE ACTUALIZACIÓN,6,N,24,,,,,,
,,185,9901,Gastos de Instalación,7,X,21,,,,,,
,,185,9902,Mejoras Local Arrendado,7,X,23,,,,,,
1,190,190,,GASTOS PAGADOS POR ANTICI,5,N,25,,,,,,
,,190,01,Seguro Pagado Por Antici,6,X,24,,,,,,
,,190,02,Rentas Pagadas Por Antici,6,X,25,,,,,,
,,190,03,Prediales y Tenecias Pagadas Por Antici,6,X,39,109.23,,,,,
,,190,04,Honorarios Pagadas Por Antici,6,X,29,109.23,,,,,
,,190,05,Seguridad e Higiene,6,X,19,109.23,,,,,
,,190,06,Capacitacion,6,X,12,109.23,,,,,
,,190,07,Herramentales,6,X,13,109.23,,,,,
,,190,08,Mantenimiento,6,X,13,,,,,,
