cía. ,1,UNIDADES DE NEGOCIO FINANCIERAS 2024,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,ALMCENES DE NEGOCIO P-CTRL ARTÍCULOS,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
PLANTAS,,01,02,03,04,05,06,07,08,09,10,11,12,13,50,,01,02,03,04,05,06,50,,,,
Consec.,"Producción directa (400, 450, 460, 500, 501, 502,  y 510)",Guadalajara ,Puebla,Leon,Mty II,Yucatan,Tecate,Mty I (Telas),Cd Juarez,Poncitlan,Cd Juarez 2,Hda San Jose,Mty III (Resortes),Texas,Corporativo,,Guadalajara ,Puebla,Leon,Monterrey,Yucatan,Tecate,Corporativo,,,,
01,Espuma,10101,10201,10301,10401,,10601,,,,11001,,,,,,EPM GDL y ESP GDL,ESP PUEBLA,ESP LEON,ESP MTY,ESP YUC,ESP TKT,,,,,1 primero números = cias
02,Ensamble,10102,10202,10302,10402,10502,10602,,10802,10902,11002,,,,,,CORTE GDL,CORTE PUEBLA,CORTE LEON,CORTE MTY,CORTE YUC,CORTE TKT,,,,,
,Almacen (TOLUCA),,,1030201,,,,,,,,,,,,,,,,,,,,,,,
,Almacen (Corte 1),1010201,,,,,,,,,,,,,,,,,,,,,,,,,
,Almacen (Corte 2),1010202,,,,,,,,,,,,,,,,,,,,,,,,,
,Almacen (Mty 4),,,,1040201,,,,,,,,,,,,,,,,,,,,,,
03,Polietileno Espumado,10103,,,,,,,,,,,,,,,POLIETILENO GDL,,,,,,,,,,2do y 3ro = planta
,Almacen (Materia Prima),1010301,,,,,,,,,,,,,,,,,,,,,,,,,
06,Corrugado,10106,,,,,,,,,,,,,,,CORRUGADO GDL,,,,,,,,,,
08,Costura,,,,,10508,,,,,,11108,,,,,COSTURA GDL,,,,COSTURA YUC,,,,,,
10,Telas,,,,,,,10710,,,,,,,,,,,,TELAS MTY,,,,,,,
11,Resortes,,,,,,,,,,,,11211,,,,,,,RESORTE MTY,,RESORTE TKT,,,,,
12,Almacen Vallarta,10112,,,10412,,,,,,,,,,,,,,,,,,,,,,
,Almacen (servisum),1011201,,,,,,,,,,,,,,,,,,,,,,,,,
,Almacen (SG),1011202,,,,,,,,,,,,,,,,,,,,,,,,,
,Almacen (ENSAMBLE),1011203,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aseguradora,,,10313,10413,,,,,,,,,,,,,,,,,,,,,,
20,Administracion Planta (600),10120,10220,10320,10420,10520,10620,,,,11020,,,,,,ADMON GDL,ADMON PUEBLA,ADMON LEON,ADMON MTY,ADMON YUC,ADMON TKT,,,,"Se incluye Vigilancia, Calidad, Jardines, Mantenimiento, CxC excepto Gdl, CxP exepto Gdl",
,Corporativos (601),,,,,,,,,,,,,,,,,,,,,,,,,,
41,Corporativo General,,,,,,,,,,,,,,15041,,,,,,,,CORP GRAL,,,,
42,Dirección General Corp,,,,,,,,,,,,,,15042,,,,,,,,CORP DIRECCION,,,,
43,Manufactura General Corp,,,,,,,,,,,,,,15043,,,,,,,,CORP MFRA,,,,
44,Ventas Corp,,,,,,,,,,,,,,15044,,,,,,,,CORP GCIA VENTAS,,,,
45,Sistemas Corp,,,,,,,,,,,,,,15045,,,,,,,,CORP SISTEMAS,,,,
46,Contabilidad Corp.,,,,,,,,,,,,,,15046,,,,,,,,CORP CONTABILIDAD,,,,
47,Compras Corp.,,,,,,,,,,,,,,15047,,,,,,,,CORP COMPRAS,,,,
48,Cuentas por Cobrar Corp.,,,,,,,,,,,,,,15048,,,,,,,,CORP CXC,,,,
49,Cuentas por Pagar Corp.,,,,,,,,,,,,,,15049,,,,,,,,CORP CXP,,,,
50,Recursos Humanos Corp,,,,,,,,,,,,,,15050,,,,,,,,CORP RH,,,,
51,Tesorería Corp.,,,,,,,,,,,,,,15051,,,,,,,,CORP TESORERIA,,,,
