UREBLOCK S.A. DE C.V.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,UREBLOCK S.A. DE C.V..1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
ESTADO DE RESULTADOS DE ABRIL DE 2025,,,,,,,,,,,,,,,,,,,ESTADO DE RESULTADOS DE ABRIL DE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL,3534448.0500000003,,27549335.21999996,,138264.37,,154710,,650945.39,,,,32027703.029999964,,0,,,,VENTAS,,,11391374.55,,,,11391374.55,0.5983067115402009,4010834.13,,30587127.269999996,,,,34597961.4,0.22705218507132396,24843339.659999996,,25664206.099999998,,0,,50507545.75999999,,96385,,9797.7,,0,,9797.7,,,,6640700.119999998,,99339.42000000001,,,,6740039.539999998,0.35576276326487327,52464056.849999994,,8670543.31,,,,61134600.16,0.7723669823782681,16482342.780000001,,,,16482342.780000001,0.9395698105198332,7791951.869999999,,,,7791951.869999999,0.969568139103307,0,,407717.66,,,,407717.66,0.005151054523827096,,221187419.44999996,,221187419.44999993,0,105309331.24,
AUTOMOTRIZ,0,,0,,0,,0,,0,,,,0,,0,,,,,,,0,,,,0,0,253433.52000000002,,54698691.05,,,,54952124.57,0.36062818307930966,215625.91,,167644.63,,0,,383270.54000000004,,0,,0,,0,,0,,,,0,,0,,,,0,0,0,,0,,,,0,0,924042.2399999999,,,,924042.2399999999,0.05267468368650941,0,,,,0,0,0,,1480808.1,,,,1480808.1,0.018708346512203586,,57740245.45,,57740245.45,0,22249875.740000002,
EMPAQUE,6458330.6,,477437.75,,63482.65,,16667.52,,30563717.83,,,,37579636.349999994,,0,,,,,,,0,,,,0,0,0,,0,,,,0,0,0,,1654778.5,,0,,1654778.5,,0,,0,,0,,0,,,,0,,0,,,,0,0,1005163.2799999999,,2045897.92,,,,3051061.1999999997,0.038546730099288135,293848.78,,,,293848.78,0.016750740245561387,0,,,,0,0,0,,1618747.27,,,,1618747.27,0.020451052937138562,,44198072.1,,44198072.1,0,18352279.55,
PROD HOGAR,0,,1884546.87,,0,,0,,1254280.0999999999,,,,3138826.9699999997,,0,,,,,,,0,,,,0,0,0,,92400.61,,,,92400.61,0.0006063871844895239,0,,26082690.939999994,,0,,26082690.939999994,,10509659.549999999,,1312215.55,,0,,1312215.55,,,,0,,18797.25,,,,18797.25,0.000992184328013696,0,,2726836.65,,,,2726836.65,0.03445051720771679,0,,,,0,0,159636.33,,,,159636.33,0.019863867487079512,0,,0,,,,0,0,,44041063.84999999,,44041063.84999999,0,28214697.980000004,
"REB, DEV, DCTOS S/VTAS",-171712.57,,-1077630.13,,0,,0,,-488463.3385,,0,,-1737806.0385,,0,,,,"REB, DEV, DCTOS S/VTAS",0,,-93356.49,,0,,-93356.49,-0.004903342813254758,,,-7644555.99,,0,,-7644555.99,-0.050168075551109734,-367326.73,,-1701040.81,,0,,-2068367.54,,0,,0,,0,,0,,0,,-238568.97,,-27384.97,,0,,-265953.94,-0.01403797530178589,-2907355.78,,-97342.47,,0,,-3004698.25,-0.03796098631930209,-297458.38,,0,,-297458.38,-0.016956504148989464,-331208.59,,0,,-331208.59,-0.04121294659143348,0,,-13406.75,,0,,-13406.75,-0.00016937922246811413,,-15456811.9685,,-15456811.9685,0,,
(+) OTROS INGRESOS,11417.46,,521046.44999999995,,86407.92,,2817.86,,-115978.88,,,,505710.80999999994,,0,,,,(+) OTROS INGRESOS,,,72000,,,,72000,0.003781640489636473,,,20137.33,,,,20137.33,0.00013215301113094844,,0,398608.46,,,,398608.46,,,,-21120,,0,,-21120,,,,20868.21,,,,,,20868.21,0.0011014968102088705,,,35948.09,,,,35948.09,0.0004541637259898028,,,,,0,0,0,,,,0,0,,,862.07,,,,862.07,1.089128583087528e-05,,1033014.9699999997,,1033014.97,0,,
