UREBLOCK S.A. DE C.V.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,UREBLOCK S.A. DE C.V..1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
ESTADO DE RESULTADOS DE AGOSTO DE 2025,,,,,,,,,,,,,,,,,,,ESTADO DE RESULTADOS DE AGOSTO DE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL,5454027.320000001,,28989726.619999997,,189437.5,,265741.2,,9389.92,,,,34908322.56,,0,,,,VENTAS,0,,15121991.4,,0,,15121991.4,0.5925766390771431,5873262.7700000005,,32359587.73,,0,,38232850.5,0.2799772778595154,20168789.130000003,,18106058.33,,0,,38274847.46,,-130897.5,,79972.7,,0,,79972.7,,0,,4028415.289999999,,106104.37,,0,,4134519.659999999,0.38377649781372203,42080639.99,,7885844.63,,0,,49966484.620000005,0.8379364096048614,14538015.480000002,,,,14538015.480000002,0.9424534809204146,8659492.940000001,,0,,8659492.940000001,0.9993801253018388,0,,211087.86,,0,,211087.86,0.0035399369170104646,,203996687.68000004,,203996687.68,0,105309331.24,
AUTOMOTRIZ,0,,0,,0,,0,,0,,,,0,,0,,,,,0,,0,,0,,0,0,223592.12999999998,,44059454.45999999,,0,,44283046.589999996,0.32428256531890803,310570.14,,1173408.47,,0,,1483978.6099999999,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,,0,,0,,0,0,601510.17,,,,601510.17,0.03899399847973819,0,,0,,0,0,0,,1277406.51,,0,,1277406.51,0.02142206786680436,,47645941.879999995,,47645941.879999995,0,22249875.740000002,
EMPAQUE,972831.95,,362329.63,,259717.67999999996,,-1193.2700000000004,,35468140.07,,,,37061826.06,,0,,,,,0,,0,,0,,0,0,0,,0,,0,,0,0,0,,1023932.41,,0,,1023932.41,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,587422.62,,2383613.88,,0,,2971036.5,0.04982419068598053,474123.94,,,,474123.94,0.030735952802871943,0,,0,,0,0,0,,1665723.04,,0,,1665723.04,0.027934124126375148,,43196641.949999996,,43196641.949999996,0,18352279.55,
PROD HOGAR,0,,657232.83,,0,,0,,1129203.77,,,,1786436.6,,0,,,,,0,,0,,0,,0,0,0,,130568.53,,0,,130568.53,0.0009561469031329085,0,,27698399.299999997,,0,,27698399.299999997,,10160928.73,,1081726.87,,0,,1081726.87,,0,,0,,0,,0,,0,0,0,,1627899.12,,0,,1627899.12,0.02729981815182005,0,,,,0,0,142435.87000000002,,0,,142435.87000000002,0.016438327116192142,0,,0,,0,,0,0,,42628395.01999999,,42628395.019999996,0,28214697.980000004,
"REB, DEV, DCTOS S/VTAS",-149385.19,,-1401586.14,,0,,0,,-485595.93,,0,,-2036567.2599999998,,0,,,,"REB, DEV, DCTOS S/VTAS",0,,-141513.91,,0,,-141513.91,-0.005545422884611964,0,,-6979567.27,,0,,-6979567.27,-0.05111102675674076,-95094.96,,-1602482.07,,0,,-1697577.03,,0,,0,,0,,0,,0,,-155859.89,,-48739.97,,0,,-204599.86000000002,-0.01899147281451743,-1612652.36,,-53799.01,,0,,-1666451.37,-0.02794633819806438,-558286.69,,0,,-558286.69,-0.03619195722180069,-521886.79,,0,,-521886.79,-0.06023023394064622,0,,-11897.68,,0,,-11897.68,-0.0001995237275074799,,-13818347.859999998,,-13818347.86,0,,
