UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.38423931890045,Unnamed: 122,Unnamed: 123,17.56180775476723,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,RESULTADO,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,RESULTADO,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,RESULTADO,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,RESULTADO,,,GDL ALM VALL,,,GDL ALM VALL,,,GDL ALM VALL,,,,,,
,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,782.350212668168,,,0,,,782.350212668168,,,354.1066844575341,,,,,,354.1066844575341,,,236.27572978567383,,,,,,236.27572978567383,,,1372.732626911376,,,32388.30231419156,,,,,,32388.30231419156,,,630.1179055545937,,,,,,630.1179055545937,,,153.85188164417008,,,,,,153.85188164417008,,,33172.27210139032,,,1666.138475058226,,,,,,1666.138475058226,,,501.396287475855,,,,,,501.396287475855,,,973.9920151491922,,,,,,973.9920151491922,,,3141.5267776832734,,,302.63441421567995,,,,,,302.63441421567995,,,,,,,,,,,,,,,,,,,,,302.63441421567995,,,37989.165920200656,,,0,,,37989.165920200656,,,,,,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
EMPAQUE USD,1752751.2356949972,,,3222663.0330428733,,,-1469911.797347876,-0.4561171249604615,,1400514.8100241905,,,,,,1400514.8100241905,,,1548571.3442533829,,,,,,1548571.3442533829,,,4701837.38997257,,,1496418.0553563018,,,,,,1496418.0553563018,,,1397532.978680313,,,,,,1397532.978680313,,,1673436.3406246046,,,,,,1673436.3406246046,,,4567387.37466122,,,1911089.539164619,,,,,,1911089.539164619,,,1867973.0773272004,,,,,,1867973.0773272004,,,1709213.9558911487,,,,,,1709213.9558911487,,,5488276.572382968,,,1782970.673889526,,,,,,1782970.673889526,,,,,,,,,,,,,,,,,,,,,1782970.673889526,,,16540472.010906285,,,3222663.0330428733,,,13317808.977863412,4.132547784646474,,,,,
PROD HOGAR USD,49421.19608687435,,,0,,,49421.19608687435,,,87950.50850250546,,,,,,87950.50850250546,,,65766.58130836411,,,,,,65766.58130836411,,,203138.28589774392,,,62407.69761880396,,,,,,62407.69761880396,,,57667.81149361674,,,,,,57667.81149361674,,,82996.15527608652,,,,,,82996.15527608652,,,203071.66438850723,,,81984.28102809176,,,,,,81984.28102809176,,,60296.42191645288,,,,,,60296.42191645288,,,66120.94738592222,,,,,,66120.94738592222,,,208401.65033046686,,,116408.11413313134,,,,,,116408.11413313134,,,,,,,,,,,,,,,,,,,,,116408.11413313134,,,731019.7147498494,,,0,,,731019.7147498494,,,,,,
OTROS INGRESOS USD,0,,,80410.05628787748,,,-80410.05628787748,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,80410.05628787748,,,-80410.05628787748,,,,,,
TOTAL VENTAS USD,1802954.7819945398,,,3303073.0893307505,,,-1500118.307336211,-0.45415837517545093,,1488819.4252111535,,,,,,1488819.4252111535,,,1614574.2012915327,,,,,,1614574.2012915327,,,4906348.4084972255,,,1591214.0552892974,,,,,,1591214.0552892974,,,1455830.9080794845,,,,,,1455830.9080794845,,,1756586.3477823352,,,,,,1756586.3477823352,,,4803631.311151117,,,1994739.9586677689,,,,,,1994739.9586677689,,,1928770.8955311293,,,,,,1928770.8955311293,,,1776308.8952922202,,,,,,1776308.8952922202,,,5699819.749491119,,,1899681.422436873,,,,,,1899681.422436873,,,,,,,,,,,,,,,,,,,,,1899681.422436873,,,17309480.891576335,,,3303073.0893307505,,,14006407.802245583,4.2404171580361485,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
