UREBLOCK S.A. DE C.V.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,UREBLOCK S.A. DE C.V..1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
ESTADO DE RESULTADOS DE ENERO DE 2025,,,,,,,,,,,,,,,,,,,ESTADO DE RESULTADOS DE ENERO DE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL,5129865.779999999,,36991971.44000001,,181231.34,,143047.58,,16088.54,,,,42462204.680000015,,0,,,,VENTAS,,,11832500.38,,,,11832500.38,0.5731843614865004,5943317.569999999,,37835416.75,,,,43778734.32,0.2934691974778875,18987654.45,,22493713.92,,0,,41481368.370000005,,365051.91,,71188.98999999999,,0,,71188.98999999999,,,,4947272.549999999,,24131.83,,,,4971404.379999999,0.22680747332785656,54856015.68,,7823602.080000002,,,,62679617.760000005,0.8532643990815708,18704742.889999997,,,,18704742.889999997,0.9140256505706084,10530116.440000001,,,,10530116.440000001,1.0696160240896886,0,,83021.14,,,,83021.14,0.0011301757359850075,,236959951.26,,236959951.26000005,0,,
AUTOMOTRIZ,0,,0,,0,,0,,0,,,,0,,0,,,,,,,0,,,,0,0,165336.42,,51404843.81,,,,51570180.230000004,0.34569887962645246,306778.33,,1125762.99,,0,,1432541.32,,0,,0,,0,,0,,,,0,,0,,,,0,0,0,,0,,,,0,0,1058960.94,,,,1058960.94,0.05174716743258923,0,,,,0,0,0,,1339710,,,,1339710,0.018237616771541253,,55401392.49,,55401392.49,0,,
EMPAQUE,3538733.57,,391477.71,,454894.39,,15425.37,,36235421.51,,,,40635952.55,,0,,,,,,,0,,,,0,0,0,,0,,,,0,0,0,,1093700.77,,0,,1093700.77,,0,,0,,0,,0,,,,0,,0,,,,0,0,551699.91,,2069805.5200000003,,,,2621505.43,0.03568683625325964,978902.89,,,,978902.89,0.04783505211162509,0,,,,0,0,0,,1482182.17,,,,1482182.17,0.020177105793098067,,46812243.81,,46812243.81,0,,
PROD HOGAR,0,,8544595.5,,0,,0,,1016315.81,,,,9560911.31,,0,,,,,,,0,,,,0,0,0,,144724.72,,,,144724.72,0.0009701570429871665,0,,54041443.07000001,,0,,54041443.07000001,,6172321.989999999,,0,,0,,0,,,,0,,5067323.97,,,,5067323.97,0.231183556661183,0,,2314482.84,,,,2314482.84,0.03150730461086984,0,,,,0,0,140881.28,,,,140881.28,0.014310276191235179,0,,0,,,,0,0,,77442089.18,,77442089.18,0,,
"REB, DEV, DCTOS S/VTAS",-407262.82,,-2400114.44,,0,,0,,-191194.885,,0,,-2998572.1449999996,,0,,,,"REB, DEV, DCTOS S/VTAS",,,-58845.64,,0,,-58845.64,-0.0035249802872785265,-15070.89,,-4807259.32448595,,0,,-4822330.21448595,-0.05205530324703041,-174694.21,,-563417.83,,0,,-738112.0399999999,,0,,0,,0,,0,,0,,-156001.48,,0,,0,,-156001.48,-0.008778712068770334,-3067529.89,,-536472.38,,0,,-3604002.27,-0.0440483444522163,-265853.02,,0,,-265853.02,-0.020677646626664273,-544613.01,,0,,-544613.01,-0.12702251729230776,0,,-43404.61,,0,,-43404.61,-0.0005908716388608036,,-13231734.429485947,,-13231734.4294859,0,,
