UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.419952812634165,Unnamed: 122,Unnamed: 123,19.722482439455383,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,17.795905103909046,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T2,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,,,,OCT 25,,,,,,,,,,,,,,,,,POR,,
,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,RESULTADO,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,RESULTADO,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,GUADALAJARA,,,,GUADALAJARA,,,GDL ESPUMA,,,GDL CORTE,,,GDL POLIETILENO,,,GDL CARTON,,,GDL ALM VALL,,AREA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,1928326.7882204668,,,2218179.286244911,,,-289852.4980244443,-0.13067135728019844,,1463198.5724714275,,,2036375.122540662,,,-573176.5500692346,-0.2814690396306339,,1638996.30383062,,,1920157.690919329,,,-281161.38708870905,-0.14642619635791226,,5030521.664522515,0.4530896508634624,,1531401.6420074187,,,2192202.0340806195,,,-660800.3920732008,-0.3014322502215594,,1737289.4404312235,,,2190233.44295716,,,-452944.0025259366,-0.2068017014270364,,1674657.0261910034,,,2057139.9271795745,,,-382482.9009885711,-0.18592945279758935,,4943348.108629646,0.46969295387955207,,1768839.7555804562,,,2549959.711793255,,,-781119.9562127988,-0.30632639119756033,,1781192.1791399866,,,2237669.796419852,,,-456477.6172798653,-0.20399686227619654,,1617084.720821718,,,2077515.1111914022,,,-460430.3903696842,-0.2216255313327849,,5167116.65554216,0.44681821910147035,,2069647.605101879,,,2284103.35499138,,,-214455.74988950114,-0.0938905629733688,,0,,,0,,,0,,,0,,,0,,,0,,,2069647.605101879,0.5112728427450183,,17210634.0337962,,,21763535.478318147,,,-4552901.444521949,-0.20919861338971152,,22748685.785404544,,,19080326.974906214,,,,2069647.605101879,0.5112728427450183,,406517.586668667,1,,1645613.9020766036,0.9575207882399036,,8083.843630609863,0.7101281346317683,,9129.638311782976,0.7719022494164873,,302.63441421567995,0.000159307982191807,,,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,
EMPAQUE USD,1966739.3536346534,,,2281605.917530702,,,-314866.5638960486,-0.13800216833098727,,1521705.924924356,,,2264385.6236589868,,,-742679.6987346308,-0.32798287136912035,,1832938.3505426953,,,2412259.2377667637,,,-579320.8872240684,-0.2401569773903719,,5321383.629101705,0.4792870424600564,,1845500.6259195488,,,2392601.5430216864,,,-547100.9171021376,-0.22866361459049628,,1584599.3490103013,,,2488950.1783994418,,,-904350.8293891405,-0.36334629645768857,,1832642.9221710835,,,2432164.128826788,,,-599521.2066557046,-0.2464970186633325,,5262742.897100934,0.5000402970878782,,2193285.0874727424,,,2482610.910495676,,,-289325.8230229337,-0.11654094558263546,,1953071.5913495012,,,2512419.43154511,,,-559347.8401956088,-0.22263314523547373,,1937342.121599475,,,2726548.287805178,,,-789206.1662057033,-0.2894524809025113,,6083698.8004217185,0.5260782066219801,,1810741.4559922502,,,2697308.948293717,,,-886567.4923014669,-0.32868592708384337,,0,,,0,,,0,,,0,,,0,,,0,,,1810741.4559922502,0.44731428161937703,,18478566.782616608,,,24690854.207344048,,,-6212287.42472744,-0.25160277455608065,,23697916.901108935,,,20317124.909934875,,,,1810741.4559922502,0.44731428161937703,,0,0,,21773.169257570236,0.012668987642654832,,3299.7972031696354,0.2898718653682317,,2697.815641984415,0.22809775058351267,,1782970.673889526,0.9385629889470453,,,
PROD HOGAR USD,464926.0278856871,,,426436.8721086143,,,38489.15577707277,0.0902575698643374,,209318.23148445878,,,422302,,,-212983.76851554122,-0.5043399475151461,,76557.5049482402,,,417351.553912016,,,-340794.0489637758,-0.8165635080769829,,750801.7643183861,0.0676233066764813,,156174.8164716212,,,425536.9528166935,,,-269362.1363450723,-0.6329935263250901,,73523.70010182416,,,433680.5593194758,,,-360156.85921765165,-0.830465769050851,,88848.04740777408,,,417718.13192027755,,,-328870.08451250347,-0.7873014345838094,,318546.5639812194,0.030266749032569516,,120573.88153498995,,,423686.7093032176,,,-303112.82776822767,-0.7154173617263517,,95390.87436857703,,,432690.6480983629,,,-337299.77372978587,-0.7795402447734623,,97467.69622587325,,,424986.78884380247,,,-327519.0926179292,-0.7706571150340016,,313432.45212944027,0.027103574276549573,,167640.5467175507,,,421065,,,-253424.4532824493,-0.6018653967497876,,0,,,0,,,0,,,0,,,0,,,0,,,167640.5467175507,0.04141287563560468,,1550421.3271465963,,,4245455.21632246,,,-2695033.889175864,-0.6348044560249496,,4799711.977896462,,,4017620.7327148183,,,,167640.5467175507,0.04141287563560468,,0,0,,51232.43258441936,0.02981022411744148,,0,0,,0,0,,116408.11413313134,0.061277703070762975,,,
OTROS INGRESOS USD,0,,,102291.81968713322,,,-102291.81968713322,,,0,,,131315.94286089882,,,-131315.94286089882,,,0,,,65609.64374048707,,,-65609.64374048707,,,0,0,,0,,,82901.76566264135,,,-82901.76566264135,,,0,,,69256.392987216,,,-69256.392987216,,,0,,,129934.83873006009,,,-129934.83873006009,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,132093.5666675467,,,-132093.5666675467,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,713403.9703359832,,,-713403.9703359832,,,0,,,0,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,
TOTAL VENTAS USD,4359992.169740807,,,5028513.89557136,,,-668521.7258305533,-0.13294618245349263,,3194222.7288802424,,,4854378.689060547,,,-1660155.9601803054,-0.34199144041265345,,3548492.1593215554,,,4815378.1263385955,,,-1266885.9670170404,-0.2630916895368143,,11102707.057942605,,,3533077.084398589,,,5093242.29558164,,,-1560165.211183052,-0.30632063440933993,,3395412.489543349,,,5182120.573663293,,,-1786708.0841199446,-0.344783194200536,,3596147.995769861,,,5036957.0266567,,,-1440809.0308868391,-0.2860475130642879,,10524637.5697118,,,4082698.7245881883,,,5456257.331592149,,,-1373558.6070039603,-0.2517400708084186,,3829654.644858065,,,5182779.8760633245,,,-1353125.23120526,-0.26108097653436335,,3651894.538647066,,,5229050.187840383,,,-1577155.6491933167,-0.301614173231848,,11564247.908093318,,,4048029.60781168,,,5534570.869952644,,,-1486541.2621409642,-0.2685919644125333,,0,,,0,,,0,,,0,,,0,,,0,,,4048029.60781168,,,37239622.1435594,,,51413248.87232064,,,-14173626.728761235,-0.2756804333443299,,51246314.66440994,,,43415072.6175559,,,,4048029.60781168,1,,406517.586668667,1,,1718619.5039185933,1,,11383.640833779498,1,,11827.45395376739,1,,1899681.422436873,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
