UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.236133141274777,Unnamed: 122,Unnamed: 123,9.49476764977784,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,RESULTADO,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,RESULTADO,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,RESULTADO,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,RESULTADO,,,GDL CARTON,,,GDL CARTON,,,GDL CARTON,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,6956.088286113392,,,0,,,6956.088286113392,,,5454.318212841755,,,,,,5454.318212841755,,,8119.073195998739,,,,,,8119.073195998739,,,20529.479694953887,,,7697.718315554206,,,,,,7697.718315554206,,,11915.155225881394,,,,,,11915.155225881394,,,10264.34312220737,,,,,,10264.34312220737,,,29877.21666364297,,,14034.560927057417,,,,,,14034.560927057417,,,14189.860095653496,,,,,,14189.860095653496,,,9991.341467891096,,,,,,9991.341467891096,,,38215.76249060201,,,9129.638311782976,,,,,,9129.638311782976,,,,,,,,,,,,,,,,,,,,,9129.638311782976,,,97752.09716098185,,,0,,,97752.09716098185,,,,,,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
EMPAQUE USD,750.101718365071,,,9026.49208282503,,,-8276.39036445996,-0.9168999749313123,,429.71151633977365,,,,,,429.71151633977365,,,93.60885981224008,,,,,,93.60885981224008,,,1273.4220945170846,,,829.3056297515742,,,,,,829.3056297515742,,,1975.7387303715138,,,,,,1975.7387303715138,,,100.05249002505992,,,,,,100.05249002505992,,,2905.096850148148,,,6845.837927242152,,,,,,6845.837927242152,,,-63.71738502099205,,,,,,-63.71738502099205,,,118.75738188445067,,,,,,118.75738188445067,,,6900.87792410561,,,2697.815641984415,,,,,,2697.815641984415,,,,,,,,,,,,,,,,,,,,,2697.815641984415,,,13777.212510755257,,,9026.49208282503,,,4750.720427930226,0.5263086018730976,,,,,
PROD HOGAR USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
OTROS INGRESOS USD,0,,,8085.76,,,-8085.76,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,8085.76,,,-8085.76,,,,,,
TOTAL VENTAS USD,7706.190004478463,,,17112.25208282503,,,-9406.062078346567,-0.5496682746853118,,5884.029729181529,,,,,,5884.029729181529,,,8212.68205581098,,,,,,8212.68205581098,,,21802.901789470972,,,8527.02394530578,,,,,,8527.02394530578,,,13890.893956252907,,,,,,13890.893956252907,,,10364.39561223243,,,,,,10364.39561223243,,,32782.313513791116,,,20880.39885429957,,,,,,20880.39885429957,,,14126.142710632503,,,,,,14126.142710632503,,,10110.098849775546,,,,,,10110.098849775546,,,45116.64041470762,,,11827.45395376739,,,,,,11827.45395376739,,,,,,,,,,,,,,,,,,,,,11827.45395376739,,,111529.30967173711,,,17112.25208282503,,,94417.05758891208,5.51751208034594,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
TRADICIONAL,143047.58,0.9026624417605654,,0,0,,143047.58,,,111595,0.9269698597529781,,,,,111595,,,165420,0.9886019135799851,,,,,165420,,,420062.57999999996,0.9414495531167727,,154710,0.9027438371146929,,,,,154710,,,231957.9,0.8577673448092125,,,,,231957.9,,,195744,0.990346519587985,,,,,195744,,,582411.9,0.9108011996808257,,262224,0.6721404617310508,,,,,262224,,,265741.2,1.0045106004042443,,,,,265741.2,,,185090.4,0.9882535884516018,,,,,185090.4,,,713055.6,0.84688849044289,,168108.33,0.7719022494164873,,,,,168108.33,,,,,,,,,,,,,,,,,,,,,168108.33,0.7719022494164873,,1883638.41,0.8779923852167574,,0,0,,1883638.41,,,,,,
AUTOMOTRIZ,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
EMPAQUE,15425.37,0.09733755823943457,,162476.85749085055,0.5274870916543244,,-147051.48749085056,-0.9050611253921584,,8791.87,0.07303014024702197,,,,,8791.87,,,1907.21,0.011398086420015012,,,,,1907.21,,,26124.450000000004,0.05855044688322744,,16667.52,0.09725616288530725,,,,,16667.52,,,38462.630000000005,0.14223265519078748,,,,,38462.630000000005,,,1908.03,0.009653480412014994,,,,,1908.03,,,57038.18000000001,0.08919880031917425,,127908.73999999999,0.32785953826894915,,,,,127908.73999999999,,,-1193.2700000000004,-0.004510600404244329,,,,,-1193.2700000000004,,,2199.99,0.011746411548398185,,,,,2199.99,,,128915.45999999999,0.15311150955710995,,49676.15,0.22809775058351267,,,,,49676.15,,,,,,,,,,,,,,,,,,,,,49676.15,0.22809775058351267,,261754.24,0.1220076147832426,,162476.85749085055,1,,99277.38250914944,0.6110247578781487,,,,,
PROD HOGAR,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
OTROS INGRESOS,,0,,145543.68,0.47251290834567555,,-145543.68,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,0,,0,,,,,,
TOTAL VENTAS,158472.94999999998,,,308020.53749085055,,,-149547.58749085056,-0.4855117412269717,,120386.87,,,,,,120386.87,,,167327.21,,,,,,167327.21,,,446187.0299999999,,,171377.52,,,,,,171377.52,,,270420.53,,,,,,270420.53,,,197652.03,,,,,,197652.03,,,639450.0800000001,,,390132.74,,,,,,390132.74,,,264547.93,,,,,,264547.93,,,187290.38999999998,,,,,,187290.38999999998,,,841971.0599999999,,,217784.47999999998,,,,,,217784.47999999998,,,,,,,,,,,,,,,,,,,,,217784.47999999998,,,2145392.65,,,162476.85749085055,,,1982915.7925091493,12.204296803443603,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,5446636.990000006,0.971727057685509,,5842343.112463698,0.9499183210909607,,-395706.122463692,-0.06773072290456833,,5741327.839999999,0.9794621751559109,,,,,5741327.839999999,,,5989368.4,0.9728219128247596,,,,,5989368.4,,,17177333.230000004,0.9746822982345525,,6091193.870000001,0.9726346400978912,,,,,6091193.870000001,,,6720063.73,0.9613159088924119,,,,,6720063.73,,,7521861.669999998,0.9743957925743431,,,,,7521861.669999998,,,20333119.27,0.9695101697208119,,8761486.379999997,0.9573700855679841,,,,,8761486.379999997,,,8273130.019999997,0.9690140654696398,,,,,8273130.019999997,,,7392901.260000002,0.9752921299819642,,,,,7392901.260000002,,,24427517.659999996,0.9666803286236019,,8447305.600000001,0.9748664493976039,,,,,8447305.600000001,,,,,,,,,,,,,,,,,,,,,8447305.600000001,0.9748664493976039,,70385275.75999999,0.9704208895763573,,5842343.112463698,0.9729422600004975,,64542932.64753629,11.047439598308484,,,,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VENTAS C/TRANSFERENC,5605109.940000006,,,6150363.649954548,,,-545253.7099545426,-0.08865389771848232,,5861714.709999999,,,,,,5861714.709999999,,,6156695.61,,,,,,6156695.61,,,17623520.260000005,,,6262571.390000001,,,,,,6262571.390000001,,,6990484.260000001,,,,,,6990484.260000001,,,7719513.699999998,,,,,,7719513.699999998,,,20972569.35,,,9151619.119999997,,,,,,9151619.119999997,,,8537677.949999997,,,,,,8537677.949999997,,,7580191.650000001,,,,,,7580191.650000001,,,25269488.719999995,,,8665090.080000002,,,,,,8665090.080000002,,,,,,,,,,,,,,,,,,,,,8665090.080000002,,,72530668.41,1,,6004819.969954548,1,,66525848.44004544,11.078741539781582,,,,,
,0.009242788777581598,,,,,,,,,0.010928824818845941,,,,,,,,,0.01062865206342299,,,,,,,,,0.1869463321454706,,,0.011199404066803144,,,,,,,,,0.012409271015876614,,,,,,,,,0.015204043655289256,,,,,,,,,0.1869463321454706,,,0.015337853815340578,,,,,,,,,0.01687192446025678,,,,,,,,,0.014341682614708341,,,,,,,,,0.1869463321454706,,,0.013720719832666912,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,
INVENTARIO INICIAL,3518549.54,,,,,,,,,4341645.84,,,,,,,,,4683043.9,,,,,,,,,3518549.54,,,5010311.29,,,,,,,,,4982139.36,,,,,,,,,2947571.58,,,,,,,,,5010311.29,,,4380491.970000001,,,,,,,,,6891694.33,,,,,,,,,6421939.05,,,,,,,,,4380491.970000001,,,5132996.12,,,,,,,,,,,,,,,,,,,,,,,,,,,5132996.12,,,,,,,,,,,,,,,
(+) COMPRAS,5069764.53,,,,,,,,,4640199.29,,,,,,,,,4905368.12,,,,,,,,,14615331.940000001,,,4622045.06,,,,,,,,,3384647.37,,,,,,,,,7006159.52,,,,,,,,,15012851.95,,,9557088.42,,,,,,,,,6017234.32,,,,,,,,,4639329.01,,,,,,,,,20213651.75,,,7396087.06,,,,,,,,,,,,,,,,,,,,,,,,,,,7396087.06,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,28019.789999999997,,,,,,,,,79114.10999999999,,,,,,,,,56604.01,,,,,,,,,163737.91,,,397288.09000000014,,,,,,,,,215121.96,,,,,,,,,331535.8999999999,,,,,,,,,943945.95,,,314905.9,,,,,,,,,364196.79,,,,,,,,,383846.11,,,,,,,,,1062948.7999999998,,,328458.54999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,328458.54999999993,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,4341645.84,,,,,,,,,4683043.9,,,,,,,,,5010311.29,,,,,,,,,5010311.29,,,4982139.36,,,,,,,,,2947571.58,,,,,,,,,4380491.970000001,,,,,,,,,4380491.970000001,,,6891694.33,,,,,,,,,6421939.05,,,,,,,,,5132996.12,,,,,,,,,5132996.12,,,5623136.35,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
MATERIALES,4274688.0200000005,0.7626412444641534,,4551269.100966367,0.7400000000000002,,-276581.08096636645,0.022641244464153165,,4377915.339999999,0.7468659865911488,,,,,4377915.339999999,,,4634704.739999999,0.7527909504689642,,,,,4634704.739999999,,,13287308.099999998,0.7539531208278586,,5047505.079999999,0.8059796472835097,,,,,5047505.079999999,,,5634337.11,0.8060009722416569,,,,,5634337.11,,,5904775.029999999,0.7649154155915289,,,,,5904775.029999999,,,16586617.219999999,0.7908719691514572,,7360791.960000001,0.8043158116047123,,,,,7360791.960000001,,,6851186.390000001,0.802464842328704,,,,,6851186.390000001,,,6312118.049999999,0.8327121979824874,,,,,6312118.049999999,,,20524096.4,0.8122086136137702,,7234405.38,0.8348909605334418,,,,,7234405.38,,,,,,,,,,,,,,,,,,,,,7234405.38,0.8348909605334418,,57632427.099999994,0.794593905769853,,4551269.100966367,0.757935978720244,,53081157.99903363,0.03665792704960902,,-1291074.0114973309,,,
