UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.461655715802987,Unnamed: 122,Unnamed: 123,17.896265915907826,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,RESULTADO,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,RESULTADO,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,RESULTADO,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,RESULTADO,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,GDL ENSAMBLE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,1682125.704416738,,,1847840.06670865,,,-165714.36229191208,-0.0896800352354522,,1253243.7974424595,,,,,,1253243.7974424595,,,1444586.8478736388,,,,,,1444586.8478736388,,,4379956.349732837,,,1317120.6070405417,,,,,,1317120.6070405417,,,1448167.469119283,,,,,,1448167.469119283,,,1464364.7668703534,,,,,,1464364.7668703534,,,4229652.843030178,,,1475686.6691297968,,,,,,1475686.6691297968,,,1473131.9558669669,,,,,,1473131.9558669669,,,1354216.8028424166,,,,,,1354216.8028424166,,,4303035.42783918,,,1645613.9020766036,,,,,,1645613.9020766036,,,,,,,,,,,,,,,,,,,,,1645613.9020766036,,,14558258.522678796,,,1847840.06670865,,,12710418.455970146,6.878527360113901,,,,,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
EMPAQUE USD,19036.697529629626,,,85467.86608692726,,,-66431.16855729763,-0.7772648551881725,,33307.16525781572,,,,,,33307.16525781572,,,29337.15880538078,,,,,,29337.15880538078,,,81681.02159282613,,,23755.29256487616,,,,,,23755.29256487616,,,38012.39944555972,,,,,,38012.39944555972,,,20504.79882581754,,,,,,20504.79882581754,,,82272.49083625342,,,25680.433418679608,,,,,,25680.433418679608,,,19347.42056636267,,,,,,19347.42056636267,,,16178.98924053229,,,,,,16178.98924053229,,,61206.84322557457,,,21773.169257570236,,,,,,21773.169257570236,,,,,,,,,,,,,,,,,,,,,21773.169257570236,,,246933.52491222433,,,85467.86608692726,,,161465.65882529708,1.8891972646312984,,,,,
PROD HOGAR USD,415504.8317988127,,,469597.1739047335,,,-54092.342105920776,-0.1151888152480543,,121367.72298195331,,,,,,121367.72298195331,,,10790.92363987609,,,,,,10790.92363987609,,,547663.4784206421,,,93767.11885281722,,,,,,93767.11885281722,,,15855.88860820741,,,,,,15855.88860820741,,,5851.892131687563,,,,,,5851.892131687563,,,115474.8995927122,,,38589.6005068982,,,,,,38589.6005068982,,,35094.45245212416,,,,,,35094.45245212416,,,31346.748839951026,,,,,,31346.748839951026,,,105030.80179897338,,,51232.43258441936,,,,,,51232.43258441936,,,,,,,,,,,,,,,,,,,,,51232.43258441936,,,819401.6123967472,,,469597.1739047335,,,349804.4384920137,0.7449032020004832,,,,,
OTROS INGRESOS USD,0,,,13928.2217628652,,,-13928.2217628652,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,13928.2217628652,,,-13928.2217628652,,,,,,
TOTAL VENTAS USD,2116667.23374518,,,2416833.328463176,,,-300166.0947179957,-0.12419809474775258,,1407918.6856822285,,,,,,1407918.6856822285,,,1484714.9303188957,,,,,,1484714.9303188957,,,5009300.849746305,,,1434643.018458235,,,,,,1434643.018458235,,,1502035.7571730502,,,,,,1502035.7571730502,,,1490721.4578278586,,,,,,1490721.4578278586,,,4427400.233459144,,,1539956.7030553746,,,,,,1539956.7030553746,,,1527573.8288854535,,,,,,1527573.8288854535,,,1401742.5409229,,,,,,1401742.5409229,,,4469273.072863728,,,1718619.5039185933,,,,,,1718619.5039185933,,,,,,,,,,,,,,,,,,,,,1718619.5039185933,,,15624593.659987768,,,2416833.328463176,,,13207760.33152459,5.464903258315784,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
