UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.424216610342974,Unnamed: 122,Unnamed: 123,17.929675509652792,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,RESULTADO,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,RESULTADO,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,RESULTADO,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,RESULTADO,,,GDL ESPUMA,,,GDL ESPUMA,,,GDL ESPUMA,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,229649.76499441956,,,383824.04,,,-154174.27500558042,-0.40167956912125785,,197427.95072320793,,,,,,197427.95072320793,,,178566.29889301423,,,,,,178566.29889301423,,,605644.0146106418,,,167315.5613390212,,,,,,167315.5613390212,,,267766.1429365617,,,,,,267766.1429365617,,,188949.96667591317,,,,,,188949.96667591317,,,624031.6709514961,,,264573.32406782353,,,,,,264573.32406782353,,,283253.5176412591,,,,,,283253.5176412591,,,243141.1416306973,,,,,,243141.1416306973,,,790967.98333978,,,406517.586668667,,,,,,406517.586668667,,,,,,,,,,,,,,,,,,,,,406517.586668667,1,,2427161.255570585,,,383824.04,,,2043337.2155705849,5.323630108136491,,,,,
AUTOMOTRIZ USD,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,,,0,,,,,,
EMPAQUE USD,172080.80789589888,,,,,,172080.80789589888,,,101111.10215050951,,,,,,101111.10215050951,,,241751.61862835338,,,,,,241751.61862835338,,,514943.52867476176,,,321339.34294825274,,,,,,321339.34294825274,,,131593.46115065418,,,,,,131593.46115065418,,,138481.02309928165,,,,,,138481.02309928165,,,591413.8271981885,,,228002.05552745206,,,,,,228002.05552745206,,,51946.59039351736,,,,,,51946.59039351736,,,188741.35982138806,,,,,,188741.35982138806,,,468690.00574235746,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,1575047.3616153079,,,0,,,1575047.3616153079,,,,,,
PROD HOGAR USD,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,,,0,,,,,,
OTROS INGRESOS USD,0,,,1505.45,,,-1505.45,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,1505.45,,,-1505.45,,,,,,
TOTAL VENTAS USD,401730.57289031846,,,385329.49,,,16401.082890318456,0.042563788435498344,,298539.05287371745,,,,,,298539.05287371745,,,420317.9175213676,,,,,,420317.9175213676,,,1120587.5432854034,,,488654.90428727394,,,,,,488654.90428727394,,,399359.6040872159,,,,,,399359.6040872159,,,327430.9897751948,,,,,,327430.9897751948,,,1215445.4981496846,,,492575.3795952756,,,,,,492575.3795952756,,,335200.10803477647,,,,,,335200.10803477647,,,431882.50145208533,,,,,,431882.50145208533,,,1259657.9890821376,,,406517.586668667,,,,,,406517.586668667,,,,,,,,,,,,,,,,,,,,,406517.586668667,,,4002208.6171858925,,,385329.49,,,3616879.1271858923,9.386458137906581,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
TRADICIONAL,4722602.959999999,0.5716512023024922,,6908832.72,0.9960930838695995,,-2186229.7600000007,-0.31643981676835287,,4039363.1800000006,0.6613136499991521,,,,,4039363.1800000006,,,3638153.8199999994,0.42483627618357833,,,,,3638153.8199999994,,,12400119.959999999,0.5407087062982177,,3362735.4800000004,0.3424002498922195,,,,,3362735.4800000004,,,5212728.75,0.6704888030640286,,,,,5212728.75,,,3603330.66,0.5770680619010469,,,,,3603330.66,,,12178794.89,0.5108599856630786,,4943330.66,0.5371225096252479,,,,,4943330.66,,,5304642.130000001,0.8450281215657365,,,,,5304642.130000001,,,4504209.099999999,0.5629798401491205,,,,,4504209.099999999,,,14752181.89,0.6282472709085745,,7485399.780000001,1,,,,,7485399.780000001,,,,,,,,,,,,,,,,,,,,,7485399.780000001,18.4134709677419,,46816496.52,0.6022206943298137,,6908832.72,1,,39907663.800000004,5.776325092439061,,,,,
AUTOMOTRIZ,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
EMPAQUE,3538733.57,0.42834879769750767,,0,0,,3538733.57,,,2068726.65,0.33868635000084796,,,,,2068726.65,,,4925507.11,0.5751637238164217,,,,,4925507.11,,,10532967.33,0.4592912937017823,,6458330.6,0.6575997501077805,,,,,6458330.6,,,2561791.46,0.3295111969359714,,,,,2561791.46,,,2640873.27,0.4229319380989532,,,,,2640873.27,,,11660995.33,0.4891400143369215,,4260027.18,0.4628774903747522,,,,,4260027.18,,,972831.95,0.15497187843426344,,,,,972831.95,,,3496448.79,0.43702015985087955,,,,,3496448.79,,,8729307.92,0.3717527290914256,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,30923270.58,0.3977793056701864,,0,0,,30923270.58,,,,,,
PROD HOGAR,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
OTROS INGRESOS,,0,,27098.100000000002,0.003906916130400505,,-27098.100000000002,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,0,,0,,,,,,
TOTAL VENTAS,8261336.529999999,,,6935930.819999999,,,1325405.709999999,0.1910926946067781,,6108089.83,,,,,,6108089.83,,,8563660.93,,,,,,8563660.93,,,22933087.29,,,9821066.08,,,,,,9821066.08,,,7774520.21,,,,,,7774520.21,,,6244203.93,,,,,,6244203.93,,,23839790.22,,,9203357.84,,,,,,9203357.84,,,6277474.080000001,,,,,,6277474.080000001,,,8000657.889999999,,,,,,8000657.889999999,,,23481489.81,,,7485399.780000001,,,,,,7485399.780000001,,,,,,,,,,,,,,,,,,,,,7485399.780000001,,,77739767.1,,,6908832.72,,,70830934.38,10.252228885923872,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,28610184.860000044,0.7759426186237988,,38706078.4,0.8480362512840315,,-10095893.539999954,-0.2608348341484255,,24733748.23999997,0.8019544160715448,,,,,24733748.23999997,,,26974771.869999997,0.759030991090862,,,,,26974771.869999997,,,80318704.97000001,0.7778916298881106,,24795379.609999962,0.7162890099130795,,,,,24795379.609999962,,,27088161.70000003,0.7769959227442582,,,,,27088161.70000003,,,25633157.08000006,0.8041179152803406,,,,,25633157.08000006,,,77516698.39000005,0.7647926585960289,,26981277.840000007,0.7456556445285178,,,,,26981277.840000007,,,24576227.150000025,0.7965406473212291,,,,,24576227.150000025,,,24232804.14999998,0.7517903016414552,,,,,24232804.14999998,,,75790309.14000002,0.763462634319472,,33684532.3900001,0.8181828488545702,,,,,33684532.3900001,,,,,,,,,,,,,,,,,,,,,33684532.3900001,82.86119345054252,,267310244.89000016,0.7747000017427823,,38706078.4,0.848540037668279,,228604166.49000016,5.906156757280794,,,,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VENTAS C/TRANSFERENC,36871521.390000045,,,45642009.22,,,-8770487.829999955,-0.19215823273084107,,30841838.06999997,,,,,,30841838.06999997,,,35538432.8,,,,,,35538432.8,,,103251792.26000002,,,34616445.68999996,,,,,,34616445.68999996,,,34862681.910000026,,,,,,34862681.910000026,,,31877361.01000006,,,,,,31877361.01000006,,,101356488.61000004,,,36184635.68000001,,,,,,36184635.68000001,,,30853701.230000027,,,,,,30853701.230000027,,,32233462.039999977,,,,,,32233462.039999977,,,99271798.95000002,,,41169932.1700001,,,,,,41169932.1700001,,,,,,,,,,,,,,,,,,,,,41169932.1700001,,,345050011.9900001,1,,45614911.12,1,,299435100.8700001,6.564412678176017,,,,,
,0.06080089200103216,,,,,,,,,0.05750280626643519,,,,,,,,,0.06135200780383216,,,,,,,,,0.1869463321454706,,,0.06190485321379397,,,,,,,,,0.06188705275212067,,,,,,,,,0.0627843679338838,,,,,,,,,0.1869463321454706,,,0.060644422057328486,,,,,,,,,0.060972236188868226,,,,,,,,,0.06098554014144601,,,,,,,,,0.1869463321454706,,,0.06519044806450203,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,
INVENTARIO INICIAL,33416296.09,,,,,,,,,33588379.15,,,,,,,,,31924920.130000003,,,,,,,,,33416296.09,,,32182574.830000002,,,,,,,,,31182122.300000004,,,,,,,,,23710526.78,,,,,,,,,32182574.830000002,,,31497390.080000002,,,,,,,,,23662250.65,,,,,,,,,25903572.57,,,,,,,,,31497390.080000002,,,27949498.13,,,,,,,,,,,,,,,,,,,,,,,,,,,27949498.13,,,,,,,,,,,,,,,
(+) COMPRAS,29057465.85,,,,,,,,,22311692.29,,,,,,,,,28821196.96,,,,,,,,,80190355.1,,,28701684.89,,,,,,,,,18996092.16,,,,,,,,,32569998.71,,,,,,,,,80267775.76,,,20700807.59,,,,,,,,,27446786.26,,,,,,,,,28026487.56,,,,,,,,,76174081.41,,,30761028.41,,,,,,,,,,,,,,,,,,,,,,,,,,,30761028.41,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,1387042.7099999995,,,,,,,,,1005868.4800000002,,,,,,,,,977332.2300000001,,,,,,,,,3370243.42,,,838004.7300000002,,,,,,,,,586934.6799999999,,,,,,,,,1047876.3199999997,,,,,,,,,2472815.7299999995,,,1265216.9000000001,,,,,,,,,715861.8199999996,,,,,,,,,497361.4999999999,,,,,,,,,2478440.2199999997,,,1110772.6299999992,,,,,,,,,,,,,,,,,,,,,,,,,,,1110772.6299999992,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,33588379.15,,,,,,,,,31924920.130000003,,,,,,,,,32182574.830000002,,,,,,,,,32182574.830000002,,,31182122.300000004,,,,,,,,,23710526.78,,,,,,,,,31497390.080000002,,,,,,,,,31497390.080000002,,,23662250.65,,,,,,,,,25903572.57,,,,,,,,,27949498.13,,,,,,,,,27949498.13,,,27518542.36,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
