UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.263692668187396,Unnamed: 122,Unnamed: 123,9.887484979790992,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,RESULTADO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,RESULTADO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,RESULTADO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,RESULTADO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,GDL POLIETILENO,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,8812.880310527684,,,0,,,8812.880310527684,,,6718.399408460649,,,,,,6718.399408460649,,,7487.808138182287,,,,,,7487.808138182287,,,23019.08785717062,,,6879.452998109777,,,,,,6879.452998109777,,,8810.555243942958,,,,,,8810.555243942958,,,10924.097640885377,,,,,,10924.097640885377,,,26614.10588293811,,,12879.062980720257,,,,,,12879.062980720257,,,10115.449248631221,,,,,,10115.449248631221,,,8761.44286556387,,,,,,8761.44286556387,,,31755.95509491535,,,8083.843630609863,,,,,,8083.843630609863,,,,,,,,,,,,,,,,,,,,,8083.843630609863,,,89472.99246563393,,,0,,,89472.99246563393,,,,,,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
EMPAQUE USD,22120.510795762482,,,23080.9,,,-960.3892042375192,-0.041609694779558816,,-13656.864024499455,,,,,,-13656.864024499455,,,13184.619995765896,,,,,,13184.619995765896,,,21648.266767028923,,,3158.629420366604,,,,,,3158.629420366604,,,15484.7710034027,,,,,,15484.7710034027,,,120.7071313545835,,,,,,120.7071313545835,,,18764.10755512389,,,21667.221434749805,,,,,,21667.221434749805,,,13868.220447441734,,,,,,13868.220447441734,,,23089.059264521395,,,,,,23089.059264521395,,,58624.50114671294,,,3299.7972031696354,,,,,,3299.7972031696354,,,,,,,,,,,,,,,,,,,,,3299.7972031696354,,,102336.67267203538,,,23080.9,,,79255.77267203538,3.433825053270686,,,,,
PROD HOGAR USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
OTROS INGRESOS USD,0,,,18937.49,,,-18937.49,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,18937.49,,,-18937.49,,,,,,
TOTAL VENTAS USD,30933.391106290168,,,42018.39,,,-11084.998893709837,-0.26381303266759704,,-6938.464616038806,,,,,,-6938.464616038806,,,20672.428133948182,,,,,,20672.428133948182,,,44667.35462419954,,,10038.08241847638,,,,,,10038.08241847638,,,24295.326247345656,,,,,,24295.326247345656,,,11044.80477223996,,,,,,11044.80477223996,,,45378.213438062,,,34546.28441547006,,,,,,34546.28441547006,,,23983.669696072953,,,,,,23983.669696072953,,,31850.502130085264,,,,,,31850.502130085264,,,90380.45624162827,,,11383.640833779498,,,,,,11383.640833779498,,,,,,,,,,,,,,,,,,,,,11383.640833779498,,,191809.6651376693,,,42018.39,,,149791.27513766932,3.564898015789498,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
