UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.457127133804452,Unnamed: 122,Unnamed: 123,19.99699408018894,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T2,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,
,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,RESULTADO,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,RESULTADO,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,CD JUAREZ,,,,,,GUADALAJARA,,,CD JUAREZ,,,CD JUAREZ,,,GUADALAJARA,,,GUADALAJARA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,896642.5425277512,,,1039059.3414362314,,,-142416.7989084802,-0.13706320055948465,,854685.3262002292,,,962541.4150245152,,,-107856.08882428601,-0.11205345260031122,,940304.9444445717,,,923733.9737140461,,,16570.970730525674,0.017939115808308936,,2691632.8131725523,0.9258150063299297,,805291.7140521463,,,1071626.5647765037,,,-266334.8507243574,-0.24853326660477446,,856310.0353360405,,,1092998.484503178,,,-236688.44916713738,-0.21654965905531337,,744530.213751338,,,1053825.76775348,,,-309295.55400214205,-0.2934978090937089,,2406131.9631395247,0.9340220847561537,,919476.5402126005,,,1303657.550627895,,,-384181.01041529444,-0.2946947303992963,,746479.6414905908,,,1189170.9968520626,,,-442691.3553614719,-0.3722688801975082,,841893.4908783118,,,1152357.1807130943,,,-310463.6898347825,-0.26941619753925894,,2507849.672581503,0.9354264335611221,,910544.6251482102,,,1277453.525501715,,,-366908.9003535048,-0.2872189813789138,,,,,,,,,,,,,,,,,,,,910544.6251482102,0.9438271744694713,,8516159.074041791,,,11066424.800902722,,,-2550265.726860931,-0.23045073478951378,,10885219.874091387,,,9221020.635143237,
AUTOMOTRIZ USD,51494.934693656665,,,110694.9447692073,,,-59200.010075550636,-0.5348031944817291,,29563.54108080916,,,95600.1795734063,,,-66036.63849259715,-0.6907585193591725,,22472.484381426613,,,100631.76797200664,,,-78159.28359058002,-0.7766859826245135,,103530.96015589245,0.03561054690037567,,45976.45191127745,,,90568.59117480599,,,-44592.13926352854,-0.4923576560604931,,29468.586135844504,,,105663.35637060697,,,-76194.77023476246,-0.7211087443362535,,36676.05684024732,,,105663.35637060697,,,-68987.29953035965,-0.6528971054865174,,112121.09488736928,0.04352362231005805,,44435.387122782966,,,115726.53316780765,,,-71291.14604502468,-0.6160311217622837,,32119.013379983047,,,105663.35637060697,,,-73544.34299062392,-0.6960250508480176,,40159.00390173753,,,105663.35637060697,,,-65504.35246886944,-0.6199344287258624,,116713.40440450354,0.0435340302987533,,25671.20999772962,,,115726.53316780765,,,-90055.32317007803,-0.7781735156577668,,,,,,,,,,,,,,,,,,,,25671.20999772962,0.026609553148947293,,358036.6694454949,,,1051601.9753074693,,,-693565.3058619744,-0.659532144430585,,1099415.9331721491,,,1035587.6811226584,
EMPAQUE USD,47601.88831136848,,,125897.25460844049,,,-78295.366297072,-0.6218989170223166,,36950.71825040647,,,93288.7117139531,,,-56337.993463546634,-0.6039100811713773,,27595.3344041841,,,129095.85587065252,,,-101500.52146646842,-0.7862415162897776,,112147.94096595905,0.038574446769694605,,14620.678274250267,,,143699.09794925334,,,-129078.41967500307,-0.8982549056820559,,17673.31142195044,,,145325.6136972803,,,-127652.30227532986,-0.8783881865535093,,25550.458330733305,,,165636.2657704626,,,-140085.8074397293,-0.8457435742596315,,57844.44802693401,0.022454292933788252,,16421.281920688387,,,121940.08783426396,,,-105518.80591357558,-0.8653331958969266,,25316.933831110917,,,150817.83715635753,,,-125500.90332524662,-0.8321356789856093,,14668.13746553321,,,119576.6978055386,,,-104908.5603400054,-0.8773328103658855,,56406.353217332515,0.02103953614012464,,28520.77106592374,,,91823.53252582012,,,-63302.761459896385,-0.6893958413339859,,,,,,,,,,,,,,,,,,,,28520.77106592374,0.02956327238158138,,254919.51327614932,,,1287100.9549320224,,,-1032181.4416558731,-0.8019428761206904,,382328.43144211953,,,328767.2715377724,
PROD HOGAR USD,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,,,0,,,0,,,0,
OTROS INGRESOS USD,0,,,2015.0398032409087,,,-2015.0398032409087,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,2015.0398032409087,,,-2015.0398032409087,,,0,,,0,
TOTAL VENTAS USD,995739.3655327763,,,1277666.58061712,,,-281927.2150843438,-0.22065789256863186,,921199.5855314449,,,1151430.3063118747,,,-230230.72078042978,-0.19995193761911442,,990372.7632301825,,,1153461.5975567051,,,-163088.83432652277,-0.14139077943468775,,2907311.714294404,,,865888.844237674,,,1305894.253900563,,,-440005.40966288897,-0.336938008838496,,903451.9328938355,,,1343987.454571065,,,-440535.52167722967,-0.32778246566135316,,806756.7289223187,,,1325125.3898945495,,,-518368.66097223107,-0.3911846116037981,,2576097.506053828,,,980333.2092560718,,,1541324.1716299665,,,-560990.9623738946,-0.3639668881469891,,803915.5887016847,,,1445652.190379027,,,-641736.6016773424,-0.44390802016430325,,896720.6322455825,,,1377597.2348892398,,,-480876.6026436573,-0.3490690823594171,,2680969.430203339,,,964736.6062118636,,,1485003.5911953428,,,-520266.98498347925,-0.35034729078647825,,,,,,,,,,,,,,,,,,,,964736.6062118636,,,9129115.256763434,,,13407142.770945456,,,-4278027.514182019,-0.31908569836765754,,12366964.238705656,,,10585375.58780367,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,
