UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.323754792205936,Unnamed: 122,Unnamed: 123,19.999999999999996,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,,,,OCT 25,,,,,,,,
,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,CD JUAREZ 2,,,,,,,,,CD JUAREZ 2,,,CD JUAREZ 2,,,,,,,,,,CD JUAREZ 2,,,CDJ ESPUMA,,,CDJ ENSAMBLE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,1926.464469160959,,,519.7895655008662,,,1406.6749036600927,2.706239211063479,,33506.670283491345,,,481.5114632438796,,,33025.15882024747,68.58644360772078,,12271.547217942129,,,462.0980358749605,,,11809.449182067168,25.55615532904515,,47704.68197059443,0.10575671017541179,,19619.25094647952,,,536.0813230497768,,,19083.16962342974,35.597527470021205,,46789.32679250662,,,546.7726285658719,,,46242.554163940746,84.57364496322757,,-6014.03806654225,,,527.1764721127964,,,-6541.214538655046,-12.408016830568013,,60394.53967244388,0.13206617558062955,,27397.23726668612,,,652.1548527403176,,,26745.0824139458,41.01032492752985,,10636.215937265419,,,594.8829398959792,,,10041.33299736944,16.8795107809366,,31934.24697761089,,,576.4668237684314,,,31357.780153842457,54.39650446638536,,69967.70018156242,0.12231099618180265,,23303.242541925873,,,639.0462858938045,,,22664.196256032068,35.46565680188988,,0,,,0,,,0,,,0,,,0,,,0,,,23303.242541925873,0.0845677117596789,,201370.16436652662,,,5535.980390646684,,,195834.18397587992,35.37479726386885,,9351.241258854958,,,4182.687547442456,,,,23303.242541925873,0.0845677117596789,,0,,,23303.242541925873,0.0845677117596789,0
AUTOMOTRIZ USD,65147.14221512152,,,2328.278397228579,,,62818.86381789295,26.980821491393886,,65278.65085457959,,,2010.785888515591,,,63267.86496606399,31.464247549882003,,83335.78550307135,,,2116.6167247532535,,,81219.1687783181,38.37216621624602,,213761.57857277244,0.4738889429279538,,73678.77728130712,,,1904.9550522779284,,,71773.82222902919,37.67743608606549,,43537.172437391426,,,2222.4475609909164,,,41314.72487640051,18.58974114915883,,62350.858324650544,,,2222.4475609909164,,,60128.41076365963,27.05504139627499,,179566.8080433491,0.3926630077507886,,74384.86043897798,,,2434.109233466242,,,71950.75120551174,29.559376471799414,,68210.04670023691,,,2222.4475609909164,,,65987.599139246,29.691408831182635,,59195.49821107385,,,2222.4475609909164,,,56973.050650082936,25.63527331312174,,201790.40535028873,0.3527511327980943,,65467.179007795254,,,2434.109233466242,,,63033.069774329015,25.895744080707544,,0,,,0,,,0,,,0,,,0,,,0,,,65467.179007795254,0.23758107971840126,,660585.9709742055,,,22118.6447736715,,,638467.326200534,28.86557168097935,,139440.2284333776,,,21819.207756678756,,,,65467.179007795254,0.23758107971840126,,0,,,65467.179007795254,0.23758107971840126,0
EMPAQUE USD,72075.24958215392,,,40019.0008059513,,,32056.24877620262,0.8010257160502487,,51069.79926972263,,,29653.712790465852,,,21416.086479256777,0.722205904892368,,66468.17191114143,,,41035.741217714,,,25432.43069342743,0.6197629173674813,,189613.22076301798,0.42035434689663426,,80542.04969641504,,,45677.6784730626,,,34864.371223352435,0.7632693339245102,,71952.48496457699,,,46194.69955691092,,,25757.785407666066,0.5575917941826422,,64849.2482285272,,,52650.85306251394,,,12198.395166013259,0.23168466333355964,,217343.78288951924,0.4752708166685819,,107944.29616943107,,,38761.13493097584,,,69183.16123845523,1.7848590182318869,,88945.09731914596,,,47940.514393929145,,,41004.58292521682,0.8553221308449155,,103400.00582993432,,,38009.88338257236,,,65390.12244736196,1.7203452530807688,,300289.39931851136,0.524937871020103,,186786.78647960434,,,29187.975810790474,,,157598.81066881388,5.399442965501956,,0,,,0,,,0,,,0,,,0,,,0,,,186786.78647960434,0.6778512085219198,,894033.1894506529,,,409131.1944248865,,,484901.99502576643,1.1851992750330136,,223785.10631750504,,,104490.90080527344,,,,186786.78647960434,0.6778512085219198,,0,,,186786.78647960434,0.6778512085219198,0
PROD HOGAR USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,,0,0,,0,,,0,0,0
OTROS INGRESOS USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,,0,0,,0,,,0,0,0
TOTAL VENTAS USD,139148.8562664364,,,42867.06876868074,,,96281.78749775566,2.2460548449746214,,149855.12040779355,,,32146.01014222532,,,117709.11026556823,3.6617020197773065,,162075.50463215492,,,43614.455978342216,,,118461.0486538127,2.7160959823191955,,451079.4813063849,,,173840.07792420167,,,48118.71484839031,,,125721.36307581136,2.612733184415399,,162278.98419447502,,,48963.919746467705,,,113315.06444800732,2.3142563960309155,,121186.06848663549,,,55400.47709561765,,,65785.59139101784,1.187455322405909,,457305.1306053122,,,209726.39387509518,,,41847.3990171824,,,167878.99485791277,4.01169484366238,,167791.3599566483,,,50757.84489481604,,,117033.51506183225,2.3057226977299234,,194529.75101861905,,,40808.79776733171,,,153720.95325128734,3.766858169351516,,572047.5048503625,,,275557.20802932547,,,32261.13133015052,,,243296.07669917497,7.5414614016277834,,0,,,0,,,0,,,0,,,0,,,0,,,275557.20802932547,,,1755989.324791385,,,436785.8195892047,,,1319203.5052021802,3.0202525952946138,,372576.57600973756,,,130492.79610939465,,,,275557.20802932547,1,,0,1,,275557.20802932547,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,,,,,,,,,,,,
