UREBLOCK S.A. DE C.V.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,UREBLOCK S.A. DE C.V..1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
ESTADO DE RESULTADOS DE JULIO DE 2025,,,,,,,,,,,,,,,,,,,ESTADO DE RESULTADOS DE JULIO DE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL,5025873.57,,28794455.880000018,,240634.49,,262224,,31130.4,,,,34354318.34000002,,0,,,,VENTAS,,,14086172.42,,,,14086172.42,0.6093106515353314,4700028.29,,35238945.51000001,,,,39938973.80000001,0.27301143176694226,25121683.24,,20705994.55,,0,,45827677.79,,360475,,143340.6,,0,,143340.6,,,,4862338.559999999,,152372.87,,,,5014711.429999999,0.3282511527677089,51671683.14,,8733201.729999999,,,,60404884.87,0.8293971823267303,17473392.460000005,,,,17473392.460000005,0.9336549464159152,8335170.110000002,,,,8335170.110000002,0.9885273477963308,0,,600716.67,,,,600716.67,0.008248218907245081,,226539833.49000004,,226539833.49,0,105309331.24,
AUTOMOTRIZ,0,,0,,0,,0,,0,,,,0,,0,,,,,,,0,,,,0,0,70102.83,,45592283.120000005,,,,45662385.95,0.3121350445439889,436810.24,,886511.3200000001,,0,,1323321.56,,0,,0,,0,,0,,,,0,,0,,,,0,0,0,,0,,,,0,0,830237.94,,,,830237.94,0.04436206427330251,0,,,,0,0,0,,1389818.73,,,,1389818.73,0.019083088082821716,,49205764.18,,49205764.18,0,22249875.740000002,
EMPAQUE,4260027.18,,479817.3599999999,,404833.86,,127908.73999999999,,35846095.669999994,,,,41118682.809999995,,0,,,,,,,0,,,,0,0,0,,0,,,,0,0,0,,369812.65,,0,,369812.65,,0,,0,,0,,0,,,,0,,0,,,,0,0,403534.33,,2906373.2800000003,,,,3309907.6100000003,0.045447119904357534,306817.88,,,,306817.88,0.01639418515703874,0,,,,0,0,0,,2016848.6400000001,,,,2016848.6400000001,0.027692604377866737,,47122069.589999996,,47122069.589999996,0,18352279.55,
PROD HOGAR,0,,721014.32,,0,,0,,1531807.53,,,,2252821.85,,0,,,,,,,0,,,,0,0,0,,165607.88,,,,165607.88,0.0011320482258031365,0,,47038061.720000006,,0,,47038061.720000006,,6503636.43,,0,,0,,0,,,,0,,98572.94,,,,98572.94,0.006452351573638249,0,,1476442.2499999998,,,,1476442.2499999998,0.0202724836683914,0,,,,0,0,184373.88,,,,184373.88,0.0218662151094741,0,,0,,,,0,0,,57719516.95,,57719516.95,0,28214697.980000004,
"REB, DEV, DCTOS S/VTAS",-82542.91,,-1222488.14,,0,,0,,-138990.48,,0,,-1444021.5299999998,,0,,,,"REB, DEV, DCTOS S/VTAS",0,,-135792.43,,0,,-135792.43,-0.00587382942149631,-18514.43,,-4553560.5,,0,,-4572074.93,-0.03125339997556577,-340563.63,,-1583063.07,,0,,-1923626.7000000002,,-31953.9,,0,,0,,0,,0,,-153399.39,,0,,0,,-153399.39,-0.010041161351803522,-1754040.33,,-397276.58,,0,,-2151316.91,-0.029538938569056296,-293744.48,,0,,-293744.48,-0.015695634798004805,-515743.55,,0,,-515743.55,-0.06116571070492095,0,,-88822.27,,0,,-88822.27,-0.001219585810392822,,-11310496.09,,-11310496.09,0,,
