UREBLOCK S.A. DE C.V.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,UREBLOCK S.A. DE C.V..1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
ESTADO DE RESULTADOS DE JUNIO DE 2025,,,,,,,,,,,,,,,,,,,ESTADO DE RESULTADOS DE JUNIO DE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL,3853604.73,,29074005.270000033,,208325.71,,195744,,2934,,,,33334613.710000034,,0,,,,VENTAS,,,12349155.110000001,,,,12349155.110000001,0.5993054857335772,4882928.399999999,,29599370.43999999,,,,34482298.83999999,0.25787830937245293,23802978.25,,21822266.019999996,,0,,45625244.269999996,,222546.4,,7700,,0,,7700,,,,5324277.199999999,,12838.189999999999,,,,5337115.39,0.3779443155329144,46978689.809999995,,6264731.409999999,,,,53243421.21999999,0.8428893270716831,14506223.910000002,,,,14506223.910000002,0.9405329570343219,8570410.24,,,,8570410.24,0.9968362629375215,0,,-114689.45,,,,-114689.45,-0.0018156330137629997,,207564039.64000005,,207564039.64000005,0,105309331.24,
AUTOMOTRIZ,0,,0,,0,,0,,0,,,,0,,0,,,,,,,0,,,,0,0,227054.69999999998,,43641713.82,,,,43868768.52,0.32807568638857865,224336.79,,583299.14,,0,,807635.93,,0,,0,,0,,0,,,,0,,0,,,,0,0,0,,0,,,,0,0,699423.04,,,,699423.04,0.04534815015337336,0,,,,0,0,0,,1189048.95,,,,1189048.95,0.0188236714763235,,46564876.440000005,,46564876.440000005,0,22249875.740000002,
EMPAQUE,2640873.27,,391032.45999999996,,2301.92,,1908.03,,32113939.359999992,,,,35150055.03999999,,0,,,,,,,0,,,,0,0,0,,0,,,,0,0,0,,771773.5000000001,,0,,771773.5000000001,,0,,0,,0,,0,,,,0,,0,,,,0,0,200665.93,,2911953.9699999997,,,,3112619.9,0.049275460382238186,487254.65,,,,487254.65,0.03159189184149464,0,,,,0,0,0,,1236693.97,,,,1236693.97,0.019577933278550286,,40758397.05999999,,40758397.05999999,0,18352279.55,
PROD HOGAR,0,,111597.28000000001,,0,,0,,1582760.75,,,,1694358.03,,0,,,,,,,0,,,,0,0,0,,349747.47,,,,349747.47,0.0026156111774737097,0,,54609694.6,,0,,54609694.6,,7934801.82,,702398.22,,0,,702398.22,,,,0,,2233244.29,,,,2233244.29,0.15814572534506124,0,,2739851.48,,,,2739851.48,0.04337421445386141,0,,,,0,0,95153.27,,,,95153.27,0.011067408375667788,0,,0,,,,0,0,,70359249.18,,70359249.18,0,28214697.980000004,
"REB, DEV, DCTOS S/VTAS",-250274.07,,-1148144.5,,0,,0,,-201023.04775,,0,,-1599441.61775,,0,,,,"REB, DEV, DCTOS S/VTAS",0,,-207929.44,,0,,-207929.44,-0.010090832362823135,-18464.83,,-6666276.87696501,,0,,-6684741.70696501,-0.04999231338903571,-334655.59,,-1217331.2,,0,,-1551986.79,,74879.46,,0,,0,,0,,0,,-194392.84,,0,,0,,-194392.84,-0.013765801090970855,-1834923.1196,,-278050.23,,0,,-2112973.3496000003,-0.03345019241730734,-307816.82,,0,,-307816.82,-0.019957768867742618,-544711.53,,0,,-544711.53,-0.0633561510754682,0,,0,,0,,0,0,,-13129114.63431501,,-13129114.634315,0,,
