UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,20.564370967741933.1,Unnamed: 122,Unnamed: 123,18.5,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T2,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,,,,OCT 25,,,,,,,,
,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,RESULTADO,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,RESULTADO,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,LEON,,,,,,GUADALAJARA,,,LEON,,,LEON,,,GUADALAJARA,,,GUADALAJARA,,,,LEON,,,LEON ESPUMA,,,LEON CORTE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,1894364.00299443,,,2382509.395177228,,,-488145.3921827979,-0.20488707963583336,,1600821.1138772615,,,2182168.904615789,,,-581347.7907385277,-0.2664082461760148,,1700773.9740843135,,,2048177.5445515371,,,-347403.57046722365,-0.1696159453516956,,5195959.090956005,0.4119141706003492,,1341087.9871444302,,,2328381.926675062,,,-987293.939530632,-0.4240257700936939,,1614235.6040306287,,,2313197.8896854054,,,-698962.2856547767,-0.3021627716208212,,1457636.833683965,,,2156659.9990865337,,,-699023.1654025686,-0.324123026206562,,4412960.424859024,0.36298074961528615,,1892881.265605335,,,2674862.3020011443,,,-781981.0363958094,-0.292344408088142,,1668840.6485841624,,,2320795.1141132284,,,-651954.465529066,-0.28091857896649214,,1825123.3198453123,,,2126377.1196771865,,,-301253.7998318742,-0.14167468086639717,,5386845.234034809,0.42231338940391394,,1882968.9280603842,,,2331665.2759107444,,,-448696.3478503602,-0.19243600378064565,,0,,,0,,,0,,,0,,,0,,,0,,,1882968.9280603842,0.3845073504730543,,16878733.67791022,,,22864795.471493855,,,-5986061.793583635,-0.26180255148341985,,23849762.89743569,,,20750367.093617298,,,,1882968.9280603842,0.3845073504730543,,311403.986247096,0.9815507876866879,,1571564.9418132883,0.34314861610905384,0
AUTOMOTRIZ USD,2507744.112907464,,,2907080.162624294,,,-399336.0497168298,-0.13736671415223004,,2230580.4919091016,,,2633325.860612863,,,-402745.3687037616,-0.15294171326370876,,2598045.004363352,,,2771921.958539855,,,-173876.95417650323,-0.06272793995545788,,7336369.609179918,0.5815970737804528,,2734186.386019684,,,2528064.4293525373,,,206121.95666714665,0.08153350613771207,,2658513.150044367,,,2943852.7231335146,,,-285339.57308914745,-0.09692725823098394,,2300372.3865761873,,,3032782.7231335146,,,-732410.3365573273,-0.2414977937491646,,7693071.922640238,0.6327808873140917,,2443908.786724654,,,3687024.099315369,,,-1243115.312590715,-0.3371595300452592,,2364594.7098959647,,,3377045.0182154817,,,-1012450.308319517,-0.2998036161373182,,2529673.052963873,,,3377045.0182154817,,,-847371.9652516088,-0.25092113391469745,,7338176.549584492,0.5752922306212519,,2960907.1671230933,,,3687024.099315369,,,-726116.9321922758,-0.19693848280707088,,0,,,0,,,0,,,0,,,0,,,0,,,2960907.1671230933,0.6046252558187023,,25328525.24852774,,,30945166.092458278,,,-5616640.843930539,-0.1815030117191513,,30614518.52389775,,,26844303.719541255,,,,2960907.1671230933,0.6046252558187023,,5853.14415673239,0.018449212313312157,,2955054.0229663607,0.6452311778719171,
EMPAQUE USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,1969.1988659035192,,,0,,,,0,0,,0,0,,0,0,
PROD HOGAR USD,7037.643904937369,,,44194.78017156863,,,-37157.13626663126,-0.8407584814854488,,13068.77566645057,,,47789.61839912281,,,-34720.84273267224,-0.7265352579862732,,61743.90545973561,,,44872.14877990432,,,16871.75667983129,0.37599618334719,,81850.32503112355,0.006488755619198105,,4597.465373701643,,,152487.612374439,,,-147890.14700073734,-0.9698502369988429,,28590.776539520448,,,79186.98338171726,,,-50596.206842196814,-0.6389460070514379,,18339.913551393292,,,151165.75603805427,,,-132825.842486661,-0.8786767980257617,,51528.15546461538,0.0042383630706220535,,8863.543694935679,,,68463.90817182919,,,-59600.364476893505,-0.8705369890265371,,6972.005746926469,,,68717.92125522158,,,-61745.915508295104,-0.898541666866899,,14706.11624889069,,,27619.66460604173,,,-12913.54835715104,-0.46754906481834085,,30541.665690752838,0.0023943799748340263,,53218.65669523864,,,90000,,,-36781.34330476136,-0.4086815922751262,,0,,,0,,,0,,,0,,,0,,,0,,,53218.65669523864,0.010867393708243422,,217138.80288173043,,,774498.3931778987,,,-557359.5902961683,-0.7196394404502598,,1967244.4427143482,,,1710894.061389401,,,,53218.65669523864,0.010867393708243422,,0,0,,53218.65669523864,0.011620206019029152,
OTROS INGRESOS USD,0,,,3381.823933039023,,,-3381.823933039023,,,0,,,1991.9577293721711,,,-1991.9577293721711,,,0,,,1480.6554414003044,,,-1480.6554414003044,,,0,0,,0,,,1128.2595599756648,,,-1128.2595599756648,,,0,,,1017.9144172570408,,,-1017.9144172570408,,,0,,,3789.267614226216,,,-3789.267614226216,,,0,0,,0,,,10785.343731482171,,,-10785.343731482171,,,0,,,10251.437312005246,,,-10251.437312005246,,,0,,,10463.411293703146,,,-10463.411293703146,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,44290.07103246098,,,-44290.07103246098,,,0,,,-152891.78610220147,,,,0,0,,0,0,,0,0,
TOTAL VENTAS USD,4409145.759806831,,,5337166.16190613,,,-928020.402099298,-0.17387886641473096,,3844470.3814528137,,,4865276.341357147,,,-1020805.9599043337,-0.2098145898162044,,4360562.883907401,,,4866452.307312697,,,-505889.4234052959,-0.10395446034580647,,12614179.025167046,,,4079871.8385378155,,,5010062.227962014,,,-930190.3894241984,-0.1856644383043083,,4301339.530614517,,,5337255.510617894,,,-1035915.9800033781,-0.19409150975487952,,3776349.133811546,,,5344397.745872328,,,-1568048.6120607832,-0.29340043286857587,,12157560.502963878,,,4345653.596024925,,,6441135.653219825,,,-2095482.0571949002,-0.3253280430675917,,4040407.3642270537,,,5776809.490895936,,,-1736402.1266688835,-0.30058151119669013,,4369502.4890580755,,,5541505.213792413,,,-1172002.724734337,-0.21149537526686893,,12755563.449310055,,,4897094.751878716,,,6108689.375226114,,,-1211594.6233473974,-0.19833953716177466,,0,,,0,,,0,,,0,,,0,,,0,,,4897094.751878716,,,42424397.72931969,,,54628750.028162494,,,-12204352.298842803,-0.22340530018627833,,56433495.06291369,,,49152673.08844576,,,,4897094.751878716,1,,317257.13040382834,1,,4579837.621474887,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,,,,,,,,,,,,
