UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.424960830921677,Unnamed: 122,Unnamed: 123,17.923098024721693,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,RESULTADO,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,RESULTADO,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,RESULTADO,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,RESULTADO,,,LEO CORTE,,,LEO CORTE,,,LEO CORTE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,1606086.4432626357,,,2406871.964571181,,,-800785.5213085455,-0.3327079849264923,,1411508.5327387226,,,,,,1411508.5327387226,,,1473419.0001417187,,,,,,1473419.0001417187,,,4491013.976143077,,,1141525.7652896636,,,,,,1141525.7652896636,,,1399585.1977531584,,,,,,1399585.1977531584,,,1202556.0997255407,,,,,,1202556.0997255407,,,3743667.0627683625,,,1642320.7086043213,,,,,,1642320.7086043213,,,1355224.3293558669,,,,,,1355224.3293558669,,,1535885.4358523686,,,,,,1535885.4358523686,,,4533430.473812557,,,1571564.9418132883,,,,,,1571564.9418132883,,,,,,,,,,,,,,,,,,,,,1571564.9418132883,,,14339676.454537285,,,2406871.964571181,,,11932804.489966104,4.9578060925613485,,,,,
AUTOMOTRIZ USD,2499704.1674960847,,,2960887.152053243,,,-461182.9845571583,-0.15575837945642357,,2221096.9191007805,,,,,,2221096.9191007805,,,2589981.5346955983,,,,,,2589981.5346955983,,,7310782.621292464,,,2721576.6009464543,,,,,,2721576.6009464543,,,2650806.9053499512,,,,,,2650806.9053499512,,,2288466.185883906,,,,,,2288466.185883906,,,7660849.692180311,,,2440156.794386828,,,,,,2440156.794386828,,,2352655.495941978,,,,,,2352655.495941978,,,2509559.0005549225,,,,,,2509559.0005549225,,,7302371.290883729,,,2955054.0229663607,,,,,,2955054.0229663607,,,,,,,,,,,,,,,,,,,,,2955054.0229663607,,,25229057.62732286,,,2960887.152053243,,,22268170.475269616,7.52077648748877,,,,,
EMPAQUE USD,0,,,174289.9772190458,,,-174289.9772190458,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,174289.9772190458,,,-174289.9772190458,,,,,,
PROD HOGAR USD,7037.643904937369,,,0,,,7037.643904937369,,,13068.77566645057,,,,,,13068.77566645057,,,61743.90545973561,,,,,,61743.90545973561,,,81850.32503112355,,,4597.465373701643,,,,,,4597.465373701643,,,28590.776539520448,,,,,,28590.776539520448,,,18339.913551393292,,,,,,18339.913551393292,,,51528.15546461538,,,8863.543694935679,,,,,,8863.543694935679,,,6972.005746926469,,,,,,6972.005746926469,,,14706.11624889069,,,,,,14706.11624889069,,,30541.665690752838,,,53218.65669523864,,,,,,53218.65669523864,,,,,,,,,,,,,,,,,,,,,53218.65669523864,,,217138.80288173043,,,0,,,217138.80288173043,,,,,,
OTROS INGRESOS USD,0,,,23779.065528630403,,,-23779.065528630403,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,23779.065528630403,,,-23779.065528630403,,,,,,
TOTAL VENTAS USD,4112828.254663658,,,5565828.159372101,,,-1452999.9047084427,-0.2610572700240103,,3645674.2275059535,,,,,,3645674.2275059535,,,4125144.4402970523,,,,,,4125144.4402970523,,,11883646.922466664,,,3867699.831609819,,,,,,3867699.831609819,,,4078982.87964263,,,,,,4078982.87964263,,,3509362.1991608404,,,,,,3509362.1991608404,,,11456044.91041329,,,4091341.046686085,,,,,,4091341.046686085,,,3714851.8310447712,,,,,,3714851.8310447712,,,4060150.552656182,,,,,,4060150.552656182,,,11866343.430387039,,,4579837.621474887,,,,,,4579837.621474887,,,,,,,,,,,,,,,,,,,,,4579837.621474887,,,39785872.88474188,,,5565828.159372101,,,34220044.725369774,6.148239533365373,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
