UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.35284632431441,Unnamed: 122,Unnamed: 123,18.5,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,RESULTADO,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,RESULTADO,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,RESULTADO,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,RESULTADO,,,LEO ESPUMA,,,LEO ESPUMA,,,LEO ESPUMA,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,288277.55973179423,,,295161.61368768505,,,-6884.05395589082,-0.023322998779830975,,189312.58113853878,,,,,,189312.58113853878,,,227354.9739425948,,,,,,227354.9739425948,,,704945.1148129278,,,199562.22185476648,,,,,,199562.22185476648,,,214650.4062774704,,,,,,214650.4062774704,,,255080.7339584243,,,,,,255080.7339584243,,,669293.3620906612,,,250560.55700101345,,,,,,250560.55700101345,,,313616.3192282955,,,,,,313616.3192282955,,,289237.88399294356,,,,,,289237.88399294356,,,853414.7602222526,,,311403.986247096,,,,,,311403.986247096,,,,,,,,,,,,,,,,,,,,,311403.986247096,,,2539057.223372937,,,295161.61368768505,,,2243895.609685252,7.602260950028386,,,,,
AUTOMOTRIZ USD,8039.945411379376,,,0,,,8039.945411379376,,,9483.572808321214,,,,,,9483.572808321214,,,8063.469667753769,,,,,,8063.469667753769,,,25586.987887454357,,,12609.785073229743,,,,,,12609.785073229743,,,7706.244694415748,,,,,,7706.244694415748,,,11906.200692281029,,,,,,11906.200692281029,,,32222.23045992652,,,3751.9923378262424,,,,,,3751.9923378262424,,,11939.213953986693,,,,,,11939.213953986693,,,20114.05240895046,,,,,,20114.05240895046,,,35805.25870076339,,,5853.14415673239,,,,,,5853.14415673239,,,,,,,,,,,,,,,,,,,,,5853.14415673239,,,99467.62120487668,,,0,,,99467.62120487668,,,,,,
EMPAQUE USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
PROD HOGAR USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
OTROS INGRESOS USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
TOTAL VENTAS USD,296317.5051431736,,,295161.61368768505,,,1155.891455488556,0.003916130695475993,,198796.15394686,,,,,,198796.15394686,,,235418.44361034856,,,,,,235418.44361034856,,,730532.1027003822,,,212172.00692799623,,,,,,212172.00692799623,,,222356.65097188615,,,,,,222356.65097188615,,,266986.9346507053,,,,,,266986.9346507053,,,701515.5925505876,,,254312.5493388397,,,,,,254312.5493388397,,,325555.53318228223,,,,,,325555.53318228223,,,309351.936401894,,,,,,309351.936401894,,,889220.018923016,,,317257.13040382834,,,,,,317257.13040382834,,,,,,,,,,,,,,,,,,,,,317257.13040382834,,,2638524.844577814,,,295161.61368768505,,,2343363.2308901288,7.939254707320027,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
TRADICIONAL,5928246.68,0.9728671264038394,,5312909.046378331,1,,615337.6336216684,0.11581934270851629,,3873323.24,0.9522949885094042,,,,,3873323.24,,,4632186.319999999,0.965748351980867,,,,,4632186.319999999,,,14433756.239999998,0.9649901471899378,,4010834.13,0.9405681020045727,,,,,4010834.13,,,4178699.86,0.9653428639946997,,,,,4178699.86,,,4864463.569999999,0.9554053058519222,,,,,4864463.569999999,,,13053997.559999999,0.9539253188360236,,4681513.86,0.9852465309023064,,,,,4681513.86,,,5873262.7700000005,0.9633266440374036,,,,,5873262.7700000005,,,5358154.9399999995,0.934980033928673,,,,,5358154.9399999995,,,15912931.57,0.9598106215111069,,5734028.26,0.9815507876866878,,,,,5734028.26,,,,,,,,,,,,,,,,,,,,,5734028.26,0.9815507876866878,,49134713.629999995,0.9622377553226743,,5312909.046378331,1,,43821804.583621666,8.248175190104906,,,,,
AUTOMOTRIZ,165336.42,0.02713287359616053,,0,0,,165336.42,,,194033.29,0.04770501149059583,,,,,194033.29,,,164287.12,0.034251648019132996,,,,,164287.12,,,523656.8300000001,0.03500985281006217,,253433.52000000002,0.05943189799542718,,,,,253433.52000000002,,,150021.07,0.03465713600530031,,,,,150021.07,,,227054.69999999998,0.04459469414807776,,,,,227054.69999999998,,,630509.29,0.04607468116397633,,70102.83,0.014753469097693567,,,,,70102.83,,,223592.12999999998,0.03667335596259638,,,,,223592.12999999998,,,372614.43000000005,0.06501996607132701,,,,,372614.43000000005,,,666309.39,0.04018937848889313,,107776.70000000001,0.018449212313312154,,,,,107776.70000000001,,,,,,,,,,,,,,,,,,,,,107776.70000000001,0.018449212313312154,,1928252.2100000002,0.037762244677325627,,0,0,,1928252.2100000002,,,,,,
EMPAQUE,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
PROD HOGAR,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
OTROS INGRESOS,,0,,0,0,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
TOTAL VENTAS,6093583.1,,,5312909.046378331,,,780674.0536216685,0.14693909622899212,,4067356.5300000003,,,,,,4067356.5300000003,,,4796473.4399999995,,,,,,4796473.4399999995,,,14957413.069999998,,,4264267.65,,,,,,4264267.65,,,4328720.93,,,,,,4328720.93,,,5091518.27,,,,,,5091518.27,,,13684506.85,,,4751616.69,,,,,,4751616.69,,,6096854.9,,,,,,6096854.9,,,5730769.369999999,,,,,,5730769.369999999,,,16579240.96,,,5841804.96,,,,,,5841804.96,,,,,,,,,,,,,,,,,,,,,5841804.96,,,51062965.839999996,,,5312909.046378331,,,45750056.79362167,8.611112366926037,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,53768407.23,0.8982061393814668,,62798493.82288131,0.9219967755387963,,-9030086.592881314,-0.14379463651389526,,53531456.3400003,0.9293847159805191,,,,,53531456.3400003,,,62022662.26000001,0.9282170685126058,,,,,62022662.26000001,,,169322525.8300003,0.9188331993201024,,60399450.06999983,0.9340547094977636,,,,,60399450.06999983,,,59707315.12999967,0.9324017975449927,,,,,59707315.12999967,,,53873004.72999993,0.9136511581718383,,,,,53873004.72999993,,,173979769.9299994,0.9270798519313164,,56998398.6899999,0.9230507610280047,,,,,56998398.6899999,,,55039669.93999953,0.9002747552963456,,,,,55039669.93999953,,,59595948.419999994,0.9122752594363888,,,,,59595948.419999994,,,171634017.04999942,0.9119124702728477,,67183715.55999942,0.9200032410806287,,,,,67183715.55999942,,,,,,,,,,,,,,,,,,,,,67183715.55999942,0.9200032410806287,,582120028.3699986,0.9193551211783418,,62798493.82288131,0.9219967755387963,,519321534.54711723,8.2696495239492,,,,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VENTAS C/TRANSFERENC,59861990.33,,,68111402.86925964,,,-8249412.539259646,-0.12111646790030817,,57598812.8700003,,,,,,57598812.8700003,,,66819135.70000001,,,,,,66819135.70000001,,,184279938.90000033,,,64663717.71999983,,,,,,64663717.71999983,,,64036036.05999967,,,,,,64036036.05999967,,,58964522.999999925,,,,,,58964522.999999925,,,187664276.7799994,,,61750015.3799999,,,,,,61750015.3799999,,,61136524.83999953,,,,,,61136524.83999953,,,65326717.78999999,,,,,,65326717.78999999,,,188213258.00999942,,,73025520.51999941,,,,,,73025520.51999941,,,,,,,,,,,,,,,,,,,,,73025520.51999941,,,633182994.2099986,1,,68111402.86925964,1,,565071591.3407389,8.296284726735085,,,,,
