UREBLOCK S.A. DE C.V.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,UREBLOCK S.A. DE C.V..1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
ESTADO DE RESULTADOS DE MARZO DE 2025,,,,,,,,,,,,,,,,,,,ESTADO DE RESULTADOS DE MARZO DE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL,3992164.5999999996,,31032937.109999996,,152558.45,,165420,,4813.94,,,,35347894.099999994,,0,,,,VENTAS,,,12938985.03,,,,12938985.03,0.5693910149574063,4632186.319999999,,36477914.650000006,,,,41110100.970000006,0.26268937943588766,25323463.580000006,,25599738.75,,0,,50923202.330000006,,37050,,84800.9,,0,,84800.9,,,,6473580.409999999,,8237.77,,,,6481818.179999999,0.34821067198422734,53796817.28000001,,8126979.790000003,,,,61923797.07000001,0.8145053222657112,19745953.970000003,,,,19745953.970000003,0.9763159671397466,8582751.020000003,,,,8582751.020000003,1.020139592187493,0,,250046.37000000002,,,,250046.37000000002,0.0032889472030921316,,237426399.94000006,,237426399.94000003,0,105309331.24,
AUTOMOTRIZ,0,,0,,0,,0,,0,,,,0,,0,,,,,,,0,,,,0,0,164287.12,,52768922.65000001,,,,52933209.77000001,0.3382378466104498,393778.46,,1260117.21,,0,,1653895.67,,0,,0,,0,,0,,,,0,,0,,,,0,0,0,,0,,,,0,0,457859.93999999994,,,,457859.93999999994,0.02263835775241839,0,,,,0,0,0,,1697903.85,,,,1697903.85,0.022333122126815364,,56742869.23000001,,56742869.23000001,0,22249875.740000002,
EMPAQUE,4925507.11,,597722.51,,268626.7,,1907.21,,31745388.820000004,,,,37539152.35,,0,,,,,,,0,,,,0,0,0,,0,,,,0,0,0,,1112635.1,,0,,1112635.1,,0,,0,,0,,0,,,,0,,0,,,,0,0,724405.3200000001,,3082520.4499999997,,,,3806925.7699999996,0.05007382376165211,562234.1499999999,,,,562234.1499999999,0.027799020434779387,0,,,,0,0,0,,1354238.9300000002,,,,1354238.9300000002,0.017812777450606384,,44375186.3,,44375186.300000004,0,18352279.55,
PROD HOGAR,0,,219856.93999999997,,0,,0,,1339944.5499999998,,,,1559801.4899999998,,0,,,,,,,0,,,,0,0,0,,1257985.56,,,,1257985.56,0.008038400254401213,0,,32287082.78,,0,,32287082.78,,10204466,,0,,0,,0,,,,0,,5638930.01,,,,5638930.01,0.30292975728827465,0,,2024315.09,,,,2024315.09,0.026626523126221335,0,,,,0,0,94771.24,,,,94771.24,0.01126444119133995,0,,0,,,,0,0,,53067352.17,,53067352.17,0,28214697.980000004,
"REB, DEV, DCTOS S/VTAS",-354010.78,,-1600568.34,,0,,0,,-194414.27125,,0,,-2148993.3912500003,,0,,,,"REB, DEV, DCTOS S/VTAS",0,,-61062.95,,0,,-61062.95,-0.00268712692658501,,,-6458112.49775926,,0,,-6458112.49775926,-0.041266684448221874,-538956.14,,-780896.95,,0,,-1319853.0899999999,,-78489.14,,0,,0,,0,,0,,-259565.19,,0,,0,,-259565.19,-0.013944138314847589,-1067609.9566,,-280975.25,,0,,-1348585.2066,-0.017738412052846413,-587949.09,,0,,-587949.09,-0.029070466046076972,-821073.89,,0,,-821073.89,-0.09759225000801644,0,,-22.84,,0,,-22.84,-3.0042249411028955e-07,,-13083707.28560926,,-13083707.2856093,3.91155481338501e-08,,
