UREBLOCK S.A. DE C.V.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,UREBLOCK S.A. DE C.V..1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
ESTADO DE RESULTADOS DE MAYO DE 2025,,,,,,,,,,,,,,,,,,,ESTADO DE RESULTADOS DE MAYO DE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL,5465500.22,,28920206.449999984,,171519.2,,231957.9,,12266.8,,,,34801450.569999985,,0,,,,VENTAS,,,13013365.05,,,,13013365.05,0.6063389992608261,4178699.86,,31683040.740000002,,,,35861740.6,0.23757591563536956,26921037.479999997,,23666545.330000002,,0,,50587582.81,,115694,,56176.56,,0,,56176.56,,,,6277603.929999999,,18541.640000000003,,,,6296145.569999998,0.4419918855718169,46031566.7,,7197917.370000001,,,,53229484.07000001,0.8546860163497441,16858157.64,,,,16858157.64,0.9422469033777978,7971512.2299999995,,,,7971512.2299999995,1.0149553127123132,0,,910869.71,,,,910869.71,0.01462549595314059,,219702178.81,,219702178.81,0,105309331.24,
AUTOMOTRIZ,0,,0,,0,,0,,0,,,,0,,0,,,,,,,0,,,,0,0,150021.07,,51604497.919999994,,,,51754518.989999995,0.3428619757881292,454534.41,,1412607.08,,0,,1867141.49,,0,,0,,0,,0,,,,0,,0,,,,0,0,0,,0,,,,0,0,573678.75,,,,573678.75,0.032064418738057654,0,,,,0,0,0,,847558.5,,,,847558.5,0.013608931415448987,,55042897.73,,55042897.72999999,0,22249875.740000002,
EMPAQUE,2561791.46,,740005.1599999999,,301449.27999999997,,38462.630000000005,,27519638.99,,,,31161347.52,,0,,,,,,,0,,,,0,0,0,,0,,,,0,0,0,,1417056.67,,0,,1417056.67,,0,,0,,0,,0,,,,0,,0,,,,0,0,374552.06,,2902420.35,,,,3276972.41,0.05261712646148741,344054.62,,,,344054.62,0.01923012034948707,0,,,,0,0,0,,1400732.68,,,,1400732.68,0.02249104335983658,,37600163.89999999,,37600163.89999999,0,18352279.55,
PROD HOGAR,0,,308674,,0,,0,,1122646.26,,,,1431320.26,,0,,,,,,,0,,,,0,0,0,,556590.02,,,,556590.02,0.003687282921091919,0,,45333513.53000001,,0,,45333513.53000001,,15018063.639999999,,65960,,0,,65960,,,,0,,149883.8,,,,149883.8,0.010521901477997293,0,,2658901.1500000004,,,,2658901.1500000004,0.04269298625500003,0,,,,0,0,107628.54,,,,107628.54,0.013703567820088473,0,,0,,,,0,0,,65321860.940000005,,65321860.940000005,0,28214697.980000004,
"REB, DEV, DCTOS S/VTAS",-252771.47,,-728052.96,,0,,0,,-313210.80925,,0,,-1294035.2392499999,,0,,,,"REB, DEV, DCTOS S/VTAS",0,,-40630.1,,0,,-40630.1,-0.0018931009834283633,,,-4436661.05065,,0,,-4436661.05065,-0.029391875403614803,-451860.01,,-1946028.53,,0,,-2397888.54,,-249284.31,,0,,0,,0,,0,,-234395.06,,-7906.89,,0,,-242301.95,-0.01700969181343565,-3825086.4704,,-313650.35,,0,,-4138736.8204,-0.06645415689349704,-187969.65,,0,,-187969.65,-0.010506119614237305,-704089.26,,0,,-704089.26,-0.08964662092234928,0,,0,,0,,0,0,,-13691596.9203,,-13691596.9203,3.91155481338501e-08,,
