UREBLOCK SA DE CV,20.56437096774193,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285702,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.649670354532628,Unnamed: 122,Unnamed: 123,19.88777601593933,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,,,,OCT 25,,,,,,,,
,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,MERIDA,,,,,,,,,MERIDA,,,MERIDA,,,,,,,,,,MERIDA,,,MID CORTE,,,MID COSTURA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,234162.42138179796,,,255970.0249495949,,,-21807.603567796934,-0.08519592703126565,,291579.7133142788,,,234250.17568713104,,,57329.53762714777,0.2447363698190698,,305397.9414208197,,,219500.3815160839,,,85897.55990473583,0.3913321667663784,,831140.0761168966,0.5759674644731841,,323485.8062486306,,,249141.24388171945,,,74344.56236691112,0.2984032720098581,,311378.4797466079,,,247004.8460076778,,,64373.633738930075,0.2606168857793547,,269671.9635621692,,,229661.90007225095,,,40010.06348991828,0.17421289067682202,,904536.2495574078,0.8794645293967097,,260183.58354238275,,,284906.0744708566,,,-24722.490928473824,-0.08677417978675889,,212449.65215971365,,,246145.70148866795,,,-33696.04932895431,-0.13689472993094542,,217347.47650212582,,,224392.4066802167,,,-7044.930178090872,-0.03139558188406373,,689980.7122042222,0.9585173563374602,,248719.84907262895,,,245806.29641951874,,,2913.5526531102078,0.011853043211462876,,0,,,0,,,0,,,0,,,0,,,0,,,248719.84907262895,1,,2674376.8869511555,,,2436779.0511737177,,,237597.83577743778,0.09750487458557007,,2685954.607206785,,,2195274.3731014896,,,,248719.84907262895,1,,217741.56469597336,1,,30978.284376655578,1,0
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,,0,0,,0,0,,0,0,
EMPAQUE USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,,0,0,,0,0,,0,0,
PROD HOGAR USD,246412.7873373224,,,74648.3429543376,,,171764.4443829848,2.3009813424532832,,88712.63357551399,,,83506.2131929252,,,5206.420382588782,0.06234770065025388,,276767.5341452297,,,63035.035594450674,,,213732.49855077907,3.3906937076370136,,611892.955058066,0.4240325355268158,,-427.28879537748804,,,227518.7942242841,,,-227946.08301966157,-1.0018780373587786,,7293.034301228767,,,63515.16318428816,,,-56222.1288830594,-0.8851764848644386,,117105.94280422584,,,168378.56596280978,,,-51272.62315858394,-0.3045080165958217,,123971.68831007711,0.12053547060329046,,5275.748719374181,,,204350.75144212437,,,-199075.00272275019,-0.9741828758536845,,-2602.582344650918,,,60700.35275337117,,,-63302.935098022084,-1.0428759014832312,,27187.768149989093,,,78363.14367089054,,,-51175.37552090145,-0.6530541415723154,,29860.934524712357,0.04148264366253995,,0,,,58363.14367089053,,,-58363.14367089053,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,765725.5778928557,,,1082379.5066503722,,,-316653.92875751643,-0.2925535145592897,,1840229.006695945,,,1511209.7207758147,,,,0,0,,0,0,,0,0,
OTROS INGRESOS USD,0,,,2655.0073816782074,,,-2655.0073816782074,,,0,,,2600.8882896658633,,,-2600.8882896658633,,,0,,,2511.8566875951296,,,-2511.8566875951296,,,0,0,,0,,,4500.938772340406,,,-4500.938772340406,,,0,,,2508.509198012536,,,-2508.509198012536,,,0,,,2422.8369475430445,,,-2422.8369475430445,,,0,0,,0,,,949.1468608152971,,,-949.1468608152971,,,0,,,867.3380526354009,,,-867.3380526354009,,,0,,,841.6054145148504,,,-841.6054145148504,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,19858.12760480074,,,-19858.12760480074,,,0,,,0,,,,0,0,,0,0,,0,0,
TOTAL VENTAS USD,480575.20871912036,,,333273.3752856107,,,147301.83343350966,0.44198500197405227,,380292.3468897928,,,320357.2771697221,,,59935.06972007069,0.18708821054287383,,582165.4755660495,,,285047.2737981297,,,297118.20176791976,1.0423471089863454,,1443033.0311749626,,,323058.5174532531,,,481160.97687834396,,,-158102.45942509084,-0.3285853737574925,,318671.51404783665,,,313028.5183899785,,,5642.9956578581405,0.018027097616799142,,386777.90636639507,,,400463.3029826037,,,-13685.396616208709,-0.03417390935519292,,1028507.9378674848,,,265459.33226175694,,,490205.97277379624,,,-224746.6405120393,-0.4584738925972814,,209847.0698150627,,,307713.3922946745,,,-97866.32247961179,-0.31804375412394265,,244535.24465211492,,,303597.1557656221,,,-59061.91111350717,-0.19454039667981324,,719841.6467289345,,,248719.84907262895,,,304169.44009040925,,,-55449.59101778032,-0.18229836304823668,,0,,,0,,,0,,,0,,,0,,,0,,,248719.84907262895,,,3440102.4648440112,,,3539016.685428891,,,-98914.2205848794,-0.027949633860766127,,4526183.61390273,,,3706484.0938773043,,,,248719.84907262895,1,,217741.56469597336,1,,30978.284376655578,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,,,,,,,,,,,,
