UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.517168577225245,Unnamed: 122,Unnamed: 123,17.79620432829828,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,MID CORTE,,,MID COSTURA,,,MID COSTURA,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,RESULTADO,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,RESULTADO,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,RESULTADO,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,RESULTADO,,,MID CORTE,,,MID CORTE,,,MID CORTE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,232988.94371803405,,,272244.75655563874,,,-39255.812837604695,-0.14419309056401228,,289689.9199864824,,,,,,289689.9199864824,,,304993.6187415681,,,,,,304993.6187415681,,,827672.4824460846,,,318543.09489971626,,,,,,318543.09489971626,,,310426.037433833,,,,,,310426.037433833,,,268998.75985105627,,,,,,268998.75985105627,,,897967.8921846056,,,252028.394361966,,,,,,252028.394361966,,,206783.96627496017,,,,,,206783.96627496017,,,216098.90213699488,,,,,,216098.90213699488,,,674911.262773921,,,217741.56469597336,,,,,,217741.56469597336,,,,,,,,,,,,,,,,,,,,,217741.56469597336,,,2618293.2021005847,,,272244.75655563874,,,2346048.445544946,8.61742380358934,,,,,
AUTOMOTRIZ USD,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
EMPAQUE USD,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
PROD HOGAR USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
OTROS INGRESOS USD,0,,,3117.6481234991647,,,-3117.6481234991647,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,3117.6481234991647,,,-3117.6481234991647,,,,,,
TOTAL VENTAS USD,232988.94371803405,,,275362.4046791379,,,-42373.46096110386,-0.1538825207837611,,289689.9199864824,,,,,,289689.9199864824,,,304993.6187415681,,,,,,304993.6187415681,,,827672.4824460846,,,318543.09489971626,,,,,,318543.09489971626,,,310426.037433833,,,,,,310426.037433833,,,268998.75985105627,,,,,,268998.75985105627,,,897967.8921846056,,,252028.394361966,,,,,,252028.394361966,,,206783.96627496017,,,,,,206783.96627496017,,,216098.90213699488,,,,,,216098.90213699488,,,674911.262773921,,,217741.56469597336,,,,,,217741.56469597336,,,,,,,,,,,,,,,,,,,,,217741.56469597336,,,2618293.2021005847,,,275362.4046791379,,,2342930.797421447,8.508535506695306,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
