UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,20.0718224505458,Unnamed: 122,Unnamed: 123,18.5,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,RESULTADO,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,RESULTADO,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,RESULTADO,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,RESULTADO,,,MID COSTURA,,,MID COSTURA,,,MID COSTURA,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,1173.4776637639013,,,0,,,1173.4776637639013,,,1889.7933277963807,,,,,,1173.4776637639013,,,404.32267925161733,,,,,,404.32267925161733,,,3467.5936708118998,0.005635060092777719,,4942.711348914304,,,,,,4942.711348914304,,,952.442312774911,,,,,,952.442312774911,,,673.2037111129405,,,,,,673.2037111129405,,,6568.357372802156,0.05031680001674471,,8155.18918041674,,,,,,8155.18918041674,,,5665.685884753489,,,,,,5665.685884753489,,,1248.5743651309465,,,,,,1248.5743651309465,,,15069.449430301174,0.3353955186625922,,30978.284376655578,,,,,,30978.284376655578,,,,,,,,,,,,,,,,,,,,,30978.284376655578,1,,56083.684850570804,,,0,,,56083.684850570804,,,,,,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,,,0,,,,,,
EMPAQUE USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,,,0,,,,,,
PROD HOGAR USD,246412.7873373224,,,0,,,246412.7873373224,,,88712.63357551399,,,,,,246412.7873373224,,,276767.5341452297,,,,,,276767.5341452297,,,611892.955058066,0.9943649399072222,,-427.28879537748804,,,,,,-427.28879537748804,,,7293.034301228767,,,,,,7293.034301228767,,,117105.94280422584,,,,,,117105.94280422584,,,123971.68831007711,0.9496831999832551,,5275.748719374181,,,,,,5275.748719374181,,,-2602.582344650918,,,,,,-2602.582344650918,,,27187.768149989093,,,,,,27187.768149989093,,,29860.934524712357,0.6646044813374078,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,765725.5778928557,,,0,,,765725.5778928557,,,,,,
OTROS INGRESOS USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,,,0,,,,,,
TOTAL VENTAS USD,247586.2650010863,,,0,,,247586.2650010863,,,90602.42690331036,,,,,,247586.2650010863,,,277171.85682448134,,,,,,277171.85682448134,,,615360.548728878,,,4515.422553536816,,,,,,4515.422553536816,,,8245.476614003677,,,,,,8245.476614003677,,,117779.14651533878,,,,,,117779.14651533878,,,130540.04568287928,,,13430.93789979092,,,,,,13430.93789979092,,,3063.1035401025706,,,,,,3063.1035401025706,,,28436.34251512004,,,,,,28436.34251512004,,,44930.38395501353,,,30978.284376655578,,,,,,30978.284376655578,,,,,,,,,,,,,,,,,,,,,30978.284376655578,,,821809.2627434265,,,0,,,821809.2627434265,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
