UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.240283873593572,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.440150017398366,Unnamed: 122,Unnamed: 123,17.96146878489318,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,RESULTADO,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,RESULTADO,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,RESULTADO,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,RESULTADO,,,MTY CORTE,,,MTY CORTE,,,MTY CORTE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,1093819.6920919444,,,1212244.6037083566,,,-118424.91161641222,-0.09769060736928885,,984456.1288595032,,,,,,984456.1288595032,,,1256475.351890311,,,,,,1256475.351890311,,,3334751.1728417585,,,1276942.8566358218,,,,,,1276942.8566358218,,,1215697.164301403,,,,,,1215697.164301403,,,1144306.9832708363,,,,,,1144306.9832708363,,,3636947.004208061,,,1108211.0793340574,,,,,,1108211.0793340574,,,966814.4592800874,,,,,,966814.4592800874,,,1201683.9490031889,,,,,,1201683.9490031889,,,3276709.487617334,,,1239601.259859544,,,,,,1239601.259859544,,,,,,,,,,,,,,,,,,,,,1239601.259859544,,,11488008.924526695,,,1212244.6037083566,,,10275764.320818339,8.476642658902275,,,,,
AUTOMOTRIZ USD,54743.37103556026,,,104289.77060387953,,,-49546.39956831927,-0.4750839826516616,,44489.064516680875,,,,,,44489.064516680875,,,61848.53018696478,,,,,,61848.53018696478,,,161080.96573920592,,,8341.29105329525,,,,,,8341.29105329525,,,72562.44616535612,,,,,,72562.44616535612,,,30586.79967635521,,,,,,30586.79967635521,,,111490.53689500657,,,47447.209763660445,,,,,,47447.209763660445,,,62656.833130710715,,,,,,62656.833130710715,,,36823.26014246632,,,,,,36823.26014246632,,,146927.3030368375,,,46087.57422686345,,,,,,46087.57422686345,,,,,,,,,,,,,,,,,,,,,46087.57422686345,,,465586.37989791343,,,104289.77060387953,,,361296.6092940339,3.4643532841426525,,,,,
EMPAQUE USD,53184.2559986698,,,103775.4850144275,,,-50591.22901575769,-0.48750655329362413,,47291.531777609984,,,,,,47291.531777609984,,,54609.87678235629,,,,,,54609.87678235629,,,155085.66455863608,,,82334.8120201365,,,,,,82334.8120201365,,,72791.01158839853,,,,,,72791.01158839853,,,40469.94041516936,,,,,,40469.94041516936,,,195595.7640237044,,,19792.841875730523,,,,,,19792.841875730523,,,54675.21650878868,,,,,,54675.21650878868,,,56192.0288603342,,,,,,56192.0288603342,,,130660.0872448534,,,35405.451864133196,,,,,,35405.451864133196,,,,,,,,,,,,,,,,,,,,,35405.451864133196,,,516746.9676913271,,,103775.4850144275,,,412971.4826768996,3.9794705138644813,,,,,
PROD HOGAR USD,2600518.4074867987,,,5629590.470251687,,,-3029072.062764888,-0.5380625959865718,,2185342.545274022,,,,,,2185342.545274022,,,1546373.0436495484,,,,,,1546373.0436495484,,,6332233.99641037,,,1213128.270759069,,,,,,1213128.270759069,,,2228717.4467246025,,,,,,2228717.4467246025,,,2799766.72614837,,,,,,2799766.72614837,,,6241612.443632042,,,2432809.155503454,,,,,,2432809.155503454,,,1393451.2772631925,,,,,,1393451.2772631925,,,1331325.3778121334,,,,,,1331325.3778121334,,,5157585.81057878,,,2324106.036008705,,,,,,2324106.036008705,,,,,,,,,,,,,,,,,,,,,2324106.036008705,,,20055538.286629897,,,5629590.470251687,,,14425947.81637821,2.5625217131883584,,,,,
OTROS INGRESOS USD,0,,,15123.567661060797,,,-15123.567661060797,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,15123.567661060797,,,-15123.567661060797,,,,,,
TOTAL VENTAS USD,3802265.726612973,,,7065023.897239411,,,-3262758.170626438,-0.4618184195953433,,3261579.270427816,,,0,,,3261579.270427816,,,2919306.8025091803,,,,,,2919306.8025091803,,,9983151.79954997,,,2580747.2304683225,,,,,,2580747.2304683225,,,3589768.06877976,,,,,,3589768.06877976,,,4015130.449510731,,,,,,4015130.449510731,,,10185645.748758813,,,3608260.2864769027,,,,,,3608260.2864769027,,,2477597.7861827794,,,,,,2477597.7861827794,,,2626024.615818123,,,,,,2626024.615818123,,,8711882.688477805,,,3645200.3219592455,,,,,,3645200.3219592455,,,,,,,,,,,,,,,,,,,,,3645200.3219592455,,,32525880.55874583,,,7065023.897239411,,,25460856.661506422,3.6037891777627253,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
TRADICIONAL,22493713.92,0.28767576248972737,,21820403,0.17158393605486094,,673310.9200000018,0.030856942468019576,,20141909.11,0.3018341874396245,,,,,20141909.11,,,25599738.75,0.4304019539194561,,,,,25599738.75,,,68235361.78,0.3338299102629338,,25664206.099999998,0.49479578687917364,,,,,25664206.099999998,,,23666545.330000002,0.33865618641893064,,,,,23666545.330000002,,,21822266.019999996,0.2849987061840736,,,,,21822266.019999996,,,71153017.44999999,0.35877579831156675,,20705994.55,0.3071316898859623,,,,,20705994.55,,,18106058.33,0.3902225230712903,,,,,18106058.33,,,22261291.29,0.45760574435011964,,,,,22261291.29,,,61073344.17,0.37591936108149415,,22825361.81,0.3400639609274683,,,,,22825361.81,,,,,,,,,,,,,,,,,,,,,22825361.81,0.3400639609274683,,223287085.21,0.3531302562822143,,21820403,0.17195202087021982,,201466682.21,9.232949648546821,,,,,
AUTOMOTRIZ,1125762.99,0.014397565812509689,,1877216,0.014761418939199328,,-751453.01,-0.4003018352709544,,910243.4,0.013640344393912377,,,,,910243.4,,,1260117.21,0.021186032976665967,,,,,1260117.21,,,3296123.5999999996,0.016125724505589897,,167644.63,0.003232122446870388,,,,,167644.63,,,1412607.08,0.020213686448557013,,,,,1412607.08,,,583299.14,0.00761788441520808,,,,,583299.14,,,2163550.85,0.010909300985610118,,886511.3200000001,0.013149608397565965,,,,,886511.3200000001,,,1173408.47,0.025289348206613365,,,,,1173408.47,,,682153.8400000001,0.014022435250857024,,,,,682153.8400000001,,,2742073.63,0.01687804362175986,,848632.2100000001,0.012643358431970071,,,,,848632.2100000001,,,,,,,,,,,,,,,,,,,,,848632.2100000001,0.012643358431970071,,9050380.290000001,0.01431324659128144,,1877216,0.014793085389390406,,7173164.290000001,3.8211715061026545,,,,,
