UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.420274251963548,Unnamed: 122,Unnamed: 123,18.5,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,RESULTADO,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,RESULTADO,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,RESULTADO,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,RESULTADO,,,MTY ESPUMA,,,MTY ESPUMA,,,MTY ESPUMA,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,914832.759509675,,,1529424,,,-614591.240490325,-0.4018449040229034,,1127820.6438297012,,,,,,1127820.6438297012,,,1216462.5198412247,,,,,,1216462.5198412247,,,3259115.9231806006,,,1217823.3664469172,,,,,,1217823.3664469172,,,1359662.0690929368,,,,,,1359662.0690929368,,,1230622.2223154446,,,,,,1230622.2223154446,,,3808107.6578552984,,,1326316.9389805752,,,,,,1326316.9389805752,,,1071880.8821335768,,,,,,1071880.8821335768,,,1190687.6224016303,,,,,,1190687.6224016303,,,3588885.4435157822,,,1055547.0021947487,,,,,,1055547.0021947487,,,,,,,,,,,,,,,,,,,,,1055547.0021947487,,,11711656.026746431,,,1529424,,,10182232.026746431,6.65755998777738,,,,,
AUTOMOTRIZ USD,14917.953507122798,,,21929,,,-7011.046492877202,-0.31971574138707654,,13430.035843570244,,,,,,13430.035843570244,,,19327.26477903314,,,,,,19327.26477903314,,,47675.25412972618,,,10728.637558755368,,,,,,10728.637558755368,,,23348.40956334928,,,,,,23348.40956334928,,,11763.680048913782,,,,,,11763.680048913782,,,45840.727171018436,,,23378.637831939763,,,,,,23378.637831939763,,,16583.604034630385,,,,,,16583.604034630385,,,8601.850032496484,,,,,,8601.850032496484,,,48564.09189906663,,,8498.05396680132,,,,,,8498.05396680132,,,,,,,,,,,,,,,,,,,,,8498.05396680132,,,150578.12716661254,,,21929,,,128649.12716661254,5.866620783739,,,,,
EMPAQUE USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
PROD HOGAR USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
OTROS INGRESOS USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
TOTAL VENTAS USD,929750.7130167978,,,1551353,,,-621602.2869832022,-0.4006839752030661,,1141250.6796732715,,,,,,1141250.6796732715,,,1235789.7846202578,,,,,,1235789.7846202578,,,3306791.177310327,,,1228552.0040056726,,,,,,1228552.0040056726,,,1383010.4786562861,,,,,,1383010.4786562861,,,1242385.9023643583,,,,,,1242385.9023643583,,,3853948.385026317,,,1349695.576812515,,,,,,1349695.576812515,,,1088464.4861682071,,,,,,1088464.4861682071,,,1199289.4724341268,,,,,,1199289.4724341268,,,3637449.535414849,,,1064045.05616155,,,,,,1064045.05616155,,,,,,,,,,,,,,,,,,,,,1064045.05616155,,,11862234.153913043,,,1551353,,,10310881.153913043,6.646379743303454,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
