UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.428617145093387,Unnamed: 122,Unnamed: 123,18.5,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,17.5670583816338,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,
,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,RESULTADO,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,RESULTADO,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,MONTERREY TELAS,MONTERREY TELAS,,,MONTERREY TELAS,,,MONTERREY TELAS,,,,,,GUADALAJARA,,,MONTERREY TELAS,,,MONTERREY TELAS,,,GUADALAJARA,,,GUADALAJARA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,3461.7635575466807,,,0,,,3461.7635575466807,,,2551.6600212750295,,,,,,2551.6600212750295,,,4162.161251278983,,,,,,4162.161251278983,,,10175.584830100694,0.2027753668293609,,487.4923065109266,,,,,,487.4923065109266,,,2885.663443478492,,,,,,2885.663443478492,,,403.7694235378696,,,,,,403.7694235378696,,,3776.925173527288,0.034559524894920146,,7671.770638923083,,,,,,7671.770638923083,,,4270.325506438852,,,,,,4270.325506438852,,,892.9651046041365,,,,,,892.9651046041365,,,12835.061249966071,0.17040308145976743,,848.8893825278003,,,,,,848.8893825278003,,,0,,,0,,,0,,,0,,,0,,,0,,,848.8893825278003,0.03031764771828232,,27636.46063612185,,,0,,,27636.46063612185,,,40889.59035914811,,,38378.90676817688,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,
EMPAQUE USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,
PROD HOGAR USD,0,,,0,,,0,,,40005.97809447106,,,,,,40005.97809447106,,,0,,,,,,0,,,40005.97809447106,0.7972246331706391,,65290.32171928148,,,,,,65290.32171928148,,,3388.216735446979,,,,,,3388.216735446979,,,36832.0681017436,,,,,,36832.0681017436,,,105510.60655647205,0.9654404751050798,,0,,,,,,0,,,57761.284087710745,,,,,,57761.284087710745,,,4725.421968488125,,,,,,4725.421968488125,,,62486.70605619887,0.8295969185402325,,27150.953824829554,,,,,,27150.953824829554,,,0,,,0,,,0,,,0,,,0,,,0,,,27150.953824829554,0.9696823522817177,,235154.24453197152,,,0,,,235154.24453197152,,,418599.16231062624,,,382399.932585693,
OTROS INGRESOS USD,0,,,9077.187959465296,,,-9077.187959465296,,,0,,,4658.012107853694,,,-4658.012107853694,,,0,,,3234.894644216134,,,-3234.894644216134,,,0,0,,0,,,3126.119639697327,,,-3126.119639697327,,,0,,,4912.714173737338,,,-4912.714173737338,,,0,,,2907.912709135825,,,-2907.912709135825,,,0,0,,0,,,125.91311573278391,,,-125.91311573278391,,,0,,,5812.4798644296625,,,-5812.4798644296625,,,0,,,2676.248194680863,,,-2676.248194680863,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,36531.48240894892,,,-36531.48240894892,,,0,,,-37225.353713932294,
TOTAL VENTAS USD,3461.7635575466807,,,9077.187959465296,,,-5615.424401918615,-0.6186303982020219,,42557.638115746086,,,4658.012107853694,,,37899.626007892395,8.136437847379423,,4162.161251278983,,,3234.894644216134,,,927.2666070628493,0.286645071647315,,50181.56292457175,,,65777.81402579241,,,3126.119639697327,,,62651.694386095085,20.04136169022663,,6273.88017892547,,,4912.714173737338,,,1361.1660051881327,0.27707005884134883,,37235.83752528147,,,,,,34327.92481614565,,,109287.53172999935,,,7671.770638923083,,,,,,7545.8575231903,,,62031.609594149595,,,,,,56219.129729719934,,,5618.387073092261,,,,,,2942.138878411398,,,75321.76730616494,,,27999.843207357353,,,,,,27999.843207357353,,,0,,,,,,0,,,0,,,,,,0,,,27999.843207357353,,,262790.7051680934,,,36531.48240894892,,,226259.22275914447,6.1935406898166,,459488.75266977435,,,383553.48563993763,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,
