UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.43483843827178,Unnamed: 122,Unnamed: 123,19.968045553725872,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T2,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,,,,OCT 25,,,,,,,,
,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,RESULTADO,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,RESULTADO,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,MONTERREY II,,,,,,GUADALAJARA,,,MONTERREY II,,,MONTERREY II,,,GUADALAJARA,,,GUADALAJARA,,,,MONTERREY II,,,MTY ESPUMA,,,MTY ENSAMBLE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,2008652.4516016194,,,2241371.763343653,,,-232719.3117420338,-0.10382896561294488,,2112276.7726892047,,,2085073.6189828524,,,27203.153706352226,0.013046615456974876,,2472937.8717315355,,,2198038.2021064474,,,274899.6696250881,0.12506591985600765,,6593867.09602236,0.49615465675836473,,2494766.223082739,,,2574467.381875574,,,-79701.1587928352,-0.030958309805724005,,2575359.2333943397,,,2701062.8070214014,,,-125703.57362706168,-0.04653856004395594,,2374929.2055862807,,,2708103.9040602394,,,-333174.69847395876,-0.1230287722618148,,7445054.662063359,0.5302898781202975,,2434528.0183146326,,,3285827.0760660553,,,-851299.0577514227,-0.25908212393533425,,2038695.3414136642,,,2838947.681098652,,,-800252.3396849879,-0.28188344047795066,,2392371.5714048194,,,2340242.3842934105,,,52129.187111408915,0.02227512306471976,,6865594.931133117,0.5559486785730833,,2295148.2620542925,,,2566454.81266161,,,-271306.5506073176,-0.10571257645715255,,0,,,0,,,0,,,0,,,0,,,0,,,2295148.2620542925,0.48737070969322943,,23199664.95127313,,,25539589.631509896,,,-2339924.680236768,-0.09161950971012654,,23652728.577829305,,,19769576.27144985,,,,2295148.2620542925,0.48737070969322943,,1055547.0021947487,0.9920134453728329,,1239601.259859544,0.3400639609274684,0
AUTOMOTRIZ USD,69661.32454268305,,,144155.8537008131,,,-74494.52915813006,-0.5167638167003541,,57919.10036025112,,,124498.23728706589,,,-66579.13692681477,-0.534779755743029,,81175.79496599792,,,131050.77609164827,,,-49874.981125650345,-0.38057753348038986,,208756.2198689321,0.015707834129341767,,19069.92861205062,,,117945.69848248345,,,-98875.76987043284,-0.8383160313821639,,95910.8557287054,,,137603.3148962307,,,-41692.4591675253,-0.3029902237381882,,42350.47972526899,,,137603.3148962307,,,-95252.83517096171,-0.6922277653179627,,157331.264066025,0.011206254437756163,,70825.84759560021,,,150708.39250539552,,,-79882.54490979531,-0.5300470901574736,,79240.4371653411,,,137603.3148962307,,,-58362.877730889595,-0.42413860287379096,,45425.11017496281,,,137603.3148962307,,,-92178.20472126789,-0.66988360557143,,195491.39493590413,0.01583011869724264,,54585.62819366477,,,150708.39250539552,,,-96122.76431173075,-0.6378063139933594,,0,,,0,,,0,,,0,,,0,,,0,,,54585.62819366477,0.011591162449778088,,616164.507064526,,,1369480.6101577242,,,-753316.1030931983,-0.5500743110239715,,1412502.4883017128,,,1303077.7714179843,,,,54585.62819366477,0.011591162449778088,,8498.05396680132,0.007986554627167115,,46087.57422686345,0.012643358431970073,
EMPAQUE USD,53184.2559986698,,,89772.99528615968,,,-36588.73928748988,-0.407569549961655,,47291.531777609984,,,74009.94049989215,,,-26718.40872228217,-0.3610110823196933,,54609.87678235629,,,103549.23143873234,,,-48939.354656376054,-0.4726191974233273,,155085.66455863608,0.011669400299810357,,82334.8120201365,,,117838.40431232759,,,-35503.5922921911,-0.3012905045632641,,72791.01158839853,,,120466.71473223426,,,-47675.70314383574,-0.3957583075939794,,40469.94041516936,,,134266.569746076,,,-93796.62933090665,-0.6985851318633832,,195595.7640237044,0.013931724960126823,,19792.841875730523,,,103987.18758111502,,,-84194.3457053845,-0.8096607636369515,,54675.21650878868,,,123928.51183154181,,,-69253.29532275313,-0.5588164845946858,,56192.0288603342,,,101626.72434609375,,,-45434.69548575955,-0.4470742885604571,,130660.0872448534,0.010580336238105337,,35405.451864133196,,,84615.06090560944,,,-49209.609041476244,-0.581570331744735,,0,,,0,,,0,,,0,,,0,,,0,,,35405.451864133196,0.007518285632052072,,516746.9676913271,,,1054061.340679782,,,-537314.3729884549,-0.5097562658373674,,669052.4179278726,,,565120.61358061,,,,35405.451864133196,0.007518285632052072,,0,0,,35405.451864133196,0.00971289606523003,
PROD HOGAR USD,2600518.4074867987,,,2027104.904079129,,,573413.5034076697,0.2828731272139857,,2185342.545274022,,,2749766.758011761,,,-564424.2127377391,-0.20526257766889658,,1546373.0436495484,,,2715450.940287747,,,-1169077.8966381985,-0.43052808625381217,,6332233.99641037,0.4764681088124833,,1213128.270759069,,,3397674.8918119865,,,-2184546.6210529176,-0.6429533991958526,,2228717.4467246025,,,2934005.015745757,,,-705287.5690211547,-0.24038390024424913,,2799766.72614837,,,3096154.413829623,,,-296387.6876812526,-0.09572768281755421,,6241612.443632042,0.4445721424818197,,2432809.155503454,,,2798892.082980794,,,-366082.92747733975,-0.1307956565040067,,1393451.2772631925,,,2890065.6601819587,,,-1496614.3829187662,-0.5178478826756273,,1331325.3778121334,,,2809797.280292535,,,-1478471.9024804018,-0.5261845446467491,,5157585.81057878,0.41764086649156884,,2324106.036008705,,,3036649.6321751922,,,-712543.5961664873,-0.23464794509601786,,0,,,0,,,0,,,0,,,0,,,0,,,2324106.036008705,0.4935198422249405,,20055538.286629897,,,28455561.57939648,,,-8400023.292766582,-0.2951979446734483,,39594065.4640689,,,34383886.57907873,,,,2324106.036008705,0.4935198422249405,,0,0,,2324106.036008705,0.6375797845753316,
OTROS INGRESOS USD,0,,,6519.100151412741,,,-6519.100151412741,,,0,,,2.2142823155010047,,,-2.2142823155010047,,,0,,,9688.707548515982,,,-9688.707548515982,,,0,0,,0,,,17547.915126956213,,,-17547.915126956213,,,0,,,22793.980276592934,,,-22793.980276592934,,,0,,,1104.5447717914453,,,-1104.5447717914453,,,0,0,,0,,,14460.155721330988,,,-14460.155721330988,,,0,,,4090.2476728045367,,,-4090.2476728045367,,,0,,,14078.790830760767,,,-14078.790830760767,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,90285.65638248112,,,-90285.65638248112,,,0.009673625454196462,,,0.009673625454196462,,,,0,0,,0,0,,0,0,
TOTAL VENTAS USD,4732016.439629771,,,4508924.616561168,,,223091.8230686032,0.049477833860693134,,4402829.950101088,,,5033350.769063886,,,-630520.8189627993,-0.12526860294301803,,4155096.5871294383,,,5157777.85747309,,,-1002681.2703436528,-0.19440179434848476,,13289942.976860296,,,3809299.234473995,,,6225474.291609327,,,-2416175.057135333,-0.38811100069786564,,4972778.5474360455,,,5915931.832672217,,,-943153.2852361703,-0.1594259893306023,,5257516.351875089,,,6077232.74730396,,,-819716.3954288712,-0.13488316632146782,,14039594.133785129,,,4957955.863289418,,,6353874.894854691,,,-1395919.0315652732,-0.2196957061108766,,3566062.272350986,,,5994635.415681188,,,-2428573.1433302015,-0.40512441123231113,,3825314.08825225,,,5403348.494659031,,,-1578034.4064067812,-0.2920474975779551,,12349332.223892653,,,4709245.378120795,,,5838427.898247807,,,-1129182.520127012,-0.19340523507465007,,0,,,0,,,0,,,0,,,0,,,0,,,4709245.378120795,,,44388114.71265888,,,56508978.81812636,,,-12120864.105467485,-0.21449448138991095,,65328348.95780142,,,56021661.2452008,,,,4709245.378120795,1,,1064045.05616155,1,,3645200.3219592455,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,,,,,,,,,,,,
