UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.339361608740504,Unnamed: 122,Unnamed: 123,20,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,
,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,MTY RESORTES,,,,,,GUADALAJARA,,,MTY RESORTES,,,MTY RESORTES,,,GUADALAJARA,,,GUADALAJARA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,17751.669164723517,,,0,,,17751.669164723517,,,10583.5396075466,,,,,,10583.5396075466,,,1818.4721431009145,,,,,,1818.4721431009145,,,30153.68091537103,0.02665424518262959,,4795.711846969764,,,,,,4795.711846969764,,,5942.940372813869,,,,,,5942.940372813869,,,11669.796316678981,,,,,,11669.796316678981,,,22408.448536462613,0.012998149735532722,,19293.079009476718,,,,,,19293.079009476718,,,-6989.571853633548,,,,,,-6989.571853633548,,,10239.707466850345,,,,,,10239.707466850345,,,22543.214622693515,0.016118582867908657,,20299.654565661644,,,,,,20299.654565661644,,,0,,,0,,,0,,,0,,,0,,,0,,,20299.654565661644,0.028130843906148714,,95404.9986401888,,,0,,,95404.9986401888,,,110627.97818249962,,,84305.84108153207,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,
EMPAQUE USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,
PROD HOGAR USD,300146.4036844182,,,200000,,,100146.40368441818,0.5007320184220909,,303991.0758691814,,,200000,,,103991.07586918143,0.5199553793459071,,496998.83513075486,,,200000,,,296998.83513075486,1.4849941756537743,,1101136.3146843545,0.9733457548173704,,522916.4165747151,,,200000,,,322916.4165747151,1.6145820828735755,,758638.9522139087,,,200000,,,558638.9522139087,2.793194761069543,,420008.3627464501,,,200000,,,220008.36274645012,1.1000418137322505,,1701563.7315350738,0.9870018502644673,,346372.65379163646,,,200000,,,146372.65379163646,0.7318632689581823,,542566.0647299183,,,200000,,,342566.06472991826,1.7128303236495912,,487103.4640606139,,,200000,,,287103.4640606139,1.4355173203030693,,1376042.1825821686,0.9838814171320914,,701315.9014192988,,,250000,,,451315.90141929884,1.8052636056771953,,0,,,,,,0,,,0,,,,,,0,,,701315.9014192988,0.9718691560938513,,4880058.130220897,,,2050000,,,2830058.1302208966,1.3805161610833643,,2402343.338398474,,,1837386.6261216425,
OTROS INGRESOS USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,
TOTAL VENTAS USD,317898.0728491417,,,200000,,,117898.0728491417,0.5894903642457087,,314574.615476728,,,200000,,,114574.61547672802,0.57287307738364,,498817.3072738558,,,200000,,,298817.3072738558,1.494086536369279,,1131289.9955997255,,,527712.1284216848,,,200000,,,327712.1284216849,1.6385606421084242,,764581.8925867225,,,200000,,,564581.8925867225,2.8229094629336124,,431678.1590631291,,,200000,,,231678.1590631291,1.1583907953156456,,1723972.1800715365,,,365665.73280111316,,,200000,,,165665.7328011132,0.8283286640055658,,535576.4928762848,,,200000,,,335576.4928762847,1.6778824643814239,,497343.17152746423,,,200000,,,297343.17152746423,1.4867158576373212,,1398585.397204862,,,721615.5559849605,,,250000,,,471615.55598496046,1.886462223939842,,0,,,,,,0,,,0,,,,,,0,,,721615.5559849605,,,4975463.1288610855,,,2050000,,,2925463.1288610855,1.4270551848102857,,2512971.3165809736,,,1921692.4672031747,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,
