UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.382726809837095,Unnamed: 122,Unnamed: 123,19.999252507177484,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,18.327244620303098,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T2,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,
,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,RESULTADO,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,RESULTADO,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,OCOTLAN,,,,,,GUADALAJARA,,,OCOTLAN,,,OCOTLAN,,,GUADALAJARA,,,GUADALAJARA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,485573.0061310238,,,490543.2407622311,,,-4970.234631207306,-0.01013210297930984,,364648.5386946128,,,449130.7209982845,,,-84482.18230367173,-0.1881015445033305,,380955.2940525901,,,421246.7198915181,,,-40291.42583892803,-0.09564804646859709,,1231176.8388782267,0.6082427329271276,,371215.178036998,,,478551.52171429625,,,-107336.34367729822,-0.22429422707254482,,373311.1602566068,,,475003.0124137104,,,-101691.8521571036,-0.21408675208260294,,420848.278133159,,,442334.03164036846,,,-21485.753507209476,-0.04857359364263899,,1165374.6164267638,0.9844057113255309,,418505.62294439494,,,548669.0614053756,,,-130163.43846098066,-0.2372348791229025,,434526.12083496834,,,475166.6980575089,,,-40640.57722254057,-0.08552909408146672,,477169.68617679377,,,434413.7076435614,,,42755.97853323235,0.09842225919885991,,1330201.4299561572,0.9816807576634347,,534745.1524620138,,,476144.7880662114,,,58600.364395802375,0.1230725734367454,,,,,,,,,,,,,,,,,,,,534745.1524620138,0.9829480449978495,,4261498.037723161,,,4691203.502593066,,,-429705.46486990433,-0.09159812927160042,,4992931.816956847,,,4062441.370029061,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,,,0,,,0,,,0,
EMPAQUE USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,,,0,,,0,,,0,
PROD HOGAR USD,6850.745895461224,,,0,,,6850.745895461224,,,4121.02321226397,,,0,,,4121.02321226397,,,4651.521185077763,,,0,,,4651.521185077763,,,15623.290292802958,0.39175726707287256,,7942.8317579268005,,,,,,7942.8317579268005,,,5528.635846569505,,,,,,5528.635846569505,,,4989.60791891471,,,,,,4989.60791891471,,,18461.075523411015,0.015594288674469197,,9867.923806432565,,,,,,9867.923806432565,,,7605.68955021912,,,,,,7605.68955021912,,,7349.407937779485,,,,,,7349.407937779485,,,24823.02129443117,0.01831924233656547,,9276.63504068552,,,,,,9276.63504068552,,,,,,,,,,,,,,,,,,,,,9276.63504068552,0.01705195500215052,,68184.02215133066,,,0,,,68184.02215133066,,,188406.45769043898,,,172519.48475122266,
OTROS INGRESOS USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,175.33860057476335,,,-175.33860057476335,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,175.33860057476335,,,-175.33860057476335,,,0,,,0,
TOTAL VENTAS USD,492423.75202648505,,,490543.2407622311,,,1880.511264253918,0.0038335280317631066,,368769.56190687674,,,449130.7209982845,,,-80361.15909140775,-0.1789259904394621,,385606.8152376679,,,421246.7198915181,,,-35639.904653850266,-0.08460577369724906,,1246800.1291710297,,,379158.0097949248,,,478726.860314871,,,-99568.85051994618,-0.20798676400663457,,378839.7961031763,,,475003.0124137104,,,-96163.21631053409,-0.20244759253606465,,425837.8860520737,,,442334.03164036846,,,-16496.145588294767,-0.03729341268886737,,1183835.6919501747,,,428373.5467508275,,,548669.0614053756,,,-120295.5146545481,-0.21924967729439662,,442131.81038518745,,,475166.6980575089,,,-33034.88767232145,-0.0695227334057053,,484519.09411457326,,,434413.7076435614,,,50105.386471011836,0.11534025190596325,,1355024.4512505883,,,544021.7875026993,,,476144.7880662114,,,67876.9994364879,0.1425553763008934,,,,,,,,,,,,,,,,,,,,544021.7875026993,,,4329682.059874492,,,4691378.841193641,,,-361696.78131914843,-0.0770981823388881,,5181338.274647286,,,4234960.854780284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,
