UREBLOCK S.A. DE C.V.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,UREBLOCK S.A. DE C.V..1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Unnamed: 96
ESTADO DE RESULTADOS DE OCTUBRE DE 2025,,,,,,,,,,,,,,,,,,,ESTADO DE RESULTADOS DE OCTUBRE DE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL,7712455.380000001,,31612266.050000004,,148851.62,,168108.33,,5572.55,,,,39647253.93,,0,,,,VENTAS,,,21371159.279999997,,,,21371159.279999997,0.62599738073939,5734028.26,,35419797.619999975,,,,41153825.87999997,0.24890497423980554,19785326.46,,22825361.81,,0,,42610688.269999996,,373787.1,,15631,,0,,15631,,0,,4112767.6300000004,,570417.74,,0,,4683185.37,0.32861183618329115,54606359.35999999,,9102887.700000001,,0,,63709247.059999995,0.8322156864393275,17107096.89,,,,17107096.89,0.9389346194959285,10346667.180000007,,0,,10346667.180000007,0.9729827074591187,0,,429093.58,,0,,429093.58,0.005605126801924074,,241447635.54,,241447635.53999996,0,,
AUTOMOTRIZ,0,,0,,0,,0,,0,,,,0,,0,,,,,,,0,,,,0,0,107776.70000000001,,54412801.45999999,,,,54520578.16,0.32974924717871973,156478.67,,848632.2100000001,,0,,1005110.8800000001,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,,0,,0,,0,0,472696.08,,,,472696.08,0.025944245061911085,0,,0,,0,0,0,,1205478,,0,,1205478,0.01574681459212191,,57203863.12,,57203863.12,0,,
EMPAQUE,0,,400919.62000000005,,66196.54000000001,,50175.65,,33009175.459999997,,,,33526467.269999996,,0,,,,,,,0,,,,0,0,0,,0,,,,0,0,0,,651937.26,,0,,651937.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,195839.51,,2144175.7399999998,,0,,2340015.25,0.030566950441640404,525166.39,,,,525166.39,0.028824113625903498,0,,0,,0,0,0,,3439393.07,,0,,3439393.07,0.044927808705525075,,40482979.239999995,,40482979.239999995,0,,
PROD HOGAR,0,,943366.91,,0,,0,,2143477.4299999997,,,,3086844.34,,0,,,,,,,0,,,,0,0,0,,979940.19,,,,979940.19,0.005926836266929851,0,,44380906,,0,,44380906,,12913659.99,,499943.29999999993,,0,,499943.29999999993,,0,,0,,0,,0,,0,0,0,,2900826.16,,0,,2900826.16,0.0378926630809496,0,,,,0,0,170815.05000000002,,0,,170815.05000000002,0.01606315221436983,0,,0,,0,,0,0,,64932935.03,,64932935.029999994,0,,
"REB, DEV, DCTOS S/VTAS",-227055.6,,-1310802.24,,-5435.82,,-499.5,,-178496.72,,,,-1722289.8800000001,,0,,,,"REB, DEV, DCTOS S/VTAS",0,,-235141.21,,0,,-235141.21,-0.006887683519426322,0,,-6481832.19,,0,,-6481832.19,-0.039203166164503714,-349042.38,,-1586046.98,,0,,-1935089.3599999999,,,,0,,0,,0,,0,,-103389.65,,0,,0,,-103389.65,-0.007254690994400634,-2308301.7300000004,,-431713.58999999997,,0,,-2740015.3200000003,-0.03579203703726951,-340809.87,,0,,-340809.87,-0.018705580944944705,-500152.84,,0,,-500152.84,-0.047033509046008296,0,,,,0,,0,0,,-14058720.32,,-14058720.32,0,,
