UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.269308793174005,Unnamed: 122,Unnamed: 123,19.886566723130805,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T2,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,,,,OCT 25,,,,,,,,
,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,RESULTADO,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,RESULTADO,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,PUEBLA,,,,,,GUADALAJARA,,,PUEBLA,,,PUEBLA,,,GUADALAJARA,,,GUADALAJARA,,,,PUEBLA,,,PUE ESPUMA,,,PUE CORTE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,572526.8600954831,,,873703.0010350288,,,-301176.1409395457,-0.34471226558997575,,622072.4545636402,,,802772.5934312078,,,-180700.13886756764,-0.2250950522553588,,632068.6251957945,,,758224.6791378984,,,-126156.05394210387,-0.16638347103861528,,1826667.939854918,1,,562141.8172705333,,,866985.6931714452,,,-304843.87590091187,-0.35161350216263537,,666380.1949986041,,,867961.845363358,,,-201581.6503647539,-0.23224713326006288,,636656.5830933878,,,817359.1115996446,,,-180702.52850625687,-0.22108094953833196,,1865178.595362525,1,,746642.0233283668,,,1012963.6555456982,,,-266321.63221733144,-0.2629133145688826,,799916.9106980267,,,892456.2960262969,,,-92539.38532827026,-0.10369066333030107,,1073788.1067180277,,,832375.873487805,,,241412.23323022272,0.29002790796742095,,2620347.040744421,1,,1147856.2682194822,,,915972.7868018358,,,231883.4814176464,0.2531554264044012,,0,,,0,,,0,,,0,,,0,,,0,,,1147856.2682194822,1,,7460049.844181347,,,8640775.535600219,,,-1180725.6914188722,-0.13664580066387003,,8678734.811989374,,,7218901.088823762,,,,1147856.2682194822,1,,0,,,1147856.2682194822,1,0
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,,0,0,,0,,,0,0,
EMPAQUE USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,,0,0,,0,,,0,0,
PROD HOGAR USD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,80383.4229149374,,,80383.4229149374,,,,0,0,,0,,,0,0,
OTROS INGRESOS USD,0,,,6096.654502124558,,,-6096.654502124558,,,0,,,8682.886819432248,,,-8682.886819432248,,,0,,,3091.7047184170474,,,-3091.7047184170474,,,0,0,,0,,,6196.91040320237,,,-6196.91040320237,,,0,,,6187.795762818565,,,-6187.795762818565,,,0,,,4877.534169990566,,,-4877.534169990566,,,0,0,,0,,,1772.4121530824366,,,-1772.4121530824366,,,0,,,5456.9363263207315,,,-5456.9363263207315,,,0,,,3462.139636237739,,,-3462.139636237739,,,0,0,,0,,,3462.139636237739,,,-3462.139636237739,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,49287.114127864006,,,-49287.114127864006,,,0,,,-37008.79876045595,,,,0,0,,0,,,0,0,
TOTAL VENTAS USD,572526.8600954831,,,879799.6555371534,,,-307272.7954416703,-0.34925314360809534,,622072.4545636402,,,811455.4802506401,,,-189383.0256869999,-0.23338683427032103,,632068.6251957945,,,761316.3838563154,,,-129247.75866052092,-0.16976878654028027,,1826667.939854918,,,562141.8172705333,,,873182.6035746476,,,-311040.7863041142,-0.3562150517323307,,666380.1949986041,,,874149.6411261766,,,-207769.44612757248,-0.23768178393335584,,636656.5830933878,,,822236.6457696352,,,-185580.06267624744,-0.22570152234280388,,1865178.595362525,,,746642.0233283668,,,1014736.0676987807,,,-268094.0443704139,-0.2642007640256621,,799916.9106980267,,,897913.2323526177,,,-97996.321654591,-0.10913785221522058,,1073788.1067180277,,,835838.0131240428,,,237950.093593985,0.28468446021570437,,2620347.040744421,,,1147856.2682194822,,,919434.9264380735,,,228421.34178140867,0.24843665953209082,,0,,,0,,,0,,,0,,,0,,,0,,,1147856.2682194822,,,7460049.844181347,,,8690062.649728082,,,-1230012.805546736,-0.14154245546034394,,8759118.234904312,,,7262275.712978243,,,,1147856.2682194822,1,,0,1,,1147856.2682194822,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,,,,,,,,,,,,
