UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.269308793174005,Unnamed: 122,Unnamed: 123,17.8793697225565,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,RESULTADO,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,RESULTADO,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,RESULTADO,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,RESULTADO,,,PUE CORTE,,,PUE CORTE,,,PUE CORTE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,572526.8600954831,,,849790.2373816207,,,-277263.37728613755,-0.3262727260087658,,622072.4545636402,,,,,,622072.4545636402,,,632068.6251957945,,,,,,632068.6251957945,,,1826667.939854918,,,562141.8172705333,,,,,,562141.8172705333,,,666380.1949986041,,,,,,666380.1949986041,,,636656.5830933878,,,,,,636656.5830933878,,,1865178.595362525,,,746642.0233283668,,,,,,746642.0233283668,,,799916.9106980267,,,,,,799916.9106980267,,,1073788.1067180277,,,,,,1073788.1067180277,,,2620347.040744421,,,1147856.2682194822,,,,,,1147856.2682194822,,,,,,,,,,,,,,,,,,,,,1147856.2682194822,,,7460049.844181347,,,849790.2373816207,,,6610259.606799726,7.778695631015134,,,,,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
EMPAQUE USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
PROD HOGAR USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
OTROS INGRESOS USD,0,,,5733.447749827263,,,-5733.447749827263,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,5733.447749827263,,,-5733.447749827263,,,,,,
TOTAL VENTAS USD,572526.8600954831,,,855523.685131448,,,-282996.82503596484,-0.33078783200781103,,622072.4545636402,,,,,,622072.4545636402,,,632068.6251957945,,,,,,632068.6251957945,,,1826667.939854918,,,562141.8172705333,,,,,,562141.8172705333,,,666380.1949986041,,,,,,666380.1949986041,,,636656.5830933878,,,,,,636656.5830933878,,,1865178.595362525,,,746642.0233283668,,,,,,746642.0233283668,,,799916.9106980267,,,,,,799916.9106980267,,,1073788.1067180277,,,,,,1073788.1067180277,,,2620347.040744421,,,1147856.2682194822,,,,,,1147856.2682194822,,,,,,,,,,,,,,,,,,,,,1147856.2682194822,,,7460049.844181347,,,855523.685131448,,,6604526.159049899,7.719863603817278,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
TRADICIONAL,11773654.74,1,,15296224.272869172,0.9932983179198056,,-3522569.5328691714,-0.23029013369770823,,12727562.429999994,1,,,,,12727562.429999994,,,12877922.08,1,,,,,12877922.08,,,37379139.24999999,1,,11298018.06,1,,,,,11298018.06,,,12972734.950000001,1,,,,,12972734.950000001,,,12141225.670000002,1,,,,,12141225.670000002,,,36411978.68000001,1,,13950379.99,1,,,,,13950379.99,,,14980477.49,1,,,,,14980477.49,,,19892010.580000002,1,,,,,19892010.580000002,,,48822868.06,1,,21136018.069999997,1,,,,,21136018.069999997,,,,,,,,,,,,,,,,,,,,,21136018.069999997,1,,143750004.06,1,,15296224.272869172,1,,128453779.78713083,8.397744273073231,,,,,
AUTOMOTRIZ,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
EMPAQUE,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
PROD HOGAR,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
OTROS INGRESOS,,0,,103202.05949689072,0.006701682080194355,,-103202.05949689072,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,0,,0,,,,,,
TOTAL VENTAS,11773654.74,,,15399426.332366062,,,-3625771.592366062,-0.2354484845156551,,12727562.429999994,,,,,,12727562.429999994,,,12877922.08,,,,,,12877922.08,,,37379139.24999999,,,11298018.06,,,,,,11298018.06,,,12972734.950000001,,,,,,12972734.950000001,,,12141225.670000002,,,,,,12141225.670000002,,,36411978.68000001,,,13950379.99,,,,,,13950379.99,,,14980477.49,,,,,,14980477.49,,,19892010.580000002,,,,,,19892010.580000002,,,48822868.06,,,21136018.069999997,,,,,,21136018.069999997,,,,,,,,,,,,,,,,,,,,,21136018.069999997,,,143750004.06,,,15296224.272869172,,,128453779.78713083,8.397744273073231,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,229540.5700000001,0.019123288763681717,,0,0,,229540.5700000001,,,136034.95,0.010575187172097272,,,,,136034.95,,,76822.87,0.005930095134756011,,,,,76822.87,,,442398.39000000013,0.011696996410112114,,51949.92000000001,0.004577098375214977,,,,,51949.92000000001,,,85995.72999999998,0.006585305425718449,,,,,85995.72999999998,,,85115.93,0.006961684270297174,,,,,85115.93,,,223061.58,0.006088749416321781,,46369.759999999995,0.003312894838317731,,,,,46369.759999999995,,,114859.44999999998,0.007608935822799858,,,,,114859.44999999998,,,80101.58000000002,0.0040106714481819745,,,,,80101.58000000002,,,241330.78999999998,0.004918673812198606,,119831.43999999999,0.005637574727070977,,,,,119831.43999999999,,,,,,,,,,,,,,,,,,,,,119831.43999999999,0.005637574727070977,,1026622.2000000002,0.00709107696815866,,0,0,,1026622.2000000002,,,,,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VENTAS C/TRANSFERENC,12003195.31,,,15399426.332366062,,,-3396231.022366062,-0.22054269743983665,,12863597.379999993,,,,,,12863597.379999993,,,12954744.95,,,,,,12954744.95,,,37821537.63999999,,,11349967.98,,,,,,11349967.98,,,13058730.680000002,,,,,,13058730.680000002,,,12226341.600000001,,,,,,12226341.600000001,,,36635040.260000005,,,13996749.75,,,,,,13996749.75,,,15095336.94,,,,,,15095336.94,,,19972112.16,,,,,,19972112.16,,,49064198.85,,,21255849.509999998,,,,,,21255849.509999998,,,,,,,,,,,,,,,,,,,,,21255849.509999998,,,144776626.26,1,,15296224.272869172,1,,129480401.98713084,8.464860326138751,,,,,
,0.019793188732064006,,,,,,,,,0.023983426226177693,,,,,,,,,0.022364509367702207,,,,,,,,,0.1869463321454706,,,0.020297234097206428,,,,,,,,,0.023181416637860035,,,,,,,,,0.024080510593676278,,,,,,,,,0.1869463321454706,,,0.023458155189855067,,,,,,,,,0.02983098988335626,,,,,,,,,0.03778713084966355,,,,,,,,,0.1869463321454706,,,0.03365753307114381,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869463321454706,,,,,,,,,,,,,,,
INVENTARIO INICIAL,1602468.13,,,,,,,,,1509597.9,,,,,,,,,1488904.58,,,,,,,,,1602468.13,,,1416305.52,,,,,,,,,2034762.48,,,,,,,,,1911139.98,,,,,,,,,1416305.52,,,2429535.47,,,,,,,,,1766195.85,,,,,,,,,2334294.21,,,,,,,,,2429535.47,,,2503625.17,,,,,,,,,,,,,,,,,,,,,,,,,,,2503625.17,,,,,,,,,,,,,,,
(+) COMPRAS,9860.76,,,,,,,,,4610.22,,,,,,,,,4594.2,,,,,,,,,19065.18,,,4761.9,,,,,,,,,4839.89,,,,,,,,,2249.08,,,,,,,,,11850.869999999999,,,15389.99,,,,,,,,,136845.72,,,,,,,,,4056,,,,,,,,,156291.71,,,275516.46,,,,,,,,,,,,,,,,,,,,,,,,,,,275516.46,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS RECIBIDAS,8799409.17000002,,,,,,,,,9656178.369999945,,,,,,,,,9811069.840000032,,,,,,,,,28266657.38,,,8320056.170000003,,,,,,,,,8922879.419999985,,,,,,,,,8621931.419999989,,,,,,,,,25864867.009999976,,,9669173.750000013,,,,,,,,,10631850.660000049,,,,,,,,,13400899.999999942,,,,,,,,,33701924.410000004,,,13361306.459999962,,,,,,,,,,,,,,,,,,,,,,,,,,,13361306.459999962,,,,,,,,,,,,,,,
(--) INVENTARIO FINAL,1509597.9,,,,,,,,,1488904.58,,,,,,,,,1416305.52,,,,,,,,,1416305.52,,,2034762.48,,,,,,,,,1911139.98,,,,,,,,,2429535.47,,,,,,,,,2429535.47,,,1766195.85,,,,,,,,,2266348.26,,,,,,,,,2503625.17,,,,,,,,,2503625.17,,,1494829.62,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
