Unnamed: 0,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,Unnamed: 10,TOTAL,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
GUADALAJARA,,,,,,,,,,,,,,,,
VENTAS,,,,,,,,,-55593248.14196218,,,,,,,
TRANSFERENCIAS,31452225.349999994,17036407.292346597,-4028808.912346594,27031603.47999999,16446444.06192422,-5492989.131924227,33609138.7,16314311.689426042,171056.16057396308,,132539388.68999997,,,,,
RECEPCIONES,6371247.8100000005,0,1917532.4499999997,4566185.0600000005,0,1754333.77,5143618.890000001,0,1650056.1700000002,,21402974.150000002,,,,,
,,,,,,,,,,,,,,,,
ALMACEN VALLARTA,,,,,,,,,,,,,,,,
VENTAS,37076630.975,58007934.59477172,-20931303.619771723,30461149.729999997,0,30461149.729999997,32895733.038750008,0,32895733.038750008,,200867027.4875,,,,,
TRANSFERENCIAS,1917532.4499999997,0,1917532.4499999997,1754333.77,0,1754333.77,1650056.1700000002,0,1650056.1700000002,,10643844.78,,,,,
RECEPCIONES,18444626.96999999,0,0,16078148.549999995,0,0,17123770.849999998,0,0,,51646546.36999999,,,,,
,,,,,,,,,,,,,,,,
HACIENDA SAN JOSE,,,,,,,,,,,,,,,,
VENTAS,0,0,0,0,0,0,0,0,0,,0,,,,,
TRANSFERENCIAS,0,0,0,0,0,0,0,0,0,,0,,,,,
RECEPCIONES,0,0,0,0,0,0,0,0,0,,0,,,,,
,,,,,,,,,,,,,,,,
PUEBLA,,,,,,,,,,,,,,,,
VENTAS,11773654.74,17474060.020700578,-5700405.280700577,12727562.429999994,16055451.868624156,-3327889.438624162,12877922.08,15164493.582757968,-2286571.5027579684,,74758278.49999999,,,,,
TRANSFERENCIAS,179143.0300000001,14548.372262867704,164594.6577371324,116856.81,13418.232579578304,103438.5774204217,0,12589.132187599762,-12589.132187599762,,591999.6800000002,,,,,
RECEPCIONES,369000.51999999984,0,0,577025.1799999999,0,0,556737.1,0,0,,1502762.7999999998,,,,,
,,,,,,,,,,,,,,,,
LEON,,,,,,,,,,,,,,,,
VENTAS,90671309.05551405,106675686.75946182,-16004377.703947758,78657616.86000001,97265687.6725555,-18608070.81255549,88843183.80224076,97299433.03742592,-8456249.235185176,,516344219.4355097,,,,,
TRANSFERENCIAS,4861257.979999999,5815127.563434074,-953869.5834340751,3202073.5100000002,5300978.402786936,-2098904.8927869354,2977305.410000002,5302259.680497676,-2324954.270497674,,22081273.800000004,,,,,
RECEPCIONES,2478377.2500000005,0,0,2069794.9900000002,0,0,1912192.6100000006,0,0,,6460364.850000001,,,,,
,,,,,,,,,,,,,,,,
MONTERREY TELAS,,,,,,,,,,,,,,,,
VENTAS,71188.98999999999,0,71188.98999999999,870726.54,0,870726.54,84800.9,0,84800.9,,2053432.8599999999,,,,,
TRANSFERENCIAS,3384345.2299999995,2220471.3998227925,1163873.830177207,181618.44,2134416.4413699685,-1952798.0013699685,1955321.6400000001,1899159.5668984463,56162.07310155383,,11042570.620000001,,,,,
RECEPCIONES,42572.17,0,0,27435.74,0,0,1808.4,0,0,,71816.31,,,,,
,,,,,,,,,,,,,,,,
MONTERREY 2,,,,,,,,,,,,,,,,
VENTAS,97310941.49000001,90048110.3281951,7262831.161804913,90081617.74000001,100666971.09563142,-10585353.355631433,84656962.79,102961782.9984915,-18304820.208491493,,544099044.0400001,,,,,
TRANSFERENCIAS,2761801.6100000003,2044286.3799897826,38837797.50001022,1120620.08,8155545.734238783,5304430.1257612165,8909725.48,6630558.249243608,-626782.4992436082,,73137982.66,,,,,
RECEPCIONES,66474736.71999999,36735910.35,50819062.89,51393342.910000004,45652001.3,63505136.41,76079832.09,67303692.82,0,,457963715.48999995,,,,,
,,,,,,,,,,,,,,,,
MONTERREY 3 (Resortes),,,,,,,,,,,,,,,,
VENTAS,6537373.899999999,4000000,2537373.8999999994,6436176.41,4000000,2436176.41,10163026.86,4000000,6163026.859999999,,46273154.339999996,,,,,
