UREBLOCK S.A. DE C.V.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,UREBLOCK S.A. DE C.V..1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
ESTADO DE RESULTADOS DE SEPTIEMBRE DE 2025,,,,,,,,,,,,,,,,,,,ESTADO DE RESULTADOS DE SEPTIEMBRE DE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL,4614691.559999999,,26129486.7,,162306.42999999996,,185090.4,,18043.28,,,,31109618.369999997,,0,,,,VENTAS,0,,20075265.12,,0,,20075265.12,0.6121702454347633,5358154.9399999995,,32243911.62,,0,,37602066.56,0.2518536341413143,22093724.189999998,,22261291.29,,0,,44355015.48,,189691.4,,16542.25,,0,,16542.25,,0,,4161555.6200000015,,23129.94,,0,,4184685.5600000015,0.3844502577303357,50181305.45999999,,6285187.25,,0,,56466492.70999999,0.8551924357640219,16011915.11,,,,16011915.11,0.9395485744188873,9595322.069999998,,0,,9595322.069999998,1.0200952996217858,0,,591584.48,,0,,591584.48,0.008959624515899782,,220198199.10999998,,220198199.11,0,105309331.24,
AUTOMOTRIZ,0,,0,,0,,0,,0,,,,0,,0,,,,,0,,0,,0,,0,0,372614.43000000005,,46489781.24999999,,0,,46862395.67999999,0.31387808533723904,159349.96,,682153.8400000001,,0,,841503.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,,0,,0,,0,0,743948.76,,,,743948.76,0.04365349129675088,0,,0,,0,0,0,,1096601.34,,0,,1096601.34,0.016608171076483536,,49544449.57999999,,49544449.58,0,22249875.740000002,
EMPAQUE,3496448.79,,299717.06999999995,,428408.72000000003,,7616.59,,31970505.610000003,,,,36202696.78,,0,,,,,0,,0,,0,,0,0,0,,0,,0,,0,0,0,,1040961.83,,0,,1040961.83,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,328939.89,,2294273.78,,0,,2623213.67,0.03972891497791734,271728.42,,,,271728.42,0.015944504319826903,0,,0,,0,0,0,,1915493.38,,0,,1915493.38,0.029010398392283275,,42054094.080000006,,42054094.080000006,0,18352279.55,
PROD HOGAR,0,,580701.03,,0,,0,,1224895.84,,,,1805596.87,,0,,,,,0,,0,,0,,0,0,0,,272431.98,,0,,272431.98,0.0018247131207491229,0,,25325980.08,,0,,25325980.08,,9007478.94,,87538.81999999999,,0,,87538.81999999999,,0,,0,,503655.58,,0,,503655.58,0.04627122271483682,0,,2352883.73,,0,,2352883.73,0.03563473259198707,0,,,,0,0,136148.37,,0,,136148.37,0.014474168899696743,0,,0,,0,,0,0,,39491714.36999999,,39491714.37,0,28214697.980000004,
"REB, DEV, DCTOS S/VTAS",-110482.46,,-1042512.09,,-682.05,,-5416.6,,-307180.34,,0,,-1466273.5400000003,,0,,,,"REB, DEV, DCTOS S/VTAS",0,,-183254.54,,0,,-183254.54,-0.005588119312908713,0,,-3791511.05,,0,,-3791511.05,-0.025395036076162145,-36140.73,,-663070.95,,0,,-699211.6799999999,,16151.7,,0,,0,,0,,0,,-158306.17,,0,,0,,-158306.17,-0.014543708716982387,-1836888.97,,-459090.48,,0,,-2295979.45,-0.03477290981031501,-415770.84,,0,,-415770.84,-0.024396638211189176,-755715.46,,0,,-755715.46,-0.0803414187636034,0,,0,,0,,0,0,,-9749871.030000001,,-9749871.03,0,,
