UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.422780776721552,Unnamed: 122,Unnamed: 123,19.99607645352084,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T2,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene-Oct,,,,OCT 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,RESULTADO,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,RESULTADO,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,TECATE,,,,,,GUADALAJARA,,,TECATE,,,TECATE,,,GUADALAJARA,,,GUADALAJARA,,,,TECATE,,,TKT ESPUMA,,,TKT ENSAMBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,2898804.342885558,,,3901694.0413029147,,,-1002889.6984173567,-0.2570395545629344,,2660350.5851680175,,,3576171.1257990017,,,-915820.5406309841,-0.2560896859840196,,2986917.166020372,,,3361375.8947013235,,,-374458.7286809515,-0.11140043256430392,,8546072.094073948,0.9152009919102887,,2897142.560456187,,,3826315.4673134405,,,-929172.9068572535,-0.24283750641962903,,2537792.7039363445,,,3808058.976527556,,,-1270266.2725912114,-0.3335731616608327,,2695737.6159670358,,,3558576.001591865,,,-862838.3856248292,-0.24246731986020645,,8130672.880359568,0.9039682014493309,,3139067.5572030134,,,4412832.321178755,,,-1273764.7639757413,-0.288650161906785,,2581963.6355149173,,,3842424.9777192594,,,-1260461.3422043421,-0.3280379836986464,,2948953.728674855,,,3535365.4629148385,,,-586411.7342399834,-0.16587018807286152,,8669984.921392785,0.9231811114857861,,3334566.6027641813,,,3868508.9994455785,,,-533942.3966813972,-0.13802278778669508,,0,,,0,,,0,,,0,,,0,,,0,,,3334566.6027641813,0.9273656168736615,,28681296.498590484,,,37691323.26849453,,,-9010026.769904047,-0.23904776984668402,,39488865.148151144,,,34298467.54507694,,,,3334566.6027641813,0.9273656168736615,,2840206.3750837445,0.9962692899428347,,494360.2276804369,0.6636607530672829,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMOTRIZ USD,0,,,0,,,0,,,13522.036621397014,,,0,,,13522.036621397014,,,0,,,0,,,0,,,13522.036621397014,0.0014480782741267985,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,13522.036621397014,,,0,,,13522.036621397014,,,5569.673408973704,,,5569.673408973704,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPAQUE USD,127478.0266370508,,,198002.6933647087,,,-70524.66672765791,-0.3561803404247428,,142897.20020765328,,,143562.3599934168,,,-665.1597857635061,-0.004633246387103191,,186849.89105527662,,,196406.61059204943,,,-9556.719536772813,-0.04865783034473724,,457225.1178999807,0.04896435190600912,,151807.96122498089,,,219522.73463198732,,,-67714.77340700643,-0.30846360182477206,,168330.69680351758,,,221461.9899867348,,,-53131.29318321723,-0.23991156760760482,,163218.2782747404,,,253693.01201758956,,,-90474.73374284914,-0.35663076812133937,,483356.93630323885,0.053739623620028674,,177150.4515813808,,,184600.2700057032,,,-7449.81842432241,-0.040356487149733035,,158645.29953985315,,,230291.31986454234,,,-71646.02032468919,-0.31111038126331236,,141603.3652756155,,,181167.82096227,,,-39564.45568665449,-0.21838566847306828,,477399.11639684945,0.05083351942286602,,127081.70306942206,,,136348.81265139903,,,-9267.109581976969,-0.06796619201716153,,0,,,0,,,0,,,0,,,0,,,0,,,127081.70306942206,0.03534228462032745,,1545062.8736694914,,,1965057.624070401,,,-419994.7504009097,-0.21373151873833435,,1551039.0978073422,,,1279272.778535692,,,,127081.70306942206,0.03534228462032745,,10635.665070593499,0.003730710057165324,,116446.03799882856,0.15632460085352898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD HOGAR USD,86460.7267972872,,,2164200.061770692,,,-2077739.3349734049,-0.960049568279493,,149072.4732761694,,,1710775.6705499461,,,-1561703.1972737769,-0.9128626412905156,,85565.85519562768,,,2593678.4766653418,,,-2508112.621469714,-0.9670098449112172,,321099.0552690843,0.034386577909575465,,130832.5609852575,,,2103364.8619147567,,,-1972532.3009294993,-0.9377984469769279,,120470.25484203179,,,1709430.206669468,,,-1588959.9518274362,-0.9295260757812702,,129090.91838666324,,,1680368.7264533502,,,-1551277.8080666868,-0.9231770287351589,,380393.73421395256,0.0422921749306405,,57758.31482245612,,,1701799.672171317,,,-1644041.357348861,-0.966060450141724,,84052.68109518877,,,1655034.9440341014,,,-1570982.2629389127,-0.9492139538212331,,102228.61385753799,,,1626646.8423413604,,,-1524418.2284838224,-0.9371537747490462,,244039.60977518288,0.025985369091347715,,134092.72886820615,,,1626646.8423413604,,,-1492554.1134731541,-0.9175649407248128,,0,,,0,,,0,,,0,,,0,,,0,,,134092.72886820615,0.0372920985060111,,1079625.1281264257,,,18571946.304911695,,,-17492321.176785268,-0.9418679598572337,,44587771.29226615,,,42948656.18805871,,,,134092.72886820615,0.0372920985060111,,0,0,,134092.72886820615,0.18001464607918807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTROS INGRESOS USD,0,,,2463.151660088693,,,-2463.151660088693,,,0,,,1049.0985443638763,,,-1049.0985443638763,,,0,,,1208.3547374429227,,,-1208.3547374429227,,,0,0,,0,,,902.6419693304572,,,-902.6419693304572,,,0,,,1494.9589617093673,,,-1494.9589617093673,,,0,,,949.7362713579186,,,-949.7362713579186,,,0,0,,0,,,665.3672055393166,,,-665.3672055393166,,,0,,,1642.70416583941,,,-1642.70416583941,,,0,,,1049.305280950934,,,-1049.305280950934,,,0,0,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,11425.318796622894,,,-11425.318796622894,,,0,,,-7743.764259791171,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VENTAS USD,3112743.096319896,,,6266359.948098404,,,-3153616.8517785086,-0.5032613635186258,,2965842.2952732374,,,5431558.254886729,,,-2465715.9596134913,-0.45396106308813067,,3259332.912271276,,,6152669.336696158,,,-2893336.4244248816,-0.4702570975443542,,9337918.303864408,,,3179783.0826664255,,,6150105.705829515,,,-2970322.62316309,-0.48297098704297114,,2826593.655581894,,,5740446.132145468,,,-2913852.4765635743,-0.5076003518692603,,2988046.8126284396,,,5493587.476334163,,,-2505540.6637057234,-0.4560846030939431,,8994423.550876759,,,3373976.3236068506,,,6299897.6305613145,,,-2925921.306954464,-0.46443950021673086,,2824661.6161499596,,,5729393.945783743,,,-2904732.3296337835,-0.5069877123341071,,3192785.7078080084,,,5344229.43149942,,,-2151443.7236914113,-0.40257323366594033,,9391423.64756482,,,3595741.0347018093,,,5631504.654438338,,,-2035763.6197365285,-0.36149550513681805,,0,,,0,,,0,,,0,,,0,,,0,,,3595741.0347018093,,,31319506.537007794,,,58239752.516273245,,,-26920245.97926545,-0.4622314624661814,,85633245.21163361,,,78524222.42082053,,,,3595741.0347018093,1,,2850842.040154338,1,,744898.9945474716,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
