UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.426630343511174,Unnamed: 122,Unnamed: 123,17.999414480557512,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,RESULTADO,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,RESULTADO,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,RESULTADO,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,RESULTADO,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,TKT ENSAMBLE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,380444.51212596806,,,972476.1759656591,,,-592031.6638396911,-0.6087878330302637,,390665.63461482746,,,,,,390665.63461482746,,,398884.92188013834,,,,,,398884.92188013834,,,1169995.068620934,0.6191638159177344,,431409.7346208584,,,,,,431409.7346208584,,,369740.8140296924,,,,,,369740.8140296924,,,328507.40130328375,,,,,,328507.40130328375,,,1129657.9499538345,0.5903209233704981,,467412.02852510917,,,,,,467412.02852510917,,,421082.73777555156,,,,,,421082.73777555156,,,339279.8978465949,,,,,,339279.8978465949,,,1227774.6641472557,0.6535957293650789,,494360.2276804369,,,,,,494360.2276804369,,,,,,,,,,,,,,,,,,,,,494360.2276804369,0.6636607530672829,,4021787.9104024614,,,972476.1759656591,,,3049311.7344368026,-0.9753043402224748,,,,,
AUTOMOTRIZ USD,0,,,0,,,0,,,13522.036621397014,,,,,,13522.036621397014,,,0,,,,,,0,,,13522.036621397014,0.007155889813580127,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,13522.036621397014,,,0,,,13522.036621397014,-0.004324943513173327,,,,,
EMPAQUE USD,100650.07693387642,,,273213.2668797493,,,-172563.18994587287,-0.6316061877837871,,133076.16543970435,,,,,,133076.16543970435,,,151294.94112992968,,,,,,151294.94112992968,,,385021.1835035105,0.203754008526024,,101795.26785946774,,,,,,101795.26785946774,,,149090.80053323042,,,,,,149090.80053323042,,,152695.84101762477,,,,,,152695.84101762477,,,403581.9094103229,0.2108982151884708,,155552.78263977251,,,,,,155552.78263977251,,,127278.52316184994,,,,,,127278.52316184994,,,123846.90268544047,,,,,,123846.90268544047,,,406678.20848706295,0.2164917945082355,,116446.03799882856,,,,,,116446.03799882856,,,,,,,,,,,,,,,,,,,,,116446.03799882856,0.15632460085352898,,1311727.339399725,,,273213.2668797493,,,1038514.0725199757,-0.3321625896336648,,,,,
PROD HOGAR USD,86460.7267972872,,,8307185.516673614,,,-8220724.789876327,-0.9895920553810013,,149072.4732761694,,,,,,149072.4732761694,,,85565.85519562768,,,,,,85565.85519562768,,,321099.0552690843,0.16992628574266155,,130832.5609852575,,,,,,130832.5609852575,,,120470.25484203179,,,,,,120470.25484203179,,,129090.91838666324,,,,,,129090.91838666324,,,380393.73421395256,0.19878086144103102,,57758.31482245612,,,,,,57758.31482245612,,,84052.68109518877,,,,,,84052.68109518877,,,102228.61385753799,,,,,,102228.61385753799,,,244039.60977518288,0.1299124761266857,,134092.72886820615,,,,,,134092.72886820615,,,,,,,,,,,,,,,,,,,,,134092.72886820615,0.18001464607918807,,1079625.1281264257,,,8307185.516673614,,,-7227560.388547189,2.311692483442349,,,,,
OTROS INGRESOS USD,0,,,310.74492143241275,,,-310.74492143241275,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,310.74492143241275,,,-310.74492143241275,9.938992696366619e-05,,,,,
TOTAL VENTAS USD,567555.3158571317,,,9553185.704440456,,,-8985630.388583323,-0.9405899420971872,,686336.3099520982,,,,,,686336.3099520982,,,635745.7182056956,,,,,,635745.7182056956,,,1889637.3440149256,,,664037.5634655836,,,,,,664037.5634655836,,,639301.8694049546,,,,,,639301.8694049546,,,610294.1607075718,,,,,,610294.1607075718,,,1913633.59357811,,,680723.1259873378,,,,,,680723.1259873378,,,632413.9420325903,,,,,,632413.9420325903,,,565355.4143895734,,,,,,565355.4143895734,,,1878492.4824095014,,,744898.9945474716,,,,,,744898.9945474716,,,,,,,,,,,,,,,,,,,,,744898.9945474716,,,6426662.414550009,,,9553185.704440456,,,-3126523.289890446,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
