UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.421786922179358,Unnamed: 122,Unnamed: 123,17.994290920186685,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
ESTADOS DE RESULTADOS 2025,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 25 PPTO,,,JUN 25 DELTA,,,T1,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T1,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T1,,,2025,,,2025 PPTO,,,2025 DELTA,,,,,,
,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,RESULTADO,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,RESULTADO,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,RESULTADO,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,RESULTADO,,,TKT ESPUMA,,,TKT ESPUMA,,,TKT ESPUMA,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAL USD,2518359.83075959,,,2827200.9654527595,,,-308841.1346931695,-0.10923918690856503,,2269684.95055319,,,,,,2269684.95055319,,,2588032.2441402334,,,,,,2588032.2441402334,,,7376077.025453014,0.990305959887162,,2465732.8258353285,,,,,,2465732.8258353285,,,2168051.8899066523,,,,,,2168051.8899066523,,,2367230.214663752,,,,,,2367230.214663752,,,7001014.930405732,0.988733597893172,,2671655.528677904,,,,,,2671655.528677904,,,2160880.8977393657,,,,,,2160880.8977393657,,,2609673.83082826,,,,,,2609673.83082826,,,7442210.25724553,0.9905867754734945,,2840206.3750837445,,,,,,2840206.3750837445,,,,,,,,,,,,,,,,,,,,,2840206.3750837445,0.9962692899428347,,24659508.588188022,,,2827200.9654527595,,,21832307.622735262,7.722234071619647,,,,,
AUTOMOTRIZ USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,,,0,,,,,,
EMPAQUE USD,26827.94970317438,,,0,,,26827.94970317438,,,9821.034767948933,,,,,,9821.034767948933,,,35554.94992534693,,,,,,35554.94992534693,,,72203.93439647026,0.009694040112838248,,50012.69336551316,,,,,,50012.69336551316,,,19239.896270287158,,,,,,19239.896270287158,,,10522.43725711565,,,,,,10522.43725711565,,,79775.02689291596,0.01126640210682799,,21597.668941608295,,,,,,21597.668941608295,,,31366.77637800321,,,,,,31366.77637800321,,,17756.462590175048,,,,,,17756.462590175048,,,70720.90790978656,0.009413224526505365,,10635.665070593499,,,,,,10635.665070593499,,,,,,,,,,,,,,,,,,,,,10635.665070593499,0.003730710057165324,,233335.53426976624,,,0,,,233335.53426976624,,,,,,
PROD HOGAR USD,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,0,,,0,,,,,,
OTROS INGRESOS USD,0,,,896.9699268489401,,,-896.9699268489401,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,896.9699268489401,,,-896.9699268489401,,,,,,
TOTAL VENTAS USD,2545187.780462764,,,2828097.9353796085,,,-282910.15491684404,-0.10003548723600691,,2279505.985321139,,,,,,2279505.985321139,,,2623587.19406558,,,,,,2623587.19406558,,,7448280.959849483,,,2515745.519200842,,,,,,2515745.519200842,,,2187291.7861769395,,,,,,2187291.7861769395,,,2377752.6519208676,,,,,,2377752.6519208676,,,7080789.957298649,,,2693253.197619512,,,,,,2693253.197619512,,,2192247.674117369,,,,,,2192247.674117369,,,2627430.2934184354,,,,,,2627430.2934184354,,,7512931.165155318,,,2850842.040154338,,,,,,2850842.040154338,,,,,,,,,,,,,,,,,,,,,2850842.040154338,,,24892844.122457787,,,2828097.9353796085,,,22064746.187078178,7.801973867682373,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
