UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,19.42021260175438,Unnamed: 122,Unnamed: 123,19.875594331086276,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,19.42021260175438.1,Unnamed: 138,Unnamed: 139,,Unnamed: 141,Unnamed: 142,0,Unnamed: 144,Unnamed: 145,nan.1,Unnamed: 147,Unnamed: 148,nan.2,Unnamed: 150,Unnamed: 151,nan.3,Unnamed: 153,Unnamed: 154,nan.4,Unnamed: 156,Unnamed: 157,nan.5,Unnamed: 159,Unnamed: 160,nan.6,Unnamed: 162,Unnamed: 163,nan.7,Unnamed: 165,Unnamed: 166,nan.8,Unnamed: 168,Unnamed: 169,nan.9,Unnamed: 171,Unnamed: 172,nan.10,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217
GENERAO,ENE 25,,,ENE 25 PPTO,,,ENE 25 DELTA,,,FEB 25,,,FEB 25 PPTO,,,FEB 25 DELTA,,,MZO 25,,,MZO 25 PPTO,,,MZO 25 DELTA,,,T1,,,ABR 25,,,ABR 25 PPTO,,,ABR 25 DELTA,,,MAY 25,,,MAY 25 PPTO,,,MAY 25 DELTA,,,JUN 25,,,JUN 24 PPTO,,,JUN 24 DELTA,,,T2,,,JUL 25,,,JUL 25 PPTO,,,JUL 25 DELTA,,,AGO 25,,,AGO 25 PPTO,,,AGO 25 DELTA,,,SEP 25,,,SEP 25 PPTO,,,SEP 25 DELTA,,,T3,,,OCT 25,,,OCT 25 PPTO,,,OCT 25 DELTA,,,NOV 25,,,NOV 25 PPTO,,,NOV 25 DELTA,,,DIC 25,,,DIC 25 PPTO,,,DIC 25 DELTA,,,T3,,,2025,,,2025 PPTO,,,2025 DELTA,,,2024,,,2024 Ene - Oct,,,,OCT 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RESULTADO,,,PRESUPUESTO,,,DELTA,,,RESULTADO,,,PRESUPUESTO,,,DELTA,,,RESULTADO,,,PRESUPUESTO,,,DELTA,,,RESULTADO,,,RESULTADO,,,PRESUPUESTO,,,DELTA,,,RESULTADO,,,PRESUPUESTO,,,DELTA,,,RESULTADO,,,PRESUPUESTO,,,DELTA,,,RESULTADO,,,RESULTADO,,,PRESUPUESTO,,,DELTA,,,RESULTADO,,,PRESUPUESTO,,,DELTA,,,RESULTADO,,,PRESUPUESTO,,,DELTA,,,RESULTADO,,,RESULTADO,,,GENERAO,,,GENERAO,,,RESULTADO,,,GENERAO,,,GENERAO,,,RESULTADO,,,GENERAO,,,GENERAO,,,RESULTADO,,,RESULTADO,,,PRESUPUESTO,,,DELTA,,,GENERADO,,,GENERADO,,,,GENERAL,,,GUADALAJARA,,,OCOTLAN,,,PUEBLA,,,LEON,,,CD JUAREZ,,,CD JUAREZ 2,,,MONTERREY II,,,MONTERREY RESORTES,,,MONTERREY TELAS,,,YUCATAN,,,HDA SAN JOSE,,,TECATE,,,,PLANTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADICIONAO USD,10942192.313029561,,,13000000,,,-2057807.6869704388,-0.15829289899772606,,10016274.946890986,,,12000000,0.5591824661362484,,-1983725.0531090144,-0.16531042109241786,,11076604.301392939,,,12000000,0.5207639931507523,,-923395.6986070611,-0.07694964155058842,,32035071.561313484,0.578238790827944,,10351435.383399043,,,13588207.91481171,0.539192538961137,,-3236772.5314126667,-0.2382045190730744,,10727674.782739194,,,13696068.077108013,0.5316216882924748,,-2968393.2943688184,-0.21673324618839135,,10280727.247642014,,,13024187.819456067,0.5166348868671146,,-2743460.5718140528,-0.21064350498046094,,31359837.413780253,0.5737213270281752,,11634486.453646267,,,15000000,0.5426369234536934,,-3365513.546353733,-0.22436756975691555,,10271981.0994261,,,14043372.144715425,0.5322220269945226,,-3771391.0452893246,-0.2685530944010847,,11436799.020571029,,,13500000,0.520342229211371,,-2063200.9794289712,-0.15282970217992378,,33343266.573643394,0.6009668579401252,,12468649.079373186,,,13500000,0.520342229211371,,-1031350.9206268135,-0.07639636449087507,,0,,,0,,,0,,,0,,,0,,,0,,,12468649.079373186,0.5886820272992889,,109206824.62811032,0.5848543139285075,,133351835.95609121,0.5351523984835733,,-24145011.32798089,-0.1810624589820505,,137148645.8485887,0.46815767376330847,,116723657.81985623,0.45655292951878673,,,12468649.079373186,0.5886820272992889,,2069647.605101879,0.5112728427450183,,534745.1524620138,0.9829480449978495,,1147856.2682194822,1,,1882968.9280603842,0.3845073504730543,,910544.6251482102,0.9438271744694713,,23303.242541925873,0.0845677117596789,,2295148.2620542925,0.48737070969322943,,20299.654565661644,0.028130843906148714,,848.8893825278003,0.03031764771828232,,248719.84907262895,1,,0,,,3334566.6027641813,0.9273656168736615,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok
AUTOMOTRIZ USD,2694047.514358925,,,2700000,,,-5952.4856410748325,-0.0022046243115091974,,2396863.8208261384,,,2700000,0.12581605488065592,,-303136.17917386163,-0.11227265895328209,,2785029.0692138476,,,3005721.119328263,0.1304392776999113,,-220692.0501144156,-0.07342399422729451,,7875940.404398912,0.14216213774819011,,2872911.5438243193,,,2738483.674062105,0.10866554106164703,,134427.86976221437,0.04908843205291489,,2827429.7643463085,,,3189341.8419613433,0.12379635418133363,,-361912.07761503477,-0.11347547410987792,,2441749.7814663546,,,3278271.8419613433,0.13004032387042763,,-836522.0604949887,-0.25517165775810385,,8142091.089636982,0.14895776540850736,,2633554.8818820147,,,3955893.1342220386,0.1431075786577224,,-1322338.2523400239,-0.334270468759787,,2544164.2071415256,,,3622534.1370433103,0.1372884262701502,,-1078369.9299017848,-0.29768385586062235,,2674452.665251647,,,3622534.1370433103,0.13962648061210414,,-948081.4717916632,-0.2617177467278421,,7852171.754275187,0.14152467565679572,,3106631.184322283,,,3622534.1370433103,0.13962648061210414,,-515902.9527210272,-0.14241493197966215,,0,,,0,,,0,,,0,,,0,,,0,,,3106631.184322283,0.14667330293892344,,26976834.432633366,0.1444737363968691,,32435314.02266503,0.13016570765859187,,-5458479.590031665,-0.1682881684517501,,33271446.84721397,0.11357227089159436,,29210358.053247552,0.11425339807363553,,,3106631.184322283,0.14667330293892344,,0,0,,0,0,,0,0,,2960907.1671230933,0.6046252558187023,,25671.20999772962,0.026609553148947293,,65467.179007795254,0.23758107971840126,,54585.62819366477,0.011591162449778088,,0,0,,0,0,,0,0,,0,,,0,0,,2.255546860396862e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok
EMPAQUE USD,2267078.7741638967,,,2735298,,,-468219.2258361033,-0.17117667831296748,,1799915.1744297484,,,2604900.3486567144,0.12138455008341958,,-804985.174226966,-0.30902724345753874,,2168461.6246956536,,,2882346.6768859117,0.12508519709165905,,-713885.0521902582,-0.24767494414014757,,6235455.573289299,0.1125510921384792,,2174806.127135332,,,2919339.458388317,0.11584206427559944,,-744533.3312529847,-0.25503486040777873,,1915346.8537887444,,,3022399.196372602,0.11731636805712338,,-1107052.3425838577,-0.3662826353026134,,2126730.847420254,,,3038410.8294234304,0.12052567552581159,,-911679.9820031766,-0.30005158393151765,,6216883.82834433,0.11373652206533422,,2514593.9590199734,,,2931899.5908477344,0.10606379825685047,,-417305.63182776095,-0.1423328524382039,,2280654.1385484,,,3065397.6147914804,0.11617381603765488,,-784743.4762430806,-0.2560005502896112,,2253205.6590308924,,,3166929.414301653,0.12206571194020617,,-913723.7552707605,-0.2885204043842726,,7048453.756599266,0.12703875602842235,,2188536.1684713336,,,3166929.414301653,0.12206571194020617,,-978393.2458303194,-0.3089406544433726,,0,,,0,,,0,,,0,,,0,,,0,,,2188536.1684713336,0.10332730516931747,,21689329.32670423,0.11615664008303982,,29533850.543969493,0.11852188492001574,,-7844521.217265263,-0.26561119098190306,,26615268.015515294,0.09085136702324097,,22683953.336439837,0.08872601786351234,,,2188536.1684713336,0.10332730516931747,,1810741.4559922502,0.44731428161937703,,0,0,,0,0,,0,0,,28520.77106592374,0.02956327238158138,,186786.78647960434,0.6778512085219198,,35405.451864133196,0.007518285632052072,,0,0,,0,0,,0,0,,0,,,127081.70306942206,0.03534228462032745,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok
PROD HOGAR USD,3712352.7429919117,,,4000000,,,-287647.2570080883,-0.07191181425202207,,2993632.736452531,,,4000000,0.18639415537874948,,-1006367.2635474689,-0.25159181588686724,,2548658.1997142145,,,5000000,0.2169849971461468,,-2451341.8002857855,-0.49026836005715707,,9254643.679158658,0.16704797928538676,,2100455.394846195,,,5800000,0.2301493136976282,,-3699544.605153805,-0.6378525181299664,,3226151.0173051325,,,5700000,0.2212491648119024,,-2473848.9826948675,-0.4340085934552399,,3614981.5870655347,,,5713785.594204115,0.22665067603177996,,-2098804.00713858,-0.36732284971762696,,8941587.999216862,0.16358438549798315,,2981521.221873279,,,5600000,0.20258445142271223,,-2618478.778126721,-0.4675854960940573,,2185197.2944970815,,,5500000,0.2084414710587442,,-3314802.7055029185,-0.6026914010005306,,2072093.8662613055,,,5500000,0.21199127856759556,,-3427906.1337386947,-0.6232556606797627,,7238812.382631666,0.13046971037465666,,3416801.4585745144,,,5500000,0.21199127856759556,,-2083198.5414254856,-0.37876337116827014,,0,,,0,,,0,,,0,,,0,,,0,,,3416801.4585745144,0.1613173645924702,,28851845.5195817,0.15451530959158355,,52313785.59420411,0.20993972549213297,,-23461940.07462241,-0.44848484597569976,,95918602.30200565,0.32741868828883497,,87044956.74839097,0.34046765450622796,,,3416801.4585745144,0.1613173645924702,,167640.5467175507,0.04141287563560468,,9276.63504068552,,,0,,,53218.65669523864,,,0,,,0,,,2324106.036008705,,,701315.9014192988,,,27150.953824829554,,,0,,,0,,,134092.72886820615,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok
OTROS INGRESOS USD,0,,,155000,,,-155000,,,0,,,155000,0.007222773520926543,,-155000,,,0,,,155000,0.006726534911530551,,-155000,,,0,0,,0,,,155000,0.006150542003988339,,-155000,,,0,,,155000,0.006016424657165767,,-155000,,,0,,,155000,0.006148437704866198,,-155000,,,0,0,,0,,,155000,0.0056072482090214985,,-155000,,,0,,,155000,0.005874259638928245,,-155000,,,0,,,155000,0.005974299668723148,,-155000,,,0,0,,0,,,155000,0.005974299668723148,,-155000,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0,,1550000,0.00622028344568622,,-1550000,,,0.009673625454196462,3.3020974880742844e-11,,0.009673625454196462,3.7837419788515145e-11,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok
TOTAL VENTAS USD,19615671.344544295,,,22590298,,,-2974626.6554557052,-0.13167717643457846,,17206686.678599402,,,21459900.348656714,1,,-4253213.670057311,-0.19819354241892098,,18578753.195016656,,,23043067.796214174,1,,-4464314.60119752,-0.193737858200069,,55401111.218160346,,,17499608.44920489,,,25201031.047262132,1,,-7701422.598057242,-0.3055995043859102,,18696602.41817938,,,25762809.11544196,1,,-7066206.697262578,-0.2742793561680029,,18464189.463594154,,,25209656.085044958,1,,-6745466.621450799,-0.2675747181435131,,54660400.33097843,,,19764156.516421534,,,27642792.725069772,1,,-7878636.208648238,-0.2850159275514501,,17281996.73961311,,,26386303.896550212,1,,-9104307.156937107,-0.34503912304774964,,18436551.211114876,,,25944463.551344965,1,,-7507912.34023009,-0.28938398843251,,55482704.46714952,,,21180617.89074132,,,25944463.551344965,1,,-4763845.660603646,-0.1836170422709198,,0,1,,0,1,,0,,,0,1,,0,1,,0,,,21180617.89074132,,,186724833.90702963,1,,249184786.11692983,1,,-62459952.20990023,-0.25065716564489976,,292953963.0229973,1,,255662925.9676082,1,,226944168,21180617.89074132,1,,4048029.60781168,1,,544021.7875026993,1,,1147856.2682194822,1,,4897094.751878716,1,,964736.6062118636,1,,275557.20802932547,1,,4709245.378120795,1,,721615.5559849605,1,,27999.843207357353,1,,248719.84907262895,1,,0,1,,3595741.0347018093,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
